branch,pick,team,actual_selection,rival_world_selection,status,condition
PRIMARY,43,Sacramento Kings,Jahmius Ramsey,Jahmius Ramsey,RETENTION_LEAN,young_shooting_guard_role_differs_from_Richards
PRIMARY,44,Chicago Bulls,Marko Simonovic,Marko Simonovic,RETENTION_STRONG_LEAN,Karnisovas_long_scouting_and_draft_stash_function
PRIMARY,45,Milwaukee Bucks,Jordan Nwora,Jordan Nwora,RETENTION_LEAN,contender_shooting_forward_role
PRIMARY,46,Portland Trail Blazers,CJ Elleby,CJ Elleby,RETENTION_LEAN,wing_role_and_direct_pick
PRIMARY,47,Boston Celtics,Yam Madar,Yam Madar,RETENTION_LEAN,international_guard_stash_function
PRIMARY,48,Golden State Warriors,Nico Mannion,Nico Mannion,RETENTION_LEAN,ballhandler_path_and_Wiseman_center_investment
PRIMARY,49,Philadelphia 76ers,Isaiah Joe,Isaiah Joe,RETENTION_STRONG_LEAN,Embiid_Simmons_shooting_function
PRIMARY,50,Atlanta Hawks,Skylar Mays,Skylar Mays,RETENTION_LEAN,backup_guard_role_and_existing_centers
PRIMARY,51,Golden State Warriors,Justinian Jessup,Justinian Jessup,RETENTION_LEAN,overseas_shooter_stash
PRIMARY,52,Houston Rockets,Kenyon Martin Jr.,Kenyon Martin Jr.,RETENTION_STRONG_LEAN,Houston_separately_acquired_rights
PRIMARY,53,Washington Wizards,Cassius Winston,Cassius Winston,RETENTION_LEAN,Krejci_trade_return_and_local_guard
PRIMARY,54,Indiana Pacers,Cassius Stanley,Cassius Stanley,RETENTION_LEAN,athletic_wing_role_differs_from_Richards
PRIMARY,55,LA Clippers,Jay Scrubb,Jay Scrubb,RETENTION_STRONG_LEAN,Clippers_acquired_Scrubb_rights_in_three_team_trade
PRIMARY,56,Charlotte Hornets,Grant Riller,Nick Richards,PRIMARY_LEAN_AUTHOR_GATE,Edwards_and_Terry_reduce_Riller_need_while_two_center_plan_remains
RILLER_KEEP,56,Charlotte Hornets,Grant Riller,Grant Riller,RETENTION_CONTINGENCY,Charlotte_actual_pick_and_combo_guard_scoring
CHICAGO_RICHARDS,44,Chicago Bulls,Marko Simonovic,Nick Richards,SECONDARY_CONTINGENCY,center_value_but_disrupts_Karnisovas_stash_plan
