branch,pick,team,actual_selection,rival_world_selection,status,condition
PRIMARY,33,LA Clippers,Daniel Oturu,Daniel Oturu,AUTHOR_LOCKED,Clippers_paid_2023_Detroit_second_and_Lessort_rights_for_Oturu
PRIMARY,34,Oklahoma City Thunder,Theo Maledon,Theo Maledon,AUTHOR_LOCKED,OKC_acquired_Maledon_rights_in_Horford_trade
PRIMARY,35,Memphis Grizzlies,Xavier Tillman Sr.,Xavier Tillman Sr.,AUTHOR_LOCKED,Memphis_traded_Woodard_rights_and_2022_second_to_move_up
PRIMARY,36,Dallas Mavericks,Tyler Bey,Tyler Bey,AUTHOR_LOCKED,Dallas_received_pick_36_rights_in_Curry_Richardson_trade
PRIMARY,37,Oklahoma City Thunder,Vit Krejci,Vit Krejci,AUTHOR_LOCKED,OKC_paid_pick_53_rights_and_future_second
PRIMARY,38,Detroit Pistons,Saben Lee,Saben Lee,AUTHOR_LOCKED,Detroit_acquired_Lee_and_Tony_Bradley_for_cash
PRIMARY,39,Utah Jazz,Elijah Hughes,Elijah Hughes,AUTHOR_LOCKED,Utah_paid_future_second_and_cash_for_Hughes_rights
PRIMARY,40,Sacramento Kings,Robert Woodard II,Robert Woodard II,AUTHOR_LOCKED,Sacramento_received_Woodard_and_2022_second_in_Tillman_trade
PRIMARY,41,San Antonio Spurs,Tre Jones,Tre Jones,AUTHOR_LOCKED,San_Antonio_direct_pick_and_low_role_collision
PRIMARY,42,Charlotte Hornets,Nick Richards,Vernon Carey Jr.,AUTHOR_LOCKED,Charlotte_paid_for_center_slot_and_had_selected_Carey_before_Richards
RICHARDS_KEEP,42,Charlotte Hornets,Nick Richards,Nick Richards,REJECTED_HISTORICAL_CONTINGENCY,Charlotte_actual_two_center_depth_strategy
CLIPPERS_CAREY,33,LA Clippers,Daniel Oturu,Vernon Carey Jr.,REJECTED_HISTORICAL_CONTINGENCY,Carey_actual_32_value_but_Oturu_purpose_trade_is_disrupted
