event_id,date,away,home,away_score,home_score,away_ml,home_ml,pB,actual,mode,protagonist_minutes,hutchison_minutes,delta_low,delta_base,delta_high,h,u,pCF_low,pCF_base,pCF_high,cf_low,cf_base,cf_high
CHI_2018_19_G001,2018-10-18,Chicago Bulls,Philadelphia 76ers,108,127,733,-1150,0.11542546,L,HUTCH,2.816667,2.816667,-0.01760417,0.05281250,0.12322917,0.543595017506,0.596275771753,0.11516299,0.11621599,0.11727734,L,L,L
CHI_2018_19_G002,2018-10-20,Detroit Pistons,Chicago Bulls,118,116,-200,170,0.35714286,L,NONE,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.594942860497,0.739606124605,0.35714286,0.35714286,0.35714286,L,L,L
CHI_2018_19_G003,2018-10-22,Chicago Bulls,Dallas Mavericks,109,115,170,-200,0.35714286,L,HUTCH,17.616667,17.616667,-0.11010417,0.33031250,0.77072917,0.533859217410,0.700338068335,0.35345640,0.36830272,0.38340283,L,L,L
CHI_2018_19_G004,2018-10-24,Charlotte Hornets,Chicago Bulls,110,112,-200,170,0.35714286,W,HUTCH,13.000000,13.000000,-0.08125000,0.24375000,0.56875000,0.273978492765,0.097849461702,0.35442082,0.36536391,0.37644786,W,W,W
CHI_2018_19_G005,2018-10-26,Chicago Bulls,Charlotte Hornets,106,135,450,-650,0.17341040,L,HUTCH,27.500000,27.500000,-0.17187500,0.51562500,1.20312500,0.120715979829,0.273192977547,0.16983880,0.18448093,0.20008114,L,L,L
CHI_2018_19_G006,2018-10-27,Chicago Bulls,Atlanta Hawks,97,85,190,-240,0.32818533,W,HUTCH,18.333333,18.333333,-0.11458333,0.34375000,0.80208333,0.192597510687,0.063207677252,0.32450329,0.33935759,0.35453497,W,W,W
CHI_2018_19_G007,2018-10-29,Golden State Warriors,Chicago Bulls,149,124,-900,600,0.13698630,L,HUTCH,22.933333,22.933333,-0.14333333,0.43000000,1.00333333,0.388093556411,0.471916356903,0.13452824,0.14458776,0.15526455,L,L,L
CHI_2018_19_G008,2018-10-31,Denver Nuggets,Chicago Bulls,108,107,-400,317,0.23062731,L,HUTCH,29.966667,29.966667,-0.18729167,0.56187500,1.31104167,0.079381951226,0.291701611921,0.22580556,0.24552126,0.26636611,L,L,L
CHI_2018_19_G009,2018-11-02,Indiana Pacers,Chicago Bulls,107,105,-310,250,0.27424749,L,HUTCH,16.666667,16.666667,-0.10416667,0.31250000,0.72916667,0.872257796423,0.907290775331,0.27122742,0.28343214,0.29596303,L,L,L
CHI_2018_19_G010,2018-11-03,Houston Rockets,Chicago Bulls,96,88,-425,325,0.22520107,L,HUTCH,27.450000,27.450000,-0.17156250,0.51468750,1.20093750,0.160649056120,0.349671788790,0.22085564,0.23859854,0.25729614,L,L,L
