event_id,date,actual_margin,elo_pB,ert_delta_low,ert_delta_base,ert_delta_high
CHI_2018_19_G001,2018-10-18,-19,0.129461952,-0.00410729,0.10151773,0.16019829
CHI_2018_19_G002,2018-10-20,-2,0.450634846,0.00000000,0.00000000,0.00000000
CHI_2018_19_G003,2018-10-22,-6,0.319926661,-0.02568877,0.63493624,1.00195014
CHI_2018_19_G004,2018-10-24,2,0.408882942,-0.01895671,0.46854329,0.73937662
CHI_2018_19_G005,2018-10-26,-29,0.189915298,-0.04010073,0.99114927,1.56406594
CHI_2018_19_G006,2018-10-27,12,0.283811628,-0.02673382,0.66076617,1.04271061
CHI_2018_19_G007,2018-10-29,-25,0.203482091,-0.03344158,0.82655841,1.30433618
CHI_2018_19_G008,2018-10-31,-1,0.329786957,-0.04369764,1.08005237,1.70435793
CHI_2018_19_G009,2018-11-02,-2,0.344604987,-0.02430347,0.60069654,0.94791877
CHI_2018_19_G010,2018-11-03,-8,0.346489800,-0.04002782,0.98934718,1.56122218
CHI_2018_19_G011,2018-11-05,1,0.291828929,-0.02267514,0.56044986,0.88440819
CHI_2018_19_G012,2018-11-07,-9,0.157536015,-0.02260223,0.55864777,0.88156444
CHI_2018_19_G013,2018-11-10,1,0.531765566,-0.02666091,0.65896408,1.03986685
CHI_2018_19_G014,2018-11-12,-5,0.595917491,-0.02687964,0.66437035,1.04839812
CHI_2018_19_G015,2018-11-14,-29,0.131943166,-0.03130287,0.77369714,1.22091937
CHI_2018_19_G016,2018-11-16,-19,0.104921537,-0.03353879,0.82896121,1.30812788
CHI_2018_19_G017,2018-11-17,-39,0.276661806,-0.03020922,0.74666580,1.17826303
CHI_2018_19_G018,2018-11-21,8,0.677568660,0.00000000,0.00000000,0.00000000
CHI_2018_19_G019,2018-11-23,-7,0.494970678,0.00000000,0.00000000,0.00000000
CHI_2018_19_G020,2018-11-24,-15,0.172315749,0.00000000,0.00000000,0.00000000
CHI_2018_19_G021,2018-11-26,-1,0.376453628,-0.02717128,0.67157871,1.05977314
CHI_2018_19_G022,2018-11-28,-3,0.088382652,-0.02396322,0.59228676,0.93464787
CHI_2018_19_G023,2018-11-30,-19,0.163277511,-0.02770596,0.68479404,1.08062737
CHI_2018_19_G024,2018-12-01,-16,0.109619613,-0.02330703,0.57606796,0.90905406
CHI_2018_19_G025,2018-12-04,-6,0.112515118,-0.01266211,0.31296288,0.49386565
CHI_2018_19_G026,2018-12-07,2,0.217565595,0.39881765,0.39881765,0.39881765
CHI_2018_19_G027,2018-12-08,-56,0.273780426,-0.03081680,0.76168319,1.20196096
CHI_2018_19_G028,2018-12-10,-19,0.408312617,-0.00921102,0.22766400,0.35926123
CHI_2018_19_G029,2018-12-13,-6,0.326044777,0.00000000,0.00000000,0.00000000
CHI_2018_19_G030,2018-12-15,5,0.133328240,-0.00617308,0.15257691,0.24077134
CHI_2018_19_G031,2018-12-17,-25,0.084041233,-0.02768165,0.68419333,1.07967944
CHI_2018_19_G032,2018-12-19,-3,0.421853605,-0.00933253,0.23066747,0.36400080
CHI_2018_19_G033,2018-12-21,10,0.485341671,-0.02440069,0.60309930,0.95171041
CHI_2018_19_G034,2018-12-23,20,0.256058721,-0.04731886,1.16955614,1.84559781
CHI_2018_19_G035,2018-12-26,-25,0.402758393,-0.02128984,0.52621016,0.83037682
CHI_2018_19_G036,2018-12-28,9,0.227800376,-0.02189743,0.54122758,0.85407481
CHI_2018_19_G037,2018-12-30,-6,0.104071095,-0.02099820,0.51900180,0.81900180
CHI_2018_19_G038,2019-01-02,-28,0.552162897,-0.03198337,0.79051662,1.24746106
CHI_2018_19_G039,2019-01-04,-3,0.218795279,-0.03861822,0.95450677,1.50624287
CHI_2018_19_G040,2019-01-06,-17,0.419792456,-0.03254235,0.80433266,1.26926323
CHI_2018_19_G041,2019-01-09,-12,0.115692248,0.35122839,0.35122839,0.35122839
CHI_2018_19_G042,2019-01-11,-37,0.084015592,0.37498304,0.37498304,0.37498304
CHI_2018_19_G043,2019-01-12,-8,0.094393893,0.42834155,0.42834155,0.42834155
CHI_2018_19_G044,2019-01-15,-7,0.143643430,-0.03866682,0.95570819,1.50813875
CHI_2018_19_G045,2019-01-17,-30,0.099936642,-0.04812087,1.18937913,1.87687913
CHI_2018_19_G046,2019-01-19,-14,0.349077017,-0.03383043,0.83616957,1.31950290
CHI_2018_19_G047,2019-01-21,16,0.324179467,-0.04639533,1.14672968,1.80957691
CHI_2018_19_G048,2019-01-23,-20,0.559355440,-0.04860694,1.20139304,1.89583748
CHI_2018_19_G049,2019-01-25,-5,0.331618265,-0.05998097,1.48251902,2.33946346
