event_id,game_id,date,matchup,actual_wl,actual_pts,actual_margin
CHI_2019_20_G001,0021900003,2019-10-23,CHI @ CHA,L,125,-1
CHI_2019_20_G002,0021900020,2019-10-25,CHI @ MEM,W,110,8
CHI_2019_20_G003,0021900031,2019-10-26,CHI vs. TOR,L,84,-24
CHI_2019_20_G004,0021900042,2019-10-28,CHI @ NYK,L,98,-7
CHI_2019_20_G005,0021900055,2019-10-30,CHI @ CLE,L,111,-6
CHI_2019_20_G006,0021900073,2019-11-01,CHI vs. DET,W,112,6
CHI_2019_20_G007,0021900085,2019-11-03,CHI @ IND,L,95,-13
CHI_2019_20_G008,0021900100,2019-11-05,CHI vs. LAL,L,112,-6
CHI_2019_20_G009,0021900105,2019-11-06,CHI @ ATL,W,113,20
CHI_2019_20_G010,0021900129,2019-11-09,CHI vs. HOU,L,94,-23
CHI_2019_20_G011,0021900149,2019-11-12,CHI vs. NYK,W,120,18
CHI_2019_20_G012,0021900163,2019-11-14,CHI @ MIL,L,115,-9
CHI_2019_20_G013,0021900175,2019-11-16,CHI vs. BKN,L,111,-6
CHI_2019_20_G014,0021900192,2019-11-18,CHI vs. MIL,L,101,-14
CHI_2019_20_G015,0021900209,2019-11-20,CHI vs. DET,W,109,20
CHI_2019_20_G016,0021900219,2019-11-22,CHI vs. MIA,L,108,-8
CHI_2019_20_G017,0021900226,2019-11-23,CHI @ CHA,W,116,1
CHI_2019_20_G018,0021900247,2019-11-25,CHI vs. POR,L,94,-23
CHI_2019_20_G019,0021900266,2019-11-27,CHI @ GSW,L,90,-14
CHI_2019_20_G020,0021900278,2019-11-29,CHI @ POR,L,103,-4
CHI_2019_20_G021,0021900298,2019-12-02,CHI @ SAC,W,113,7
CHI_2019_20_G022,0021900311,2019-12-04,CHI vs. MEM,W,106,7
CHI_2019_20_G023,0021900325,2019-12-06,CHI vs. GSW,L,98,-2
CHI_2019_20_G024,0021900337,2019-12-08,CHI @ MIA,L,105,-5
CHI_2019_20_G025,0021900345,2019-12-09,CHI vs. TOR,L,92,-1
CHI_2019_20_G026,0021900361,2019-12-11,CHI vs. ATL,W,136,34
CHI_2019_20_G027,0021900375,2019-12-13,CHI vs. CHA,L,73,-10
CHI_2019_20_G028,0021900382,2019-12-14,CHI vs. LAC,W,109,3
CHI_2019_20_G029,0021900399,2019-12-16,CHI @ OKC,L,106,-3
CHI_2019_20_G030,0021900409,2019-12-18,CHI @ WAS,W,110,1
CHI_2019_20_G031,0021900432,2019-12-21,CHI @ DET,W,119,12
CHI_2019_20_G032,0021900448,2019-12-23,CHI @ ORL,L,95,-8
CHI_2019_20_G033,0021900477,2019-12-28,CHI vs. ATL,W,116,35
CHI_2019_20_G034,0021900493,2019-12-30,CHI vs. MIL,L,102,-21
CHI_2019_20_G035,0021900511,2020-01-02,CHI vs. UTA,L,98,-4
CHI_2019_20_G036,0021900529,2020-01-04,CHI vs. BOS,L,104,-7
CHI_2019_20_G037,0021900545,2020-01-06,CHI @ DAL,L,110,-8
CHI_2019_20_G038,0021900560,2020-01-08,CHI @ NOP,L,108,-15
CHI_2019_20_G039,0021900570,2020-01-10,CHI vs. IND,L,105,-11
CHI_2019_20_G040,0021900579,2020-01-11,CHI @ DET,W,108,9
CHI_2019_20_G041,0021900593,2020-01-13,CHI @ BOS,L,101,-12
CHI_2019_20_G042,0021900607,2020-01-15,CHI vs. WAS,W,115,9
CHI_2019_20_G043,0021900620,2020-01-17,CHI @ PHI,L,89,-11
CHI_2019_20_G044,0021900631,2020-01-18,CHI vs. CLE,W,118,2
CHI_2019_20_G045,0021900647,2020-01-20,CHI @ MIL,L,98,-13
CHI_2019_20_G046,0021900661,2020-01-22,CHI vs. MIN,W,117,7
CHI_2019_20_G047,0021900674,2020-01-24,CHI vs. SAC,L,81,-17
CHI_2019_20_G048,0021900682,2020-01-25,CHI @ CLE,W,118,12
CHI_2019_20_G049,0021900695,2020-01-27,CHI vs. SAS,W,110,1
CHI_2019_20_G050,0021900708,2020-01-29,CHI @ IND,L,106,-9
CHI_2019_20_G051,0021900721,2020-01-31,CHI @ BKN,L,118,-15
CHI_2019_20_G052,0021900740,2020-02-02,CHI @ TOR,L,102,-27
CHI_2019_20_G053,0021900765,2020-02-06,CHI vs. NOP,L,119,-6
CHI_2019_20_G054,0021900788,2020-02-09,CHI @ PHI,L,111,-7
CHI_2019_20_G055,0021900803,2020-02-11,CHI @ WAS,L,114,-12
CHI_2019_20_G056,0021900823,2020-02-20,CHI vs. CHA,L,93,-10
CHI_2019_20_G057,0021900839,2020-02-22,CHI vs. PHX,L,104,-8
CHI_2019_20_G058,0021900845,2020-02-23,CHI vs. WAS,W,126,9
CHI_2019_20_G059,0021900859,2020-02-25,CHI vs. OKC,L,122,-2
CHI_2019_20_G060,0021900887,2020-02-29,CHI @ NYK,L,115,-10
CHI_2019_20_G061,0021900907,2020-03-02,CHI vs. DAL,W,109,2
CHI_2019_20_G062,0021900922,2020-03-04,CHI @ MIN,L,108,-7
CHI_2019_20_G063,0021900934,2020-03-06,CHI vs. IND,L,102,-6
CHI_2019_20_G064,0021900946,2020-03-08,CHI @ BKN,L,107,-3
CHI_2019_20_G065,0021900962,2020-03-10,CHI vs. CLE,W,108,5
