event_id,game_id,date,matchup,actual_wl,actual_margin,proxy,scenario,protagonist_rating,protagonist_minutes,protagonist_impact_points,real_player_impact_points,base_impact_points,base_alt_margin,base_alt_wl,base_flip,b2b_second_night,fatigue_05_alt_margin,fatigue_05_alt_wl,fatigue_05_flip,fatigue_10_alt_margin,fatigue_10_alt_wl,fatigue_10_flip
CHI_2019_20_G001,0021900003,2019-10-23,CHI @ CHA,L,-1,BPM,LOW,-3.2,16,-1.066667,0.526111,-0.540556,-1.540556,L,0,0,-1.540556,L,0,-1.540556,L,0
CHI_2019_20_G001,0021900003,2019-10-23,CHI @ CHA,L,-1,BPM,BASE,-1.6,16,-0.533333,0.526111,-0.007222,-1.007222,L,0,0,-1.007222,L,0,-1.007222,L,0
CHI_2019_20_G001,0021900003,2019-10-23,CHI @ CHA,L,-1,BPM,HIGH,-0.2,16,-0.066667,0.526111,0.459444,-0.540556,L,0,0,-0.540556,L,0,-0.540556,L,0
CHI_2019_20_G001,0021900003,2019-10-23,CHI @ CHA,L,-1,NET_EB,LOW,-4,16,-1.333333,1.353065,0.019732,-0.980268,L,0,0,-0.980268,L,0,-0.980268,L,0
CHI_2019_20_G001,0021900003,2019-10-23,CHI @ CHA,L,-1,NET_EB,BASE,-2,16,-0.666667,1.353065,0.686398,-0.313602,L,0,0,-0.313602,L,0,-0.313602,L,0
CHI_2019_20_G001,0021900003,2019-10-23,CHI @ CHA,L,-1,NET_EB,HIGH,0,16,0,1.353065,1.353065,0.353065,W,1,0,0.353065,W,1,0.353065,W,1
CHI_2019_20_G002,0021900020,2019-10-25,CHI @ MEM,W,8,BPM,LOW,-3.2,17,-1.133333,0.577222,-0.556111,7.443889,W,0,0,7.443889,W,0,7.443889,W,0
CHI_2019_20_G002,0021900020,2019-10-25,CHI @ MEM,W,8,BPM,BASE,-1.6,17,-0.566667,0.577222,0.010556,8.010556,W,0,0,8.010556,W,0,8.010556,W,0
CHI_2019_20_G002,0021900020,2019-10-25,CHI @ MEM,W,8,BPM,HIGH,-0.2,17,-0.070833,0.577222,0.506389,8.506389,W,0,0,8.506389,W,0,8.506389,W,0
CHI_2019_20_G002,0021900020,2019-10-25,CHI @ MEM,W,8,NET_EB,LOW,-4,17,-1.416667,1.399773,-0.016894,7.983106,W,0,0,7.983106,W,0,7.983106,W,0
CHI_2019_20_G002,0021900020,2019-10-25,CHI @ MEM,W,8,NET_EB,BASE,-2,17,-0.708333,1.399773,0.69144,8.69144,W,0,0,8.69144,W,0,8.69144,W,0
CHI_2019_20_G002,0021900020,2019-10-25,CHI @ MEM,W,8,NET_EB,HIGH,0,17,0,1.399773,1.399773,9.399773,W,0,0,9.399773,W,0,9.399773,W,0
CHI_2019_20_G003,0021900031,2019-10-26,CHI vs. TOR,L,-24,BPM,LOW,-3.2,17,-1.133333,-0.000278,-1.133611,-25.133611,L,0,1,-25.310694,L,0,-25.487778,L,0
CHI_2019_20_G003,0021900031,2019-10-26,CHI vs. TOR,L,-24,BPM,BASE,-1.6,17,-0.566667,-0.000278,-0.566944,-24.566944,L,0,1,-24.744028,L,0,-24.921111,L,0
CHI_2019_20_G003,0021900031,2019-10-26,CHI vs. TOR,L,-24,BPM,HIGH,-0.2,17,-0.070833,-0.000278,-0.071111,-24.071111,L,0,1,-24.248194,L,0,-24.425278,L,0
CHI_2019_20_G003,0021900031,2019-10-26,CHI vs. TOR,L,-24,NET_EB,LOW,-4,17,-1.416667,0.738086,-0.678581,-24.678581,L,0,1,-24.855664,L,0,-25.032747,L,0
CHI_2019_20_G003,0021900031,2019-10-26,CHI vs. TOR,L,-24,NET_EB,BASE,-2,17,-0.708333,0.738086,0.029753,-23.970247,L,0,1,-24.147331,L,0,-24.324414,L,0
CHI_2019_20_G003,0021900031,2019-10-26,CHI vs. TOR,L,-24,NET_EB,HIGH,0,17,0,0.738086,0.738086,-23.261914,L,0,1,-23.438997,L,0,-23.616081,L,0
CHI_2019_20_G004,0021900042,2019-10-28,CHI @ NYK,L,-7,BPM,LOW,-3.2,17,-1.133333,0.679167,-0.454167,-7.454167,L,0,0,-7.454167,L,0,-7.454167,L,0
CHI_2019_20_G004,0021900042,2019-10-28,CHI @ NYK,L,-7,BPM,BASE,-1.6,17,-0.566667,0.679167,0.1125,-6.8875,L,0,0,-6.8875,L,0,-6.8875,L,0
CHI_2019_20_G004,0021900042,2019-10-28,CHI @ NYK,L,-7,BPM,HIGH,-0.2,17,-0.070833,0.679167,0.608333,-6.391667,L,0,0,-6.391667,L,0,-6.391667,L,0
CHI_2019_20_G004,0021900042,2019-10-28,CHI @ NYK,L,-7,NET_EB,LOW,-4,17,-1.416667,1.473708,0.057041,-6.942959,L,0,0,-6.942959,L,0,-6.942959,L,0
CHI_2019_20_G004,0021900042,2019-10-28,CHI @ NYK,L,-7,NET_EB,BASE,-2,17,-0.708333,1.473708,0.765375,-6.234625,L,0,0,-6.234625,L,0,-6.234625,L,0
CHI_2019_20_G004,0021900042,2019-10-28,CHI @ NYK,L,-7,NET_EB,HIGH,0,17,0,1.473708,1.473708,-5.526292,L,0,0,-5.526292,L,0,-5.526292,L,0
CHI_2019_20_G005,0021900055,2019-10-30,CHI @ CLE,L,-6,BPM,LOW,-3.2,17,-1.133333,0.679167,-0.454167,-6.454167,L,0,0,-6.454167,L,0,-6.454167,L,0
CHI_2019_20_G005,0021900055,2019-10-30,CHI @ CLE,L,-6,BPM,BASE,-1.6,17,-0.566667,0.679167,0.1125,-5.8875,L,0,0,-5.8875,L,0,-5.8875,L,0
CHI_2019_20_G005,0021900055,2019-10-30,CHI @ CLE,L,-6,BPM,HIGH,-0.2,17,-0.070833,0.679167,0.608333,-5.391667,L,0,0,-5.391667,L,0,-5.391667,L,0
CHI_2019_20_G005,0021900055,2019-10-30,CHI @ CLE,L,-6,NET_EB,LOW,-4,17,-1.416667,1.473708,0.057041,-5.942959,L,0,0,-5.942959,L,0,-5.942959,L,0
CHI_2019_20_G005,0021900055,2019-10-30,CHI @ CLE,L,-6,NET_EB,BASE,-2,17,-0.708333,1.473708,0.765375,-5.234625,L,0,0,-5.234625,L,0,-5.234625,L,0
CHI_2019_20_G005,0021900055,2019-10-30,CHI @ CLE,L,-6,NET_EB,HIGH,0,17,0,1.473708,1.473708,-4.526292,L,0,0,-4.526292,L,0,-4.526292,L,0
CHI_2019_20_G006,0021900073,2019-11-01,CHI vs. DET,W,6,BPM,LOW,-3.2,17,-1.133333,0.679167,-0.454167,5.545833,W,0,0,5.545833,W,0,5.545833,W,0
CHI_2019_20_G006,0021900073,2019-11-01,CHI vs. DET,W,6,BPM,BASE,-1.6,17,-0.566667,0.679167,0.1125,6.1125,W,0,0,6.1125,W,0,6.1125,W,0
CHI_2019_20_G006,0021900073,2019-11-01,CHI vs. DET,W,6,BPM,HIGH,-0.2,17,-0.070833,0.679167,0.608333,6.608333,W,0,0,6.608333,W,0,6.608333,W,0
CHI_2019_20_G006,0021900073,2019-11-01,CHI vs. DET,W,6,NET_EB,LOW,-4,17,-1.416667,1.473708,0.057041,6.057041,W,0,0,6.057041,W,0,6.057041,W,0
CHI_2019_20_G006,0021900073,2019-11-01,CHI vs. DET,W,6,NET_EB,BASE,-2,17,-0.708333,1.473708,0.765375,6.765375,W,0,0,6.765375,W,0,6.765375,W,0
CHI_2019_20_G006,0021900073,2019-11-01,CHI vs. DET,W,6,NET_EB,HIGH,0,17,0,1.473708,1.473708,7.473708,W,0,0,7.473708,W,0,7.473708,W,0
CHI_2019_20_G007,0021900085,2019-11-03,CHI @ IND,L,-13,BPM,LOW,-3.2,17,-1.133333,0.628403,-0.504931,-13.504931,L,0,0,-13.504931,L,0,-13.504931,L,0
