event_id,game_id,date,player,actual_seconds,alternate_seconds,delta_seconds,actual_minutes,alternate_minutes,season_class
CHI_2019_20_G001,0021900003,2019-10-23,Lauri Markkanen,2062,1878,-184,34:22,31:18,PROTECTED_NET_ZERO
CHI_2019_20_G001,0021900003,2019-10-23,Ryan Arcidiacono,656,360,-296,10:56,6:00,LIMITED_DONOR
CHI_2019_20_G001,0021900003,2019-10-23,Thaddeus Young,1524,1044,-480,25:24,17:24,LIMITED_DONOR
CHI_2019_20_G002,0021900020,2019-10-25,Ryan Arcidiacono,881,417,-464,14:41,6:57,LIMITED_DONOR
CHI_2019_20_G002,0021900020,2019-10-25,Shaquille Harrison,256,180,-76,4:16,3:00,LIMITED_DONOR
CHI_2019_20_G002,0021900020,2019-10-25,Thaddeus Young,1268,788,-480,21:08,13:08,LIMITED_DONOR
CHI_2019_20_G003,0021900031,2019-10-26,Denzel Valentine,274,180,-94,4:34,3:00,LIMITED_DONOR
CHI_2019_20_G003,0021900031,2019-10-26,Lauri Markkanen,1818,2004,186,30:18,33:24,PROTECTED_NET_ZERO
CHI_2019_20_G003,0021900031,2019-10-26,Ryan Arcidiacono,1065,585,-480,17:45,9:45,LIMITED_DONOR
CHI_2019_20_G003,0021900031,2019-10-26,Shaquille Harrison,692,180,-512,11:32,3:00,LIMITED_DONOR
CHI_2019_20_G003,0021900031,2019-10-26,Thaddeus Young,960,840,-120,16:00,14:00,LIMITED_DONOR
CHI_2019_20_G004,0021900042,2019-10-28,Lauri Markkanen,1762,1702,-60,29:22,28:22,PROTECTED_NET_ZERO
CHI_2019_20_G004,0021900042,2019-10-28,Ryan Arcidiacono,955,475,-480,15:55,7:55,LIMITED_DONOR
CHI_2019_20_G004,0021900042,2019-10-28,Thaddeus Young,1323,843,-480,22:03,14:03,LIMITED_DONOR
CHI_2019_20_G005,0021900055,2019-10-30,Lauri Markkanen,1647,1587,-60,27:27,26:27,PROTECTED_NET_ZERO
CHI_2019_20_G005,0021900055,2019-10-30,Ryan Arcidiacono,966,486,-480,16:06,8:06,LIMITED_DONOR
CHI_2019_20_G005,0021900055,2019-10-30,Thaddeus Young,1359,879,-480,22:39,14:39,LIMITED_DONOR
CHI_2019_20_G006,0021900073,2019-11-01,Lauri Markkanen,1514,1454,-60,25:14,24:14,PROTECTED_NET_ZERO
CHI_2019_20_G006,0021900073,2019-11-01,Ryan Arcidiacono,946,466,-480,15:46,7:46,LIMITED_DONOR
CHI_2019_20_G006,0021900073,2019-11-01,Thaddeus Young,1720,1240,-480,28:40,20:40,LIMITED_DONOR
CHI_2019_20_G007,0021900085,2019-11-03,Lauri Markkanen,1753,1736,-17,29:13,28:56,PROTECTED_NET_ZERO
