event_id,game_id,date,matchup,actual_wl,protagonist_seconds,protagonist_minutes,protagonist_start,start_source,actual_team_seconds,alternate_team_seconds,real_player_debit_seconds,real_player_credit_seconds,bridge_note
CHI_2019_20_G001,0021900003,2019-10-23,CHI @ CHA,L,960,16:00,0,,14401,14401,960,0,protected_net_zero_shift
CHI_2019_20_G002,0021900020,2019-10-25,CHI @ MEM,W,1020,17:00,0,,14400,14400,1020,0,donor_only
CHI_2019_20_G003,0021900031,2019-10-26,CHI vs. TOR,L,1020,17:00,0,,14400,14400,1206,186,protected_net_zero_shift
CHI_2019_20_G004,0021900042,2019-10-28,CHI @ NYK,L,1020,17:00,0,,14400,14400,1020,0,protected_net_zero_shift
CHI_2019_20_G005,0021900055,2019-10-30,CHI @ CLE,L,1020,17:00,0,,14400,14400,1020,0,protected_net_zero_shift
CHI_2019_20_G006,0021900073,2019-11-01,CHI vs. DET,W,1020,17:00,0,,14400,14400,1020,0,protected_net_zero_shift
CHI_2019_20_G007,0021900085,2019-11-03,CHI @ IND,L,1020,17:00,0,,14400,14400,1020,0,protected_net_zero_shift
CHI_2019_20_G008,0021900100,2019-11-05,CHI vs. LAL,L,1140,19:00,0,,14400,14400,1140,0,donor_only
CHI_2019_20_G009,0021900105,2019-11-06,CHI @ ATL,W,1140,19:00,0,,14400,14400,1162,22,protected_net_zero_shift
CHI_2019_20_G010,0021900129,2019-11-09,CHI vs. HOU,L,1620,27:00,1,Chandler Hutchison,14400,14400,1620,0,donor_only
CHI_2019_20_G011,0021900149,2019-11-12,CHI vs. NYK,W,1620,27:00,1,Chandler Hutchison,14400,14400,1620,0,donor_only
CHI_2019_20_G012,0021900163,2019-11-14,CHI @ MIL,L,1620,27:00,1,Chandler Hutchison,14400,14400,1620,0,donor_only
CHI_2019_20_G013,0021900175,2019-11-16,CHI vs. BKN,L,1620,27:00,1,Chandler Hutchison,14401,14401,1620,0,donor_only
CHI_2019_20_G014,0021900192,2019-11-18,CHI vs. MIL,L,1620,27:00,1,Chandler Hutchison,14400,14400,1620,0,donor_only
CHI_2019_20_G015,0021900209,2019-11-20,CHI vs. DET,W,1440,24:00,1,Shaquille Harrison,14400,14400,1440,0,donor_only
CHI_2019_20_G016,0021900219,2019-11-22,CHI vs. MIA,L,1440,24:00,1,Shaquille Harrison,14400,14400,1490,50,protected_net_zero_shift
CHI_2019_20_G017,0021900226,2019-11-23,CHI @ CHA,W,1500,25:00,1,Shaquille Harrison,14400,14400,1500,0,donor_only
CHI_2019_20_G018,0021900247,2019-11-25,CHI vs. POR,L,1560,26:00,1,Shaquille Harrison,14402,14402,1669,109,protected_net_zero_shift
CHI_2019_20_G019,0021900266,2019-11-27,CHI @ GSW,L,1500,25:00,1,Chandler Hutchison,14400,14400,1500,0,protected_net_zero_shift
CHI_2019_20_G020,0021900278,2019-11-29,CHI @ POR,L,1080,18:00,0,,14400,14400,1080,0,donor_only
CHI_2019_20_G021,0021900298,2019-12-02,CHI @ SAC,W,1080,18:00,0,,14400,14400,1080,0,donor_only
CHI_2019_20_G022,0021900311,2019-12-04,CHI vs. MEM,W,1080,18:00,0,,14400,14400,1080,0,donor_only
CHI_2019_20_G023,0021900325,2019-12-06,CHI vs. GSW,L,1080,18:00,0,,14400,14400,1080,0,donor_only
CHI_2019_20_G024,0021900337,2019-12-08,CHI @ MIA,L,1080,18:00,0,,15901,15901,1080,0,donor_only
CHI_2019_20_G025,0021900345,2019-12-09,CHI vs. TOR,L,1080,18:00,0,,14400,14400,1080,0,donor_only
CHI_2019_20_G026,0021900361,2019-12-11,CHI vs. ATL,W,1080,18:00,0,,14400,14400,1080,0,donor_only
CHI_2019_20_G027,0021900375,2019-12-13,CHI vs. CHA,L,1080,18:00,0,,14400,14400,1080,0,donor_only
CHI_2019_20_G028,0021900382,2019-12-14,CHI vs. LAC,W,1080,18:00,0,,14400,14400,1080,0,donor_only
CHI_2019_20_G029,0021900399,2019-12-16,CHI @ OKC,L,1080,18:00,0,,14400,14400,1080,0,donor_only
CHI_2019_20_G030,0021900409,2019-12-18,CHI @ WAS,W,1080,18:00,0,,15900,15900,1080,0,donor_only
CHI_2019_20_G031,0021900432,2019-12-21,CHI @ DET,W,1080,18:00,0,,14400,14400,1080,0,donor_only
CHI_2019_20_G032,0021900448,2019-12-23,CHI @ ORL,L,1080,18:00,0,,14400,14400,1080,0,donor_only
CHI_2019_20_G033,0021900477,2019-12-28,CHI vs. ATL,W,1140,19:00,0,,14400,14400,1140,0,donor_only
CHI_2019_20_G034,0021900493,2019-12-30,CHI vs. MIL,L,1140,19:00,0,,14400,14400,1140,0,donor_only
CHI_2019_20_G035,0021900511,2020-01-02,CHI vs. UTA,L,1140,19:00,0,,14400,14400,1143,3,protected_net_zero_shift
CHI_2019_20_G036,0021900529,2020-01-04,CHI vs. BOS,L,1140,19:00,0,,14400,14400,1140,0,protected_net_zero_shift
CHI_2019_20_G037,0021900545,2020-01-06,CHI @ DAL,L,1140,19:00,0,,14400,14400,1140,0,donor_only
CHI_2019_20_G038,0021900560,2020-01-08,CHI @ NOP,L,1200,20:00,0,,14400,14400,1200,0,donor_only
CHI_2019_20_G039,0021900570,2020-01-10,CHI vs. IND,L,1200,20:00,0,,14400,14400,1200,0,protected_net_zero_shift
CHI_2019_20_G040,0021900579,2020-01-11,CHI @ DET,W,1200,20:00,0,,14401,14401,1200,0,donor_only
CHI_2019_20_G041,0021900593,2020-01-13,CHI @ BOS,L,1260,21:00,0,,14401,14401,1260,0,donor_only
CHI_2019_20_G042,0021900607,2020-01-15,CHI vs. WAS,W,1260,21:00,0,,14402,14402,1260,0,donor_only
CHI_2019_20_G043,0021900620,2020-01-17,CHI @ PHI,L,1320,22:00,0,,14400,14400,1320,0,donor_only
CHI_2019_20_G044,0021900631,2020-01-18,CHI vs. CLE,W,1320,22:00,0,,14400,14400,1680,360,protected_net_zero_shift
CHI_2019_20_G045,0021900647,2020-01-20,CHI @ MIL,L,1320,22:00,0,,14400,14400,1404,84,protected_net_zero_shift
CHI_2019_20_G046,0021900661,2020-01-22,CHI vs. MIN,W,1320,22:00,0,,14400,14400,1320,0,donor_only
CHI_2019_20_G047,0021900674,2020-01-24,CHI vs. SAC,L,1320,22:00,0,,14400,14400,2202,882,protected_net_zero_shift
CHI_2019_20_G048,0021900682,2020-01-25,CHI @ CLE,W,1260,21:00,0,,14400,14400,1395,135,donor_only
CHI_2019_20_G049,0021900695,2020-01-27,CHI vs. SAS,W,1320,22:00,0,,14400,14400,1800,480,donor_only
CHI_2019_20_G050,0021900708,2020-01-29,CHI @ IND,L,1380,23:00,0,,15900,15900,1860,480,donor_only
CHI_2019_20_G051,0021900721,2020-01-31,CHI @ BKN,L,1320,22:00,0,,14400,14400,2260,940,donor_only
CHI_2019_20_G052,0021900740,2020-02-02,CHI @ TOR,L,1800,30:00,1,Chandler Hutchison,14400,14400,2609,809,donor_only
CHI_2019_20_G053,0021900765,2020-02-06,CHI vs. NOP,L,1860,31:00,1,Chandler Hutchison,14400,14400,2804,944,donor_only
