event_id,game_id,date,matchup,actual_wl,actual_margin,scenario,protagonist_rating,protagonist_minutes,b2b_second_night,fatigue_penalty,real_player_impact_points,total_impact_points,alt_margin,alt_wl,flip
CHI_2019_20_G001,0021900003,2019-10-23,CHI @ CHA,L,-1,LOW,-2.7,16,0,0,0.280373,-0.619627,-1.619627,L,0
CHI_2019_20_G002,0021900020,2019-10-25,CHI @ MEM,W,8,LOW,-2.7,17,0,0,0.082658,-0.873592,7.126408,W,0
CHI_2019_20_G003,0021900031,2019-10-26,CHI vs. TOR,L,-24,LOW,-2.7,17,1,0,-0.495947,-1.452197,-25.452197,L,0
CHI_2019_20_G004,0021900042,2019-10-28,CHI @ NYK,L,-7,LOW,-2.7,17,0,0,0.166637,-0.789613,-7.789613,L,0
CHI_2019_20_G005,0021900055,2019-10-30,CHI @ CLE,L,-6,LOW,-2.7,17,0,0,0.166637,-0.789613,-6.789613,L,0
CHI_2019_20_G006,0021900073,2019-11-01,CHI vs. DET,W,6,LOW,-2.7,17,0,0,0.166637,-0.789613,5.210387,W,0
CHI_2019_20_G007,0021900085,2019-11-03,CHI @ IND,L,-13,LOW,-2.7,17,0,0,0.111619,-0.844631,-13.844631,L,0
CHI_2019_20_G008,0021900100,2019-11-05,CHI vs. LAL,L,-6,LOW,-2.7,19,0,0,0.289841,-0.778909,-6.778909,L,0
CHI_2019_20_G009,0021900105,2019-11-06,CHI @ ATL,W,20,LOW,-2.7,19,1,0,0.322707,-0.746043,19.253957,W,0
CHI_2019_20_G010,0021900129,2019-11-09,CHI vs. HOU,L,-23,LOW,-2.7,27,0,0,0.554006,-0.964744,-23.964744,L,0
CHI_2019_20_G011,0021900149,2019-11-12,CHI vs. NYK,W,18,LOW,-2.7,27,0,0,0.300054,-1.218696,16.781304,W,0
CHI_2019_20_G012,0021900163,2019-11-14,CHI @ MIL,L,-9,LOW,-2.7,27,0,0,0.522645,-0.996105,-9.996105,L,0
CHI_2019_20_G013,0021900175,2019-11-16,CHI vs. BKN,L,-6,LOW,-2.7,27,0,0,0.552142,-0.966608,-6.966608,L,0
CHI_2019_20_G014,0021900192,2019-11-18,CHI vs. MIL,L,-14,LOW,-2.7,27,0,0,0.351886,-1.166864,-15.166864,L,0
CHI_2019_20_G015,0021900209,2019-11-20,CHI vs. DET,W,20,LOW,-2.7,24,0,0,-0.305828,-1.655828,18.344172,W,0
CHI_2019_20_G016,0021900219,2019-11-22,CHI vs. MIA,L,-8,LOW,-2.7,24,0,0,-0.237227,-1.587227,-9.587227,L,0
