regularizer_minutes,fatigue_penalty,scenario,wins,losses,total_impact_points
500,0,LOW,19,46,-79.902704
500,0,BASE,21,44,-53.746454
500,0,HIGH,22,43,-30.496454
500,0.5,LOW,19,46,-81.777704
500,0.5,BASE,21,44,-55.621454
500,0.5,HIGH,21,44,-32.371454
500,1,LOW,19,46,-83.652704
500,1,BASE,21,44,-57.496454
500,1,HIGH,21,44,-34.246454
1000,0,LOW,20,45,-78.713897
1000,0,BASE,21,44,-52.557647
1000,0,HIGH,22,43,-29.307647
1000,0.5,LOW,20,45,-80.588897
1000,0.5,BASE,21,44,-54.432647
1000,0.5,HIGH,21,44,-31.182647
1000,1,LOW,20,45,-82.463897
1000,1,BASE,21,44,-56.307647
1000,1,HIGH,21,44,-33.057647
1500,0,LOW,21,44,-78.323189
1500,0,BASE,21,44,-52.166939
1500,0,HIGH,22,43,-28.916939
1500,0.5,LOW,21,44,-80.198189
1500,0.5,BASE,21,44,-54.041939
1500,0.5,HIGH,22,43,-30.791939
1500,1,LOW,21,44,-82.073189
1500,1,BASE,21,44,-55.916939
1500,1,HIGH,21,44,-32.666939
2000,0,LOW,21,44,-78.168463
2000,0,BASE,21,44,-52.012213
2000,0,HIGH,22,43,-28.762213
2000,0.5,LOW,21,44,-80.043463
2000,0.5,BASE,21,44,-53.887213
2000,0.5,HIGH,22,43,-30.637213
2000,1,LOW,21,44,-81.918463
2000,1,BASE,21,44,-55.762213
2000,1,HIGH,21,44,-32.512213
