player,gp,gs,seconds,minutes_display,pts,reb,ast,stl,blk,plus_minus,roster_function,donor_class
Zach LaVine,60,60,125125,34:45:25,1530,289,254,88,28,-191,primary_scorer,PROTECTED_ZERO
Tomas Satoransky,65,64,112678,31:17:58,644,254,354,80,7,-69,primary_guard,PROTECTED_ZERO
Coby White,65,1,100440,27:54:00,859,230,175,49,6,-163,rookie_guard,PROTECTED_ZERO
Thaddeus Young,64,16,95439,26:30:39,659,315,117,92,23,-209,veteran_forward,LIMITED_DONOR
Lauri Markkanen,50,50,89497,24:51:37,737,313,74,42,23,-68,core_shooting_big,PROTECTED_ZERO
Kris Dunn,51,32,76120,21:08:40,373,186,173,101,17,-29,point_of_attack_guard,PROTECTED_ZERO
Wendell Carter Jr.,43,43,75349,20:55:49,484,405,51,33,36,-29,core_center,PROTECTED_ZERO
Ryan Arcidiacono,58,4,55799,15:29:59,261,110,96,27,3,-82,reserve_guard,LIMITED_DONOR
Daniel Gafford,43,7,36543,10:09:03,220,106,21,13,56,-29,rookie_center,PROTECTED_ZERO
Luke Kornet,36,14,33514,9:18:34,215,84,32,11,26,-42,spacing_center,PROTECTED_ZERO
Chandler Hutchison,28,10,31608,8:46:48,218,108,26,27,7,-144,actual_wing_slot,DIRECT_REPLACED
Denzel Valentine,36,5,29275,8:07:55,246,74,43,26,6,-41,shooting_wing,SECONDARY_DONOR
Shaquille Harrison,43,10,29060,8:04:20,209,86,49,34,19,62,defensive_energy_wing,SECONDARY_DONOR
Cristiano Felicio,22,0,23143,6:25:43,86,102,16,10,2,-57,reserve_center,PROTECTED_ZERO
Otto Porter Jr.,14,9,19847,5:30:47,167,48,25,15,6,26,starting_wing,PROTECTED_ZERO
Adam Mokoka,11,0,6700,1:51:40,32,10,4,4,0,50,two_way_wing,FRINGE_DONOR
Max Strus,2,0,374,0:06:14,5,1,0,0,0,15,two_way_wing,FRINGE_DONOR
