team,games,wins,losses,win_pct
Philadelphia 76ers,44,31,13,0.704545
Milwaukee Bucks,43,29,14,0.674419
Brooklyn Nets,45,30,15,0.666667
Charlotte Hornets,43,22,21,0.511628
Atlanta Hawks,44,22,22,0.500000
Miami Heat,44,22,22,0.500000
New York Knicks,44,22,22,0.500000
Boston Celtics,44,21,23,0.477273
Indiana Pacers,43,20,23,0.465116
Chicago Bulls,43,19,24,0.441860
Toronto Raptors,44,18,26,0.409091
Cleveland Cavaliers,44,17,27,0.386364
Washington Wizards,42,15,27,0.357143
Orlando Magic,44,15,29,0.340909
Detroit Pistons,43,12,31,0.279070
