scope,event_id,date,team,player,historical_evidence,source_game_id,source_team,source_seconds,source_comment,previous_source_date,next_source_date,bracketing_observation_gap_days,edge_observation_distance_days,priority,alternate_availability,action
CHI_WATCH_ONLY,2020-12-23_CHI_ATL,2020-12-23,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2020-12-26_CHI_IND,2020-12-26,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2020-12-27_CHI_GSW,2020-12-27,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2020-12-29_WAS_CHI,2020-12-29,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2020-12-31_WAS_CHI,2020-12-31,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-01-01_MIL_CHI,2021-01-01,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-01-03_CHI_DAL,2021-01-03,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-01-05_POR_CHI,2021-01-05,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-01-06_SAC_CHI,2021-01-06,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-01-08_LAL_CHI,2021-01-08,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-01-10_LAC_CHI,2021-01-10,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-01-15_OKC_CHI,2021-01-15,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-01-17_DAL_CHI,2021-01-17,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-01-18_CHI_HOU,2021-01-18,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-01-22_CHA_CHI,2021-01-22,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-01-23_CHI_LAL,2021-01-23,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-01-25_CHI_BOS,2021-01-25,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-01-30_CHI_POR,2021-01-30,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-02-01_CHI_NYK,2021-02-01,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-02-03_CHI_NYK,2021-02-03,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-02-05_ORL_CHI,2021-02-05,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-02-06_ORL_CHI,2021-02-06,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-02-08_CHI_WAS,2021-02-08,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-02-10_CHI_NOP,2021-02-10,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-02-12_CHI_LAC,2021-02-12,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-02-15_IND_CHI,2021-02-15,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-02-17_CHI_DET,2021-02-17,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-02-19_PHI_CHI,2021-02-19,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-02-20_CHI_SAC,2021-02-20,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-02-22_HOU_CHI,2021-02-22,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-02-24_CHI_MIN,2021-02-24,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-02-26_CHI_PHX,2021-02-26,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-03-01_CHI_DEN,2021-03-01,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
CHI_WATCH_ONLY,2021-03-03_NOP_CHI,2021-03-03,CHI,Fictional Protagonist,FICTIONAL_NO_OBSERVATIONS,,,,,,,,,NO_AUTOMATIC_HEALTH_INFERENCE,NOT_SELECTED,Review causal health/registration separately; never map missing row to healthy or injured
