player_id,archive_player,nba_player,season,observed_through,bpm,obpm,dbpm,archive_gp,archive_minutes,nba_gp_including_zero_clock,nba_seconds,nba_last_date,zero_clock_appearances
achiupr01,Precious Achiuwa,Precious Achiuwa,2021,2021-03-25,-3.6,-2.9,-0.6,43,555,43,33316,2021-03-25,0
adamsja01,Jaylen Adams,Jaylen Adams,2021,2021-03-25,-19.8,-14.9,-5.0,7,18,7,1087,2021-02-18,0
adamsst01,Steven Adams,Steven Adams,2021,2021-03-25,-0.7,0.1,-0.8,40,1108,40,66503,2021-03-23,0
adebaba01,Bam Adebayo,Bam Adebayo,2021,2021-03-25,5.1,3.1,2.0,39,1311,39,78681,2021-03-25,0
aldrila01,LaMarcus Aldridge,LaMarcus Aldridge,2021,2021-03-25,-1.2,-0.2,-1.0,21,544,21,32649,2021-03-01,0
alexani01,Nickeil Alexander-Walker,Nickeil Alexander-Walker,2021,2021-03-25,-1.5,-1.7,0.2,35,657,35,39452,2021-03-23,0
alexaty01,Ty-Shon Alexander,Ty-Shon Alexander,2021,2021-03-25,-24.3,-18.0,-6.3,4,10,4,583,2021-03-23,0
allengr01,Grayson Allen,Grayson Allen,2021,2021-03-25,0.0,-0.3,0.4,29,715,29,42914,2021-03-24,0
allenja01,Jarrett Allen,Jarrett Allen,2021,2021-03-25,2.2,2.1,0.1,43,1226,43,73503,2021-03-24,0
aminual01,Al-Farouq Aminu,Al-Farouq Aminu,2021,2021-03-25,-3.3,-4.4,1.2,17,367,17,22003,2021-03-24,0
anderky01,Kyle Anderson,Kyle Anderson,2021,2021-03-25,2.4,1.1,1.3,39,1061,39,63650,2021-03-24,0
antetgi01,Giannis Antetokounmpo,Giannis Antetokounmpo,2021,2021-03-25,8.7,6.0,2.7,41,1400,41,83969,2021-03-24,0
antetko01,Kostas Antetokounmpo,Kostas Antetokounmpo,2021,2021-03-25,-7.3,-10.9,3.6,5,24,5,1452,2021-03-23,0
antetth01,Thanasis Antetokounmpo,Thanasis Antetokounmpo,2021,2021-03-25,-2.9,-2.7,-0.2,31,261,31,15676,2021-03-24,0
anthoca01,Carmelo Anthony,Carmelo Anthony,2021,2021-03-25,-1.7,-0.2,-1.4,43,1113,43,66776,2021-03-25,0
anthoco01,Cole Anthony,Cole Anthony,2021,2021-03-25,-4.1,-3.0,-1.1,25,667,25,40021,2021-02-09,0
anunoog01,OG Anunoby,O.G. Anunoby,2021,2021-03-25,0.8,0.1,0.8,26,863,26,51774,2021-03-24,0
arcidry01,Ryan Arcidiacono,Ryan Arcidiacono,2021,2021-03-25,-3.3,-3.3,0.0,26,296,26,17766,2021-03-24,0
arizatr01,Trevor Ariza,Trevor Ariza,2021,2021-03-25,-7.3,-6.7,-0.6,4,82,4,4926,2021-03-25,0
augusdj01,D.J. Augustin,D.J. Augustin,2021,2021-03-25,-2.4,-1.3,-1.1,40,775,40,46465,2021-03-24,0
avdijde01,Deni Avdija,Deni Avdija,2021,2021-03-25,-4.2,-3.6,-0.6,39,846,39,50787,2021-03-25,0
aytonde01,Deandre Ayton,Deandre Ayton,2021,2021-03-25,0.2,0.3,0.0,43,1312,43,78716,2021-03-24,0
azubuud01,Udoka Azubuike,Udoka Azubuike,2021,2021-03-25,-4.3,-5.5,1.2,12,49,12,2940,2021-01-29,0
bacondw01,Dwayne Bacon,Dwayne Bacon,2021,2021-03-25,-5.2,-3.8,-1.4,44,1095,44,65712,2021-03-24,0
baglema01,Marvin Bagley III,Marvin Bagley III,2021,2021-03-25,-3.5,-0.6,-2.9,37,951,37,57064,2021-03-15,0
ballla01,LaMelo Ball,LaMelo Ball,2021,2021-03-25,2.7,1.9,0.8,41,1174,41,70443,2021-03-20,0
balllo01,Lonzo Ball,Lonzo Ball,2021,2021-03-25,1.2,1.4,-0.2,38,1205,38,72308,2021-03-18,0
bambamo01,Mo Bamba,Mo Bamba,2021,2021-03-25,-1.0,-1.2,0.2,22,224,22,13464,2021-03-19,0
banede01,Desmond Bane,Desmond Bane,2021,2021-03-25,-1.4,-1.1,-0.3,37,832,37,49916,2021-03-24,0
barneha02,Harrison Barnes,Harrison Barnes,2021,2021-03-25,-0.3,1.3,-1.5,42,1512,42,90732,2021-03-25,0
barrerj01,RJ Barrett,RJ Barrett,2021,2021-03-25,-1.5,-1.1,-0.4,45,1530,45,91807,2021-03-25,0
bartowi01,Will Barton,Will Barton,2021,2021-03-25,-2.2,-0.8,-1.4,41,1261,41,75628,2021-03-24,0
bateske01,Keita Bates-Diop,Keita Bates-Diop,2021,2021-03-25,-2.0,-2.6,0.5,16,118,16,7082,2021-03-14,0
batumni01,Nicolas Batum,Nicolas Batum,2021,2021-03-25,1.3,0.7,0.6,43,1229,43,73751,2021-03-25,0
baynear01,Aron Baynes,Aron Baynes,2021,2021-03-25,-5.2,-3.7,-1.4,41,766,41,45948,2021-03-24,0
bazemke01,Kent Bazemore,Kent Bazemore,2021,2021-03-25,-1.3,-2.7,1.4,43,707,43,42399,2021-03-25,0
bazleda01,Darius Bazley,Darius Bazley,2021,2021-03-25,-4.1,-3.2,-0.9,36,1104,36,66258,2021-03-04,0
bealbr01,Bradley Beal,Bradley Beal,2021,2021-03-25,3.8,5.2,-1.5,40,1433,40,85999,2021-03-25,0
beaslma01,Malik Beasley,Malik Beasley,2021,2021-03-25,0.3,2.4,-2.1,33,1093,33,65557,2021-02-24,0
belljo01,Jordan Bell,Jordan Bell,2021,2021-03-25,-6.3,-5.1,-1.2,3,50,3,2986,2021-01-27,0
bembrde01,DeAndre' Bembry,DeAndre' Bembry,2021,2021-03-25,-2.1,-2.8,0.7,32,548,32,32901,2021-03-24,0
bertada01,Dāvis Bertāns,Davis Bertans,2021,2021-03-25,-1.6,0.0,-1.7,35,864,35,51834,2021-03-18,0
beverpa01,Patrick Beverley,Patrick Beverley,2021,2021-03-25,0.7,-0.1,0.9,29,689,29,41347,2021-03-11,0
beysa01,Saddiq Bey,Saddiq Bey,2021,2021-03-25,-0.7,0.3,-1.0,41,999,41,59941,2021-03-24,0
beyty01,Tyler Bey,Tyler Bey,2021,2021-03-25,-7.8,-5.3,-2.5,7,23,7,1371,2021-03-24,0
birchkh01,Khem Birch,Khem Birch,2021,2021-03-25,-2.0,-1.3,-0.7,43,849,43,50934,2021-03-24,0
bitadgo01,Goga Bitadze,Goga Bitadze,2021,2021-03-25,-2.5,-3.1,0.6,24,230,24,13790,2021-03-24,0
biyombi01,Bismack Biyombo,Bismack Biyombo,2021,2021-03-25,-3.1,-2.8,-0.3,41,890,41,53373,2021-03-24,0
bjeline01,Nemanja Bjelica,Nemanja Bjelica,2021,2021-03-25,-3.0,-1.3,-1.7,26,439,26,26340,2021-03-22,0
bledser01,Eric Bledsoe,Eric Bledsoe,2021,2021-03-25,-3.1,-1.4,-1.7,42,1225,42,73522,2021-03-23,0
blevike01,Keljin Blevins,Keljin Blevins,2021,2021-03-25,-14.1,-10.9,-3.2,9,47,9,2814,2021-02-22,0
bogdabo01,Bogdan Bogdanović,Bogdan Bogdanovic,2021,2021-03-25,-1.1,-0.4,-0.7,19,445,19,26696,2021-03-24,0
bogdabo02,Bojan Bogdanović,Bojan Bogdanovic,2021,2021-03-25,-1.5,-0.4,-1.1,43,1299,43,77952,2021-03-24,0
bolbo01,Bol Bol,Bol Bol,2021,2021-03-25,-2.6,-2.5,-0.1,19,102,19,6097,2021-03-24,0
boldema01,Marques Bolden,Marques Bolden,2021,2021-03-25,-2.8,-3.4,0.6,6,29,6,1718,2021-01-12,0
bonejo01,Jordan Bone,Jordan Bone,2021,2021-03-25,-4.2,-2.6,-1.6,14,196,14,11751,2021-02-02,0
bongais01,Isaac Bonga,Isaac Bonga,2021,2021-03-25,-6.1,-4.9,-1.2,28,341,28,20462,2021-03-25,0
bookede01,Devin Booker,Devin Booker,2021,2021-03-25,0.3,1.3,-1.0,39,1316,39,78972,2021-03-24,0
bouchch01,Chris Boucher,Chris Boucher,2021,2021-03-25,3.3,3.1,0.3,44,1041,44,62462,2021-03-24,0
bowenbr02,Brian Bowen,Brian Bowen II,2021,2021-03-25,-4.0,-1.2,-2.8,2,7,2,395,2021-03-15,0
bradlav01,Avery Bradley,Avery Bradley,2021,2021-03-25,-3.2,-2.7,-0.6,10,211,10,12646,2021-02-03,0
bradlto01,Tony Bradley,Tony Bradley,2021,2021-03-25,3.1,2.1,1.0,20,287,20,17249,2021-03-23,0
brantja01,Jarrell Brantley,Jarrell Brantley,2021,2021-03-25,4.4,1.6,2.8,13,35,13,2071,2021-03-24,0
brazdig01,Ignas Brazdeikis,Ignas Brazdeikis,2021,2021-03-25,-4.8,-2.9,-1.9,4,7,4,426,2021-01-17,0
bridgmi01,Mikal Bridges,Mikal Bridges,2021,2021-03-25,2.9,2.2,0.8,43,1395,43,83684,2021-03-24,0
bridgmi02,Miles Bridges,Miles Bridges,2021,2021-03-25,-1.3,-1.1,-0.1,43,1130,43,67795,2021-03-24,0
brogdma01,Malcolm Brogdon,Malcolm Brogdon,2021,2021-03-25,1.4,2.7,-1.3,41,1457,41,87388,2021-03-24,0
brookdi01,Dillon Brooks,Dillon Brooks,2021,2021-03-25,-4.5,-3.2,-1.3,38,1110,38,66615,2021-03-24,0
