scenario,player,actual_seconds,alternate_seconds,delta_seconds,alternate_gp,alternate_gs,status
PORTER_ZERO,Adam Mokoka,570,570,0,5,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_ZERO,Al-Farouq Aminu,4045,0,-4045,0,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_ZERO,Coby White,47626,42192,-5434,26,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_ZERO,Cristiano Felicio,2629,2629,0,11,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_ZERO,Daniel Theis,34430,30898,-3532,23,12,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_ZERO,Denzel Valentine,18980,12886,-6094,23,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_ZERO,Devon Dotson,2441,2441,0,10,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_ZERO,Garrett Temple,33048,31316,-1732,21,13,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_ZERO,Javonte Green,7704,7704,0,16,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_ZERO,LaMelo Ball,0,48720,48720,29,29,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_ZERO,Lauri Markkanen,37617,37617,0,28,3,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_ZERO,Nikola Vucevic,50862,0,-50862,0,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_ZERO,Otto Porter Jr.,0,0,0,0,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_ZERO,Patrick Williams,47431,0,-47431,0,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_ZERO,Protagonist,0,52200,52200,29,29,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_ZERO,Ryan Arcidiacono,9260,4589,-4671,13,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_ZERO,Thaddeus Young,40686,40984,298,29,15,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_ZERO,Tomas Satoransky,35110,25721,-9389,26,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_ZERO,Troy Brown Jr.,14197,0,-14197,0,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_ZERO,Wendell Carter Jr.,0,46169,46169,29,29,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_ZERO,Zach LaVine,30967,30967,0,15,15,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_12_STRESS,Adam Mokoka,570,570,0,5,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_12_STRESS,Al-Farouq Aminu,4045,0,-4045,0,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_12_STRESS,Coby White,47626,37504,-10122,26,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_12_STRESS,Cristiano Felicio,2629,2629,0,11,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_12_STRESS,Daniel Theis,34430,30898,-3532,23,12,CONDITIONAL_CAPACITY_NOT_CANON
