scenario,event_id,date,player,actual_seconds,alternate_seconds,delta_seconds,actual_start,alternate_start,treatment
PORTER_ZERO,CHI_2020_21_G044,2021-03-27,Al-Farouq Aminu,738,0,-738,0,0,NOT_ON_ALTERNATE_ROSTER
PORTER_ZERO,CHI_2020_21_G044,2021-03-27,Coby White,1535,1535,0,0,0,OBSERVED_BASELINE_RETAINED
PORTER_ZERO,CHI_2020_21_G044,2021-03-27,Cristiano Felicio,106,106,0,0,0,OBSERVED_BASELINE_RETAINED
PORTER_ZERO,CHI_2020_21_G044,2021-03-27,Denzel Valentine,348,348,0,0,0,OBSERVED_BASELINE_RETAINED
PORTER_ZERO,CHI_2020_21_G044,2021-03-27,Devon Dotson,106,106,0,0,0,OBSERVED_BASELINE_RETAINED
PORTER_ZERO,CHI_2020_21_G044,2021-03-27,Garrett Temple,1347,1347,0,0,0,OBSERVED_BASELINE_RETAINED
PORTER_ZERO,CHI_2020_21_G044,2021-03-27,Javonte Green,628,628,0,0,0,OBSERVED_BASELINE_RETAINED
PORTER_ZERO,CHI_2020_21_G044,2021-03-27,Lauri Markkanen,1566,1566,0,1,1,OBSERVED_BASELINE_RETAINED
PORTER_ZERO,CHI_2020_21_G044,2021-03-27,Nikola Vucevic,1906,0,-1906,1,0,NOT_ON_ALTERNATE_ROSTER
PORTER_ZERO,CHI_2020_21_G044,2021-03-27,Patrick Williams,1143,0,-1143,1,0,NOT_ON_ALTERNATE_ROSTER
PORTER_ZERO,CHI_2020_21_G044,2021-03-27,Ryan Arcidiacono,106,101,-5,0,0,SAME_DATE_DONOR
PORTER_ZERO,CHI_2020_21_G044,2021-03-27,Thaddeus Young,1338,1338,0,0,0,OBSERVED_BASELINE_RETAINED
PORTER_ZERO,CHI_2020_21_G044,2021-03-27,Tomas Satoransky,1035,600,-435,1,0,SAME_DATE_DONOR
PORTER_ZERO,CHI_2020_21_G044,2021-03-27,Troy Brown Jr.,813,0,-813,0,0,NOT_ON_ALTERNATE_ROSTER
PORTER_ZERO,CHI_2020_21_G044,2021-03-27,Zach LaVine,1685,1685,0,1,1,OBSERVED_BASELINE_RETAINED
PORTER_ZERO,CHI_2020_21_G044,2021-03-27,Protagonist,0,1800,1800,0,1,CONDITIONAL_AVAILABILITY
PORTER_ZERO,CHI_2020_21_G044,2021-03-27,LaMelo Ball,0,1680,1680,0,1,CONDITIONAL_AVAILABILITY
PORTER_ZERO,CHI_2020_21_G044,2021-03-27,Wendell Carter Jr.,0,1560,1560,0,1,CONDITIONAL_AVAILABILITY
PORTER_ZERO,CHI_2020_21_G044,2021-03-27,Otto Porter Jr.,0,0,0,0,0,CONDITIONAL_AVAILABILITY
PORTER_ZERO,CHI_2020_21_G045,2021-03-29,Al-Farouq Aminu,0,0,0,0,0,NOT_ON_ALTERNATE_ROSTER
PORTER_ZERO,CHI_2020_21_G045,2021-03-29,Cristiano Felicio,101,101,0,0,0,OBSERVED_BASELINE_RETAINED
PORTER_ZERO,CHI_2020_21_G045,2021-03-29,Daniel Theis,1328,1328,0,0,0,OBSERVED_BASELINE_RETAINED
PORTER_ZERO,CHI_2020_21_G045,2021-03-29,Denzel Valentine,0,0,0,0,0,OBSERVED_BASELINE_RETAINED
PORTER_ZERO,CHI_2020_21_G045,2021-03-29,Devon Dotson,198,198,0,0,0,OBSERVED_BASELINE_RETAINED
PORTER_ZERO,CHI_2020_21_G045,2021-03-29,Garrett Temple,129,129,0,0,0,OBSERVED_BASELINE_RETAINED
PORTER_ZERO,CHI_2020_21_G045,2021-03-29,Javonte Green,755,755,0,0,0,OBSERVED_BASELINE_RETAINED
PORTER_ZERO,CHI_2020_21_G045,2021-03-29,Lauri Markkanen,1330,1330,0,0,0,OBSERVED_BASELINE_RETAINED
PORTER_ZERO,CHI_2020_21_G045,2021-03-29,Nikola Vucevic,1593,0,-1593,1,0,NOT_ON_ALTERNATE_ROSTER
PORTER_ZERO,CHI_2020_21_G045,2021-03-29,Patrick Williams,1960,0,-1960,1,0,NOT_ON_ALTERNATE_ROSTER
