player,teams,cutoff,last_observed_date,gp,seconds,pts,reb,ast,stl,blk,tov,pf,fgm,fga,fg3m,fg3a,ftm,fta,pts36,reb36,ast36,stl36,blk36,tov36,pf36,sample_status
Aaron Gordon,ORL,2021-03-24,2021-03-24,25,44138,364,166,105,16,20,67,49,128,293,42,112,66,105,17.81322217,8.12361231,5.13842947,0.78299878,0.97874847,3.27880738,2.39793375,OBSERVED_NOT_CAUSAL
Aaron Holiday,IND,2021-03-24,2021-03-22,41,44301,284,50,71,26,5,32,68,105,284,40,121,34,45,13.84709149,2.43786822,3.46177287,1.26769147,0.24378682,1.56023566,3.31550078,OBSERVED_NOT_CAUSAL
Aaron Nesmith,BOS,2021-03-24,2021-03-22,22,20192,88,53,8,5,5,12,42,29,74,20,55,10,14,9.41362916,5.66957211,0.85578447,0.53486529,0.53486529,1.2836767,4.49286846,OBSERVED_NOT_CAUSAL
Abdel Nader,PHX,2021-03-24,2021-03-21,24,21314,160,62,19,10,9,19,34,57,116,18,43,28,37,16.21469457,6.28319414,1.92549498,1.01341841,0.91207657,1.92549498,3.4456226,OBSERVED_NOT_CAUSAL
Adam Mokoka,CHI,2021-03-24,2021-03-22,9,2801,13,4,4,2,1,2,5,6,15,1,8,0,0,10.02499107,3.08461264,3.08461264,1.54230632,0.77115316,1.54230632,3.8557658,LIMITED_UNDER_120_MIN
Al-Farouq Aminu,ORL,2021-03-24,2021-03-24,17,22003,93,91,29,17,9,25,22,36,89,7,31,14,17,9.12966414,8.93332727,2.84688452,1.66886334,0.88351588,2.45421079,2.15970549,OBSERVED_NOT_CAUSAL
Alen Smailagic,GSW,2021-03-24,2021-03-20,3,775,5,0,0,0,0,0,5,2,7,1,4,0,2,13.93548387,0.0,0.0,0.0,0.0,0.0,13.93548387,LIMITED_UNDER_120_MIN
Alize Johnson,BKN,2021-03-24,2021-03-24,1,1978,23,15,3,2,0,1,1,11,15,0,1,1,1,25.11627907,16.380182,3.2760364,2.18402427,0.0,1.09201213,1.09201213,LIMITED_UNDER_120_MIN
Andre Iguodala,MIA,2021-03-24,2021-03-23,40,51165,186,146,85,40,19,40,54,63,161,42,122,18,29,7.85224274,6.16358839,3.5883905,1.68865435,0.80211082,1.68865435,2.27968338,OBSERVED_NOT_CAUSAL
Andrew Wiggins,GSW,2021-03-24,2021-03-23,44,85047,778,203,93,41,41,83,101,293,625,85,222,107,154,19.75942714,5.15573742,2.36198808,1.04130657,1.04130657,2.10801086,2.56516985,OBSERVED_NOT_CAUSAL
Anthony Edwards,MIN,2021-03-24,2021-03-24,44,80026,745,188,113,42,16,87,74,274,711,94,298,103,133,20.10846475,5.07435084,3.05000875,1.13363157,0.43185965,2.34823682,1.99735086,OBSERVED_NOT_CAUSAL
Anthony Tolliver,,2021-03-24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,NO_PREDEADLINE_SAMPLE
Aron Baynes,TOR,2021-03-24,2021-03-24,41,45948,245,219,37,12,16,36,93,101,238,20,80,23,32,11.51736746,10.29511622,1.73935753,0.56411596,0.75215461,1.69234787,4.37189867,OBSERVED_NOT_CAUSAL
Bam Adebayo,MIA,2021-03-24,2021-03-23,38,76764,728,360,204,33,41,108,90,270,485,2,7,186,220,20.48460216,10.12974832,5.74019071,0.92856026,1.15366578,3.0389245,2.53243708,OBSERVED_NOT_CAUSAL
Ben Simmons,PHI,2021-03-24,2021-03-23,36,73694,579,288,272,54,25,126,111,227,403,3,8,122,189,16.97071675,8.44139279,7.97242652,1.58276115,0.73275979,3.69310934,3.25345347,OBSERVED_NOT_CAUSAL
Bismack Biyombo,CHA,2021-03-24,2021-03-24,41,53373,227,219,55,11,47,41,98,96,166,0,1,35,72,9.18666742,8.86290821,2.22584453,0.44516891,1.90208532,1.65926592,3.96605025,OBSERVED_NOT_CAUSAL
Blake Griffin,BKN;DET,2021-03-24,2021-03-23,22,39643,255,111,77,16,3,33,45,85,228,40,126,45,64,13.89400399,6.04797821,4.19544434,0.87178064,0.16345887,1.79804757,2.45188306,OBSERVED_NOT_CAUSAL
Bobby Portis,MIL,2021-03-24,2021-03-24,43,54150,475,293,46,33,17,34,79,199,370,49,102,28,38,18.94736842,11.68753463,1.83490305,1.31634349,0.67811634,1.35623269,3.15124654,OBSERVED_NOT_CAUSAL
Bogdan Bogdanovic,ATL,2021-03-24,2021-03-24,19,26696,193,64,42,10,4,19,38,70,173,39,113,14,15,15.6158226,5.17830387,3.39826191,0.80910998,0.32364399,1.53730896,3.07461792,OBSERVED_NOT_CAUSAL
Bojan Bogdanovic,UTA,2021-03-24,2021-03-24,43,77952,644,165,82,22,2,65,70,208,502,107,279,121,139,17.84482759,4.57204433,2.27216749,0.60960591,0.05541872,1.80110837,1.93965517,OBSERVED_NOT_CAUSAL
Brad Wanamaker,GSW,2021-03-24,2021-03-20,39,37509,185,66,99,26,6,37,55,61,173,13,61,50,56,10.65344317,3.80068783,5.70103175,1.49724066,0.34551708,2.13068863,3.16723986,OBSERVED_NOT_CAUSAL
Brandon Clarke,MEM,2021-03-24,2021-03-24,36,56381,421,203,56,39,32,21,55,176,338,17,54,52,75,16.12883773,7.77708803,2.14540359,1.49412036,1.22594491,0.80452635,2.10709281,OBSERVED_NOT_CAUSAL
Brandon Goodwin,ATL,2021-03-24,2021-03-18,27,17863,106,27,43,10,0,15,23,37,109,15,53,17,24,12.81755584,3.26484913,5.19957454,1.20920338,0.0,1.81380507,2.78116778,OBSERVED_NOT_CAUSAL
Brian Bowen II,IND,2021-03-24,2021-03-15,2,395,3,1,0,0,0,0,0,1,2,0,0,1,1,16.40506329,5.46835443,0.0,0.0,0.0,0.0,0.0,LIMITED_UNDER_120_MIN
Brodric Thomas,CLE;HOU,2021-03-24,2021-03-24,9,3765,31,7,9,2,2,4,8,10,23,4,13,7,9,17.78486056,4.01593625,5.16334661,1.14741036,1.14741036,2.29482072,4.58964143,LIMITED_UNDER_120_MIN
Brook Lopez,MIL,2021-03-24,2021-03-24,43,70439,494,216,31,26,59,40,88,180,381,64,192,70,84,15.1484263,6.6236034,0.95060975,0.79728559,1.809225,1.22659322,2.69850509,OBSERVED_NOT_CAUSAL
Bruce Brown,BKN,2021-03-24,2021-03-24,41,51640,340,186,59,30,12,31,85,142,258,9,37,47,66,14.22153369,7.78001549,2.46785438,1.25484121,0.50193648,1.29666925,3.55538342,OBSERVED_NOT_CAUSAL
Bruno Fernando,ATL,2021-03-24,2021-03-18,21,9757,31,63,9,2,3,15,18,11,27,0,2,9,15,6.86276519,13.94690991,1.9924157,0.44275904,0.66413857,3.32069284,3.9848314,OBSERVED_NOT_CAUSAL
Bryn Forbes,MIL,2021-03-24,2021-03-22,42,47326,399,51,24,8,0,23,43,143,308,90,198,23,31,18.2107087,2.32768457,1.09538097,0.36512699,0.0,1.0497401,1.96255758,OBSERVED_NOT_CAUSAL
