event_id,game_id,date,opponent,matchup,opponent_input_status,source
CHI_2020_21_G044,0022000697,2021-03-27,SAS,CHI @ SAS,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G045,0022000716,2021-03-29,GSW,CHI @ GSW,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G046,0022000730,2021-03-31,PHX,CHI @ PHX,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G047,0022000743,2021-04-02,UTA,CHI @ UTA,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G048,0022000755,2021-04-04,BKN,CHI vs. BKN,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G049,0022000769,2021-04-06,IND,CHI @ IND,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G050,0022000523,2021-04-08,TOR,CHI @ TOR,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G051,0022000791,2021-04-09,ATL,CHI @ ATL,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G052,0022000812,2021-04-11,MIN,CHI @ MIN,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G053,0022000278,2021-04-12,MEM,CHI @ MEM,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G054,0022000833,2021-04-14,ORL,CHI vs. ORL,ORLANDO_TRANSACTION_BRANCH_HOLD,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G055,0022000850,2021-04-16,MEM,CHI vs. MEM,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G056,0022000857,2021-04-17,CLE,CHI vs. CLE,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G057,0022000869,2021-04-19,BOS,CHI @ BOS,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G058,0022000881,2021-04-21,CLE,CHI @ CLE,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G059,0022000896,2021-04-22,CHA,CHI vs. CHA,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G060,0022000907,2021-04-24,MIA,CHI @ MIA,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G061,0022000922,2021-04-26,MIA,CHI @ MIA,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G062,0022000937,2021-04-28,NYK,CHI @ NYK,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G063,0022000954,2021-04-30,MIL,CHI vs. MIL,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G064,0022000959,2021-05-01,ATL,CHI @ ATL,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G065,0022000979,2021-05-03,PHI,CHI vs. PHI,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G066,0022000434,2021-05-06,CHA,CHI @ CHA,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G067,0022000160,2021-05-07,BOS,CHI vs. BOS,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G068,0022001023,2021-05-09,DET,CHI @ DET,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G069,0022001036,2021-05-11,BKN,CHI vs. BKN,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G070,0022001051,2021-05-13,TOR,CHI vs. TOR,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G071,0022001060,2021-05-15,BKN,CHI @ BKN,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
CHI_2020_21_G072,0022001068,2021-05-16,MIL,CHI vs. MIL,CONTACT_REVIEW_REQUIRED,CHICAGO_2020_21_POSTDEADLINE_CAPACITY_GAMES.csv
