player_name,player_id,season,season_type,team,poss,mp,raptor_total
Precious Achiuwa,achiupr01,2021,RS,MIA,1557,737,-3.404395982938342
Jaylen Adams,adamsja01,2021,RS,MIL,41,18,-18.23127474429081
Steven Adams,adamsst01,2021,RS,NOP,3313,1605,.5017240156481708
Bam Adebayo,adebaba01,2021,RS,MIA,4362,2143,2.169473224569729
LaMarcus Aldridge,aldrila01,2021,RS,BRK,265,130,1.167244276860221
LaMarcus Aldridge,aldrila01,2021,RS,SAS,1138,544,-4.292835076551621
Nickeil Alexander-Walker,alexani01,2021,RS,NOP,2109,1007,-.6421805349285952
Ty-Shon Alexander,alexaty01,2021,RS,PHO,98,47,-5.939356181619777
Grayson Allen,allengr01,2021,RS,MEM,2684,1259,.3553865441249082
Jarrett Allen,allenja01,2021,RS,BRK,690,320,5.546726577676254
Jarrett Allen,allenja01,2021,RS,CLE,3153,1544,.0125620546352592
Al-Farouq Aminu,aminual01,2021,RS,CHI,134,67,-2.89911457674334
Al-Farouq Aminu,aminual01,2021,RS,ORL,753,367,-.3212158687696247
Kyle Anderson,anderky01,2021,RS,MEM,4023,1887,2.817267686557397
Giannis Antetokounmpo,antetgi01,2021,RS,MIL,4369,2013,6.591366730637092
Kostas Antetokounmpo,antetko01,2021,RS,LAL,131,56,-4.324307191763051
Thanasis Antetokounmpo,antetth01,2021,RS,MIL,1224,551,-.8964406408080836
Carmelo Anthony,anthoca01,2021,RS,POR,3494,1690,-2.352486958235268
Cole Anthony,anthoco01,2021,RS,ORL,2654,1273,-5.139136637983576
OG Anunoby,anunoog01,2021,RS,TOR,2982,1433,2.465752674461378
Ryan Arcidiacono,arcidry01,2021,RS,CHI,930,450,.4203958860787745
Trevor Ariza,arizatr01,2021,RS,MIA,1723,841,1.595749383969643
D.J. Augustin,augusdj01,2021,RS,HOU,876,416,-3.373101032933523
D.J. Augustin,augusdj01,2021,RS,MIL,1523,713,-.9756643127505988
Deni Avdija,avdijde01,2021,RS,WAS,2783,1257,-1.801579037079815
Deandre Ayton,aytonde01,2021,RS,PHO,4320,2115,.9789222759478867
Udoka Azubuike,azubuud01,2021,RS,UTA,124,57,-14.69296009576356
Dwayne Bacon,bacondw01,2021,RS,ORL,3875,1853,-4.629792566532263
Marvin Bagley III,baglema01,2021,RS,SAC,2346,1112,-2.553118558064319
LaMelo Ball,ballla01,2021,RS,CHA,3163,1469,.2649097547342922
Lonzo Ball,balllo01,2021,RS,NOP,3669,1747,1.816285081135142
Mo Bamba,bambamo01,2021,RS,ORL,1527,725,-3.315042586595421
Desmond Bane,banede01,2021,RS,MEM,3219,1519,-1.531597249356129
Harrison Barnes,barneha02,2021,RS,SAC,4430,2102,1.15591103080302
RJ Barrett,barrerj01,2021,RS,NYK,5103,2511,-.2084523445700725
Will Barton,bartowi01,2021,RS,DEN,3527,1736,-2.008969570886511
Keita Bates-Diop,bateske01,2021,RS,SAS,525,245,-1.402922312653979
Nicolas Batum,batumni01,2021,RS,LAC,3766,1835,2.56434578986933
Aron Baynes,baynear01,2021,RS,TOR,2068,980,-4.34540111228366
Kent Bazemore,bazemke01,2021,RS,GSW,2882,1333,.7012005471251053
Darius Bazley,bazleda01,2021,RS,OKC,3658,1714,-5.222831395139959
Bradley Beal,bealbr01,2021,RS,WAS,4706,2147,3.285157842495126
Malik Beasley,beaslma01,2021,RS,MIN,2582,1214,-1.703686166585225
Jordan Bell,belljo01,2021,RS,GSW,32,15,-13.98770843012131
Jordan Bell,belljo01,2021,RS,WAS,138,67,-7.59069967753301
DeAndre' Bembry,bembrde01,2021,RS,TOR,2047,972,-1.507770626082525
Davis Bertans,bertada01,2021,RS,WAS,3250,1464,1.224908443575166
Patrick Beverley,beverpa01,2021,RS,LAC,1700,832,-.3040762408468959
Saddiq Bey,beysa01,2021,RS,DET,3956,1909,-3.284695243147896
Tyler Bey,beyty01,2021,RS,DAL,159,71,-12.991060296425
Khem Birch,birchkh01,2021,RS,ORL,1984,952,.3316621749871582
Khem Birch,birchkh01,2021,RS,TOR,1192,577,.1829706504803359
Goga Bitadze,bitadgo01,2021,RS,IND,1230,561,-.7987874641080086
Bismack Biyombo,biyombi01,2021,RS,CHA,2796,1349,-4.743835494830869
Nemanja Bjelica,bjeline01,2021,RS,MIA,318,156,-.787284736943437
Nemanja Bjelica,bjeline01,2021,RS,SAC,929,439,-5.014723551837014
Eric Bledsoe,bledser01,2021,RS,NOP,4471,2111,-2.223889121535795
Keljin Blevins,blevike01,2021,RS,POR,175,75,-11.71822326711762
Bogdan Bogdanovic,bogdabo01,2021,RS,ATL,2708,1305,3.65857656196502
Bojan Bogdanovic,bogdabo02,2021,RS,UTA,4614,2216,-1.719030599576534
Bol Bol,bolbo01,2021,RS,DEN,369,160,-10.49444633142968
Marques Bolden,boldema01,2021,RS,CLE,60,29,2.531354188163672
Jordan Bone,bonejo01,2021,RS,ORL,414,196,-7.939267261888972
Isaac Bonga,bongais01,2021,RS,WAS,945,432,-3.021517025698285
Devin Booker,bookede01,2021,RS,PHO,4658,2270,1.761765808265819
Chris Boucher,bouchch01,2021,RS,TOR,3028,1453,2.022558558185268
Brian Bowen II,bowenbr02,2021,RS,IND,32,15,-11.1605244599872
Avery Bradley,bradlav01,2021,RS,HOU,833,391,-7.291293582928745
Avery Bradley,bradlav01,2021,RS,MIA,451,211,-2.554342820914402
Tony Bradley,bradlto01,2021,RS,OKC,853,397,-.4499941820723062
Tony Bradley,bradlto01,2021,RS,PHI,606,287,4.062752191940384
Jarrell Brantley,brantja01,2021,RS,UTA,298,138,-1.702726866941815
Ignas Brazdeikis,brazdig01,2021,RS,NYK,16,7,-17.7771178778073
Ignas Brazdeikis,brazdig01,2021,RS,ORL,495,234,-1.850493760475186
Ignas Brazdeikis,brazdig01,2021,RS,PHI,15,8,-7.898297351761486
Mikal Bridges,bridgmi01,2021,RS,PHO,4809,2348,3.04263782270022
Miles Bridges,bridgmi02,2021,RS,CHA,4056,1932,.3046122058099463
Amida Brimah,brimaam01,2021,RS,IND,66,29,-2.281985918059856
Oshae Brissett,brissos01,2021,RS,IND,1158,519,1.305090717919728
Malcolm Brogdon,brogdma01,2021,RS,IND,4062,1930,.2256763330455853
Armoni Brooks,brookar01,2021,RS,HOU,1115,520,-3.934465614684489
Dillon Brooks,brookdi01,2021,RS,MEM,4250,1997,.1814935441528607
Bruce Brown,brownbr01,2021,RS,BRK,3030,1451,1.112750542967233
Charlie Brown Jr.,brownch02,2021,RS,OKC,331,152,-6.728513038176567
Jaylen Brown,brownja02,2021,RS,BOS,4172,1999,1.852394516145907
Moses Brown,brownmo01,2021,RS,OKC,2008,920,-2.199955528843063
Sterling Brown,brownst02,2021,RS,HOU,2615,1229,-2.161577340935698
Troy Brown Jr.,browntr01,2021,RS,CHI,478,237,3.220911050596787
Troy Brown Jr.,browntr01,2021,RS,WAS,617,287,-9.222923786696198
Jalen Brunson,brunsja01,2021,RS,DAL,3494,1697,1.756830972537159
Elijah Bryant,bryanel01,2021,RS,MIL,71,32,-3.776587033568257
Thomas Bryant,bryanth01,2021,RS,WAS,606,271,-.9538884191510628
