date,game_id,player,team,seconds,pts,reb,ast,stl,blk,tov,pf
2020-12-29,0022000053,Kira Lewis Jr.,NOP,578,4,0,1,1,0,0,0
2020-12-31,0022000067,Kira Lewis Jr.,NOP,188,0,0,0,0,0,0,0
2021-01-13,0022000172,Kira Lewis Jr.,NOP,934,10,2,0,0,1,1,2
2021-01-15,0022000187,Kira Lewis Jr.,NOP,642,4,0,2,0,0,0,1
2021-01-17,0022000201,Kira Lewis Jr.,NOP,906,3,2,5,0,0,0,3
2021-01-19,0022000214,Kira Lewis Jr.,NOP,219,4,0,0,0,0,0,0
2021-01-21,0022000227,Kira Lewis Jr.,NOP,119,0,0,1,0,0,0,0
2021-01-30,0022000300,Kira Lewis Jr.,NOP,593,10,0,1,0,0,0,0
2021-02-01,0022000317,Kira Lewis Jr.,NOP,937,2,1,1,1,0,0,1
2021-02-03,0022000335,Kira Lewis Jr.,NOP,153,2,0,0,0,0,0,0
2021-02-06,0022000355,Kira Lewis Jr.,NOP,1131,6,1,4,1,0,2,2
2021-02-09,0022000377,Kira Lewis Jr.,NOP,1191,10,2,1,0,0,2,3
2021-02-10,0022000385,Kira Lewis Jr.,NOP,1425,14,2,4,2,0,0,2
2021-02-12,0022000399,Kira Lewis Jr.,NOP,997,5,2,0,0,0,1,1
2021-02-14,0022000561,Kira Lewis Jr.,NOP,1000,10,0,2,4,0,1,0
2021-02-16,0022000429,Kira Lewis Jr.,NOP,1331,4,1,4,1,0,1,2
2021-02-17,0022000441,Kira Lewis Jr.,NOP,1049,6,2,4,0,0,0,0
2021-02-19,0022000455,Kira Lewis Jr.,NOP,1127,0,1,4,1,0,0,2
2021-02-21,0022000465,Kira Lewis Jr.,NOP,410,0,0,3,0,0,0,0
2021-02-24,0022000494,Kira Lewis Jr.,NOP,410,5,0,0,0,0,1,3
2021-03-04,0022000557,Kira Lewis Jr.,NOP,1029,11,1,1,1,0,0,3
2021-03-11,0022000574,Kira Lewis Jr.,NOP,1325,11,2,4,3,1,0,1
2021-03-12,0022000581,Kira Lewis Jr.,NOP,1372,5,3,0,1,0,2,3
2021-03-14,0022000601,Kira Lewis Jr.,NOP,1632,13,3,4,2,0,2,2
2021-03-16,0022000614,Kira Lewis Jr.,NOP,558,0,0,2,1,0,0,1
2021-03-18,0022000629,Kira Lewis Jr.,NOP,600,2,0,3,0,0,0,1
2021-03-21,0022000646,Kira Lewis Jr.,NOP,1001,6,0,0,1,0,0,0
2021-03-23,0022000663,Kira Lewis Jr.,NOP,1211,16,1,6,0,2,0,2
