event_id,game_id,date,player,actual_seconds,alternate_seconds,delta_seconds,actual_minutes,alternate_minutes,actual_start,alternate_start,season_class
CHI_2020_21_G001,0022000015,2020-12-23,Chandler Hutchison,1115,0,-1115,18:35,0:00,0,0,DIRECT_REMOVED_POOL
CHI_2020_21_G001,0022000015,2020-12-23,Patrick Williams,1983,0,-1983,33:03,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G001,0022000015,2020-12-23,Ryan Arcidiacono,1175,1153,-22,19:35,19:13,0,0,LIMITED_GUARD_DONOR
CHI_2020_21_G002,0022000026,2020-12-26,Chandler Hutchison,451,0,-451,7:31,0:00,0,0,DIRECT_REMOVED_POOL
CHI_2020_21_G002,0022000026,2020-12-26,Coby White,1497,1200,-297,24:57,20:00,1,1,ROLE_RECALC_DONOR
CHI_2020_21_G002,0022000026,2020-12-26,Denzel Valentine,774,360,-414,12:54,6:00,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G002,0022000026,2020-12-26,Garrett Temple,1191,960,-231,19:51,16:00,0,0,DEFENSE_FLOOR_DONOR
CHI_2020_21_G002,0022000026,2020-12-26,Patrick Williams,1324,0,-1324,22:04,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G002,0022000026,2020-12-26,Ryan Arcidiacono,506,430,-76,8:26,7:10,0,0,LIMITED_GUARD_DONOR
CHI_2020_21_G002,0022000026,2020-12-26,Tomas Satoransky,1494,1167,-327,24:54,19:27,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G003,0022000038,2020-12-27,Chandler Hutchison,1167,0,-1167,19:27,0:00,0,0,DIRECT_REMOVED_POOL
CHI_2020_21_G003,0022000038,2020-12-27,Coby White,2138,2137,-1,35:38,35:37,1,1,ROLE_RECALC_DONOR
CHI_2020_21_G003,0022000038,2020-12-27,Garrett Temple,1168,960,-208,19:28,16:00,0,0,DEFENSE_FLOOR_DONOR
CHI_2020_21_G003,0022000038,2020-12-27,Patrick Williams,1581,0,-1581,26:21,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G003,0022000038,2020-12-27,Tomas Satoransky,1370,1207,-163,22:50,20:07,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G004,0022000050,2020-12-29,Chandler Hutchison,385,0,-385,6:25,0:00,0,0,DIRECT_REMOVED_POOL
CHI_2020_21_G004,0022000050,2020-12-29,Coby White,2217,1309,-908,36:57,21:49,1,1,ROLE_RECALC_DONOR
CHI_2020_21_G004,0022000050,2020-12-29,Garrett Temple,1716,1600,-116,28:36,26:40,0,0,DEFENSE_FLOOR_DONOR
CHI_2020_21_G004,0022000050,2020-12-29,Patrick Williams,1221,0,-1221,20:21,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G004,0022000050,2020-12-29,Tomas Satoransky,1206,716,-490,20:06,11:56,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G005,0022000063,2020-12-31,Coby White,2410,1200,-1210,40:10,20:00,1,1,ROLE_RECALC_DONOR
CHI_2020_21_G005,0022000063,2020-12-31,Denzel Valentine,899,360,-539,14:59,6:00,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G005,0022000063,2020-12-31,Garrett Temple,1704,1399,-305,28:24,23:19,0,0,DEFENSE_FLOOR_DONOR
CHI_2020_21_G005,0022000063,2020-12-31,Patrick Williams,1104,0,-1104,18:24,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G005,0022000063,2020-12-31,Thaddeus Young,1622,1660,38,27:02,27:40,0,0,PROTECTED_NET_ZERO_BRIDGE
CHI_2020_21_G006,0022000073,2021-01-01,Coby White,1731,1200,-531,28:51,20:00,1,1,ROLE_RECALC_DONOR
CHI_2020_21_G006,0022000073,2021-01-01,Denzel Valentine,1232,360,-872,20:32,6:00,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G006,0022000073,2021-01-01,Garrett Temple,1172,981,-191,19:32,16:21,0,0,DEFENSE_FLOOR_DONOR
CHI_2020_21_G006,0022000073,2021-01-01,Patrick Williams,1526,0,-1526,25:26,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G007,0022000090,2021-01-03,Coby White,1970,1200,-770,32:50,20:00,1,1,ROLE_RECALC_DONOR
CHI_2020_21_G007,0022000090,2021-01-03,Denzel Valentine,947,360,-587,15:47,6:00,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G007,0022000090,2021-01-03,Garrett Temple,1520,1461,-59,25:20,24:21,0,0,DEFENSE_FLOOR_DONOR
CHI_2020_21_G007,0022000090,2021-01-03,Patrick Williams,1704,0,-1704,28:24,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G008,0022000106,2021-01-05,Coby White,2319,1484,-835,38:39,24:44,1,1,ROLE_RECALC_DONOR
CHI_2020_21_G008,0022000106,2021-01-05,Denzel Valentine,1152,360,-792,19:12,6:00,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G008,0022000106,2021-01-05,Patrick Williams,1493,0,-1493,24:53,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G009,0022000117,2021-01-06,Coby White,2378,1503,-875,39:38,25:03,1,1,ROLE_RECALC_DONOR
CHI_2020_21_G009,0022000117,2021-01-06,Denzel Valentine,1274,360,-914,21:14,6:00,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G009,0022000117,2021-01-06,Patrick Williams,1331,0,-1331,22:11,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G010,0022000131,2021-01-08,Denzel Valentine,1470,405,-1065,24:30,6:45,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G010,0022000131,2021-01-08,Patrick Williams,2055,0,-2055,34:15,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G011,0022000142,2021-01-10,Coby White,2575,2271,-304,42:55,37:51,1,1,ROLE_RECALC_DONOR
CHI_2020_21_G011,0022000142,2021-01-10,Denzel Valentine,1210,360,-850,20:10,6:00,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G011,0022000142,2021-01-10,Patrick Williams,2146,0,-2146,35:46,0:00,1,0,DIRECT_REMOVED_POOL
