event_id,game_id,date,matchup,actual_wl,chicago_pts,opponent_pts,actual_margin,b2b_second_night,young_bridge_role
CHI_2020_21_G001,0022000015,2020-12-23,CHI vs. ATL,L,104,124,-20,0,NONE
CHI_2020_21_G002,0022000026,2020-12-26,CHI vs. IND,L,106,125,-19,0,NONE
CHI_2020_21_G003,0022000038,2020-12-27,CHI vs. GSW,L,128,129,-1,1,NONE
CHI_2020_21_G004,0022000050,2020-12-29,CHI @ WAS,W,115,107,8,0,NONE
CHI_2020_21_G005,0022000063,2020-12-31,CHI @ WAS,W,133,130,3,0,CREDIT_38_SECONDS
CHI_2020_21_G006,0022000073,2021-01-01,CHI @ MIL,L,96,126,-30,1,NONE
CHI_2020_21_G007,0022000090,2021-01-03,CHI vs. DAL,W,118,108,10,0,NONE
CHI_2020_21_G008,0022000106,2021-01-05,CHI @ POR,W,111,108,3,0,NONE
CHI_2020_21_G009,0022000117,2021-01-06,CHI @ SAC,L,124,128,-4,1,NONE
CHI_2020_21_G010,0022000131,2021-01-08,CHI @ LAL,L,115,117,-2,0,NONE
CHI_2020_21_G011,0022000142,2021-01-10,CHI @ LAC,L,127,130,-3,0,NONE
CHI_2020_21_G012,0022000184,2021-01-15,CHI @ OKC,L,125,127,-2,0,NONE
CHI_2020_21_G013,0022000198,2021-01-17,CHI @ DAL,W,117,101,16,0,NONE
CHI_2020_21_G014,0022000211,2021-01-18,CHI vs. HOU,W,125,120,5,1,NONE
CHI_2020_21_G015,0022000229,2021-01-22,CHI @ CHA,W,123,110,13,0,NONE
CHI_2020_21_G016,0022000245,2021-01-23,CHI vs. LAL,L,90,101,-11,1,NONE
CHI_2020_21_G017,0022000262,2021-01-25,CHI vs. BOS,L,103,119,-16,0,NONE
CHI_2020_21_G018,0022000298,2021-01-30,CHI vs. POR,L,122,123,-1,0,NONE
CHI_2020_21_G019,0022000315,2021-02-01,CHI vs. NYK,W,110,102,8,0,NONE
CHI_2020_21_G020,0022000332,2021-02-03,CHI vs. NYK,L,103,107,-4,0,NONE
CHI_2020_21_G021,0022000344,2021-02-05,CHI @ ORL,L,119,123,-4,0,NONE
CHI_2020_21_G022,0022000353,2021-02-06,CHI @ ORL,W,118,92,26,1,NONE
CHI_2020_21_G023,0022000368,2021-02-08,CHI vs. WAS,L,101,105,-4,0,NONE
CHI_2020_21_G024,0022000385,2021-02-10,CHI vs. NOP,W,129,116,13,0,NONE
CHI_2020_21_G025,0022000400,2021-02-12,CHI vs. LAC,L,106,125,-19,0,NONE
CHI_2020_21_G026,0022000420,2021-02-15,CHI @ IND,W,120,112,8,0,NONE
CHI_2020_21_G027,0022000564,2021-02-17,CHI vs. DET,W,105,102,3,0,NONE
CHI_2020_21_G028,0022000450,2021-02-19,CHI @ PHI,L,105,112,-7,0,NONE
CHI_2020_21_G029,0022000460,2021-02-20,CHI vs. SAC,W,122,114,8,1,NONE
CHI_2020_21_G030,0022000474,2021-02-22,CHI @ HOU,W,120,100,20,0,NONE
CHI_2020_21_G031,0022000493,2021-02-24,CHI vs. MIN,W,133,126,7,0,NONE
CHI_2020_21_G032,0022000508,2021-02-26,CHI vs. PHX,L,97,106,-9,0,NONE
CHI_2020_21_G033,0022000531,2021-03-01,CHI vs. DEN,L,112,118,-6,0,NONE
CHI_2020_21_G034,0022000548,2021-03-03,CHI @ NOP,W,128,124,4,0,NONE
CHI_2020_21_G035,0022000572,2021-03-11,CHI vs. PHI,L,105,127,-22,0,NONE
CHI_2020_21_G036,0022000582,2021-03-12,CHI vs. MIA,L,90,101,-11,1,DEBIT_38_SECONDS
CHI_2020_21_G037,0022000600,2021-03-14,CHI vs. TOR,W,118,95,23,0,NONE
CHI_2020_21_G038,0022000612,2021-03-16,CHI vs. OKC,W,123,102,21,0,NONE
CHI_2020_21_G039,0022000621,2021-03-17,CHI vs. SAS,L,99,106,-7,1,NONE
CHI_2020_21_G040,0022000637,2021-03-19,CHI @ DEN,L,127,131,-4,0,NONE
CHI_2020_21_G041,0022000649,2021-03-21,CHI @ DET,W,100,86,14,0,NONE
CHI_2020_21_G042,0022000656,2021-03-22,CHI vs. UTA,L,95,120,-25,1,NONE
CHI_2020_21_G043,0022000671,2021-03-24,CHI vs. CLE,L,94,103,-9,0,NONE
