event_id,game_id,date,actual_wl,protagonist_seconds,lamelo_seconds,added_pts_base,added_reb_base,added_ast_base,added_stl_base,added_blk_base,added_tov_base,removed_pts_linear,removed_reb_linear,removed_ast_linear,removed_stl_linear,removed_blk_linear,removed_tov_linear,box_delta_pts,box_delta_reb,box_delta_ast,box_delta_stl,box_delta_blk,box_delta_tov,impact_status
CHI_2020_21_G001,0022000015,2020-12-23,L,1620,1500,23.3750,12.0722,7.4000,2.4556,1.0278,4.2944,15.1274,11.6327,2.6507,1.1321,0.8589,3.1312,8.2476,0.4395,4.7493,1.3234,0.1689,1.1632,HOLD
CHI_2020_21_G002,0022000026,2020-12-26,L,1620,1500,23.3750,12.0722,7.4000,2.4556,1.0278,4.2944,17.4808,9.5695,4.3463,1.3076,0.7438,2.8397,5.8942,2.5027,3.0537,1.1480,0.2840,1.4548,HOLD
CHI_2020_21_G003,0022000038,2020-12-27,L,1620,1500,23.3750,12.0722,7.4000,2.4556,1.0278,4.2944,14.9072,11.3882,3.1919,1.1615,0.7826,3.1836,8.4678,0.6840,4.2081,1.2941,0.2452,1.1108,HOLD
CHI_2020_21_G004,0022000050,2020-12-29,W,1620,1500,23.3750,12.0722,7.4000,2.4556,1.0278,4.2944,18.7931,8.8620,5.3702,1.1582,0.7330,3.2976,4.5819,3.2102,2.0298,1.2974,0.2948,0.9969,HOLD
CHI_2020_21_G005,0022000063,2020-12-31,W,1620,1500,23.3750,12.0722,7.4000,2.4556,1.0278,4.2944,20.9220,8.5400,4.9337,1.2671,0.6731,2.8332,2.4530,3.5322,2.4663,1.1885,0.3547,1.4612,HOLD
CHI_2020_21_G006,0022000073,2021-01-01,L,1620,1500,23.3750,12.0722,7.4000,2.4556,1.0278,4.2944,19.5159,9.0754,3.9460,1.3918,0.7788,2.4745,3.8591,2.9968,3.4540,1.0637,0.2490,1.8200,HOLD
CHI_2020_21_G007,0022000090,2021-01-03,W,1620,1500,23.3750,12.0722,7.4000,2.4556,1.0278,4.2944,19.8909,8.9255,4.0757,1.2937,0.8263,2.6863,3.4841,3.1467,3.3243,1.1619,0.2015,1.6082,HOLD
CHI_2020_21_G008,0022000106,2021-01-05,W,1620,1500,23.3750,12.0722,7.4000,2.4556,1.0278,4.2944,20.2535,9.0728,4.3208,1.3093,0.7263,2.6566,3.1215,2.9994,3.0792,1.1463,0.3014,1.6379,HOLD
CHI_2020_21_G009,0022000117,2021-01-06,L,1620,1500,23.3750,12.0722,7.4000,2.4556,1.0278,4.2944,20.4514,9.1241,4.4847,1.3228,0.6619,2.6309,2.9236,2.9481,2.9153,1.1328,0.3659,1.6635,HOLD
CHI_2020_21_G010,0022000131,2021-01-08,L,1620,1500,23.3750,12.0722,7.4000,2.4556,1.0278,4.2944,18.5861,9.6443,3.0967,1.4782,0.9148,2.2656,4.7889,2.4279,4.3033,0.9774,0.1130,2.0289,HOLD
CHI_2020_21_G011,0022000142,2021-01-10,L,1680,1620,24.7778,12.7222,7.8889,2.5972,1.0778,4.5639,20.1107,9.8895,3.5831,1.4736,0.9715,2.5968,4.6671,2.8327,4.3058,1.1236,0.1062,1.9671,HOLD
CHI_2020_21_G012,0022000184,2021-01-15,L,1680,1620,24.7778,12.7222,7.8889,2.5972,1.0778,4.5639,20.4811,9.5902,3.8281,1.3876,0.9905,2.7879,4.2967,3.1320,4.0608,1.2097,0.0873,1.7759,HOLD
CHI_2020_21_G013,0022000198,2021-01-17,W,1680,1620,24.7778,12.7222,7.8889,2.5972,1.0778,4.5639,18.2059,8.2286,4.3674,1.3876,0.7984,2.2256,6.5719,4.4936,3.5215,1.2096,0.2794,2.3383,HOLD
CHI_2020_21_G014,0022000211,2021-01-18,W,1680,1620,24.7778,12.7222,7.8889,2.5972,1.0778,4.5639,20.1359,8.8199,5.8227,1.4916,0.2264,2.0358,4.6418,3.9023,2.0662,1.1056,0.8514,2.5281,HOLD
CHI_2020_21_G015,0022000229,2021-01-22,W,1680,1620,24.7778,12.7222,7.8889,2.5972,1.0778,4.5639,20.5290,8.6582,4.8132,1.4857,0.7555,2.6506,4.2488,4.0640,3.0757,1.1116,0.3223,1.9133,HOLD
CHI_2020_21_G016,0022000245,2021-01-23,L,1680,1620,24.7778,12.7222,7.8889,2.5972,1.0778,4.5639,18.5817,10.5219,3.8453,1.3427,0.8523,2.8865,6.1960,2.2003,4.0436,1.2545,0.2254,1.6774,HOLD
CHI_2020_21_G017,0022000262,2021-01-25,L,1680,1620,24.7778,12.7222,7.8889,2.5972,1.0778,4.5639,19.9916,8.8100,6.2678,1.6471,0.6149,2.7033,4.7862,3.9122,1.6211,0.9501,0.4628,1.8606,HOLD
CHI_2020_21_G018,0022000298,2021-01-30,L,1680,1620,24.7778,12.7222,7.8889,2.5972,1.0778,4.5639,20.8095,8.7694,4.8516,1.3246,0.9313,3.0019,3.9683,3.9528,3.0373,1.2726,0.1465,1.5620,HOLD
CHI_2020_21_G019,0022000315,2021-02-01,W,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,22.1585,9.3392,4.7593,1.3547,0.9914,3.1657,4.0220,4.0330,3.6185,1.3842,0.1363,1.6676,HOLD
CHI_2020_21_G020,0022000332,2021-02-03,L,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,21.5831,10.0545,4.6692,1.5253,0.9389,2.9289,4.5974,3.3178,3.7086,1.2136,0.1889,1.9044,HOLD
CHI_2020_21_G021,0022000344,2021-02-05,L,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,19.6352,10.2499,4.8948,1.5525,1.0322,3.1257,6.5454,3.1223,3.4830,1.1864,0.0956,1.7077,HOLD
CHI_2020_21_G022,0022000353,2021-02-06,W,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,20.0892,9.2861,5.7243,1.5984,1.0921,3.1867,6.0913,4.0861,2.6535,1.1405,0.0357,1.6466,HOLD
CHI_2020_21_G023,0022000368,2021-02-08,L,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,20.1798,9.5703,5.1954,1.6006,1.0988,3.0629,6.0008,3.8020,3.1824,1.1383,0.0290,1.7704,HOLD
CHI_2020_21_G024,0022000385,2021-02-10,W,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,20.4345,9.9976,4.7210,1.6307,1.0358,2.8638,5.7461,3.3746,3.6567,1.1082,0.0920,1.9696,HOLD
CHI_2020_21_G025,0022000400,2021-02-12,L,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,19.8780,8.9920,5.9535,1.5696,1.1575,3.3276,6.3025,4.3802,2.4242,1.1693,-0.0297,1.5057,HOLD
CHI_2020_21_G026,0022000420,2021-02-15,W,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,20.7632,10.1003,5.3315,1.6983,0.8560,2.7868,5.4173,3.2720,3.0462,1.0406,0.2718,2.0465,HOLD
CHI_2020_21_G027,0022000564,2021-02-17,W,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,20.3042,9.4386,5.8909,1.6372,0.9933,3.1022,5.8764,3.9336,2.4868,1.1017,0.1345,1.7312,HOLD
CHI_2020_21_G028,0022000450,2021-02-19,L,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,19.9105,9.5255,5.2501,1.5863,0.9699,2.8320,6.2700,3.8467,3.1276,1.1526,0.1579,2.0013,HOLD
CHI_2020_21_G029,0022000460,2021-02-20,W,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,19.9585,9.7054,4.7470,1.5761,1.0414,2.8147,6.2220,3.6668,3.6308,1.1628,0.0864,2.0186,HOLD
