event_id,game_id,date,opponent,status,removed_actual_players,added_or_changed_players,removed_actual_seconds,reason,canon_evidence,outcome_status
CHI_2020_21_G001,0022000015,2020-12-23,ATL,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G002,0022000026,2020-12-26,IND,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G003,0022000038,2020-12-27,GSW,OPPONENT_DELTA_UNALLOCATED,,Chandler Hutchison,0,Wiggins 핵심 거래·Hutchison 가용성 조건,simulation/2018_DRAFT_28_43_EVANS_CASCADE.md,NOT_SELECTED
CHI_2020_21_G004,0022000050,2020-12-29,WAS,OPPONENT_DELTA_UNALLOCATED,Isaac Bonga,Gary Trent Jr.,950,Trent 유입·Bonga stash 후보의3년차 분 재계산,simulation/2021_WASHINGTON_CHICAGO_PORTLAND_TRANSACTION_CASCADE.md,NOT_SELECTED
CHI_2020_21_G005,0022000063,2020-12-31,WAS,OPPONENT_DELTA_UNALLOCATED,Isaac Bonga,Gary Trent Jr.,0,Trent 유입·Bonga stash 후보의3년차 분 재계산,simulation/2021_WASHINGTON_CHICAGO_PORTLAND_TRANSACTION_CASCADE.md,NOT_SELECTED
CHI_2020_21_G006,0022000073,2021-01-01,MIL,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G007,0022000090,2021-01-03,DAL,OPPONENT_DELTA_UNALLOCATED,Tyrell Terry,R.J. Hampton,16,Hampton 분을 Terry의 실제 분에 고정하지 않음,simulation/2020_DRAFT_RJ_HAMPTON_RELANDING_BOARD.md,NOT_SELECTED
CHI_2020_21_G008,0022000106,2021-01-05,POR,OPPONENT_DELTA_UNALLOCATED,Gary Trent Jr.,Jacob Evans,1116,Trent 부재·Evans/기존 윙 분 재배분,simulation/2018_DRAFT_28_43_EVANS_CASCADE.md,NOT_SELECTED
CHI_2020_21_G009,0022000117,2021-01-06,SAC,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G010,0022000131,2021-01-08,LAL,OPPONENT_DELTA_UNALLOCATED,,,0,2019 AD 연쇄 유지 조건; 2021 실제 접촉 분 자동 동일 판정 금지,simulation/2018_DRAFT_37_60_TRENT_CASCADE.md,NOT_SELECTED
