event_id,game_id,date,matchup,actual_wl,actual_margin,b2b_second_night,proxy,scenario,protagonist_rating,lamelo_rating,protagonist_impact,lamelo_impact,core_donor_impact,young_bridge_impact,base_impact,base_alt_margin,base_alt_wl,base_flip,fatigue_05_impact,fatigue_05_alt_margin,fatigue_05_alt_wl,fatigue_05_flip,fatigue_10_impact,fatigue_10_alt_margin,fatigue_10_alt_wl,fatigue_10_flip,no_bridge_alt_margin,no_bridge_alt_wl
CHI_2020_21_G001,0022000015,2020-12-23,CHI vs. ATL,L,-20,0,BPM,LOW,-3,-2.4,-1.687500,-1.250000,3.838125,0.000000,0.900625,-19.099375,L,0,0.000000,-19.099375,L,0,0.000000,-19.099375,L,0,-19.099375,L
CHI_2020_21_G002,0022000026,2020-12-26,CHI vs. IND,L,-19,0,BPM,LOW,-3,-2.4,-1.687500,-1.250000,2.973993,0.000000,0.036493,-18.963507,L,0,0.000000,-18.963507,L,0,0.000000,-18.963507,L,0,-18.963507,L
CHI_2020_21_G003,0022000038,2020-12-27,CHI vs. GSW,L,-1,1,BPM,LOW,-3,-2.4,-1.687500,-1.250000,3.832465,0.000000,0.894965,-0.105035,L,0,-0.541667,-0.646701,L,0,-1.083333,-1.188368,L,0,-0.105035,L
CHI_2020_21_G004,0022000050,2020-12-29,CHI @ WAS,W,8,0,BPM,LOW,-3,-2.4,-1.687500,-1.250000,2.728681,0.000000,-0.208819,7.791181,W,0,0.000000,7.791181,W,0,0.000000,7.791181,W,0,7.791181,W
CHI_2020_21_G005,0022000063,2020-12-31,CHI @ WAS,W,3,0,BPM,LOW,-3,-2.4,-1.687500,-1.250000,2.751354,0.043542,-0.142604,2.857396,W,0,0.000000,2.857396,W,0,0.000000,2.857396,W,0,2.813854,W
CHI_2020_21_G006,0022000073,2021-01-01,CHI @ MIL,L,-30,1,BPM,LOW,-3,-2.4,-1.687500,-1.250000,2.730625,0.000000,-0.206875,-30.206875,L,0,-0.541667,-30.748542,L,0,-1.083333,-31.290208,L,0,-30.206875,L
CHI_2020_21_G007,0022000090,2021-01-03,CHI vs. DAL,W,10,0,BPM,LOW,-3,-2.4,-1.687500,-1.250000,2.673438,0.000000,-0.264062,9.735938,W,0,0.000000,9.735938,W,0,0.000000,9.735938,W,0,9.735938,W
CHI_2020_21_G008,0022000106,2021-01-05,CHI @ POR,W,3,0,BPM,LOW,-3,-2.4,-1.687500,-1.250000,2.682500,0.000000,-0.255000,2.745000,W,0,0.000000,2.745000,W,0,0.000000,2.745000,W,0,2.745000,W
CHI_2020_21_G009,0022000117,2021-01-06,CHI @ SAC,L,-4,1,BPM,LOW,-3,-2.4,-1.687500,-1.250000,2.695208,0.000000,-0.242292,-4.242292,L,0,-0.541667,-4.783958,L,0,-1.083333,-5.325625,L,0,-4.242292,L
CHI_2020_21_G010,0022000131,2021-01-08,CHI @ LAL,L,-2,0,BPM,LOW,-3,-2.4,-1.687500,-1.250000,2.710938,0.000000,-0.226563,-2.226563,L,0,0.000000,-2.226563,L,0,0.000000,-2.226563,L,0,-2.226563,L
CHI_2020_21_G011,0022000142,2021-01-10,CHI @ LAC,L,-3,0,BPM,LOW,-3,-2.4,-1.750000,-1.350000,2.838542,0.000000,-0.261458,-3.261458,L,0,0.000000,-3.261458,L,0,0.000000,-3.261458,L,0,-3.261458,L
CHI_2020_21_G012,0022000184,2021-01-15,CHI @ OKC,L,-2,0,BPM,LOW,-3,-2.4,-1.750000,-1.350000,2.808958,0.000000,-0.291042,-2.291042,L,0,0.000000,-2.291042,L,0,0.000000,-2.291042,L,0,-2.291042,L
CHI_2020_21_G013,0022000198,2021-01-17,CHI @ DAL,W,16,0,BPM,LOW,-3,-2.4,-1.750000,-1.350000,2.842500,0.000000,-0.257500,15.742500,W,0,0.000000,15.742500,W,0,0.000000,15.742500,W,0,15.742500,W
CHI_2020_21_G014,0022000211,2021-01-18,CHI vs. HOU,W,5,1,BPM,LOW,-3,-2.4,-1.750000,-1.350000,2.931944,0.000000,-0.168056,4.831944,W,0,-0.572917,4.259028,W,0,-1.145833,3.686111,W,0,4.831944,W
CHI_2020_21_G015,0022000229,2021-01-22,CHI @ CHA,W,13,0,BPM,LOW,-3,-2.4,-1.750000,-1.350000,2.943854,0.000000,-0.156146,12.843854,W,0,0.000000,12.843854,W,0,0.000000,12.843854,W,0,12.843854,W
CHI_2020_21_G016,0022000245,2021-01-23,CHI vs. LAL,L,-11,1,BPM,LOW,-3,-2.4,-1.750000,-1.350000,3.224618,0.000000,0.124618,-10.875382,L,0,-0.572917,-11.448299,L,0,-1.145833,-12.021215,L,0,-10.875382,L
CHI_2020_21_G017,0022000262,2021-01-25,CHI vs. BOS,L,-16,0,BPM,LOW,-3,-2.4,-1.750000,-1.350000,2.409340,0.000000,-0.690660,-16.690660,L,0,0.000000,-16.690660,L,0,0.000000,-16.690660,L,0,-16.690660,L
CHI_2020_21_G018,0022000298,2021-01-30,CHI vs. POR,L,-1,0,BPM,LOW,-3,-2.4,-1.750000,-1.350000,2.479028,0.000000,-0.620972,-1.620972,L,0,0.000000,-1.620972,L,0,0.000000,-1.620972,L,0,-1.620972,L
CHI_2020_21_G019,0022000315,2021-02-01,CHI vs. NYK,W,8,0,BPM,LOW,-3,-2.4,-1.812500,-1.450000,2.829236,0.000000,-0.433264,7.566736,W,0,0.000000,7.566736,W,0,0.000000,7.566736,W,0,7.566736,W
CHI_2020_21_G020,0022000332,2021-02-03,CHI vs. NYK,L,-4,0,BPM,LOW,-3,-2.4,-1.812500,-1.450000,2.837917,0.000000,-0.424583,-4.424583,L,0,0.000000,-4.424583,L,0,0.000000,-4.424583,L,0,-4.424583,L
CHI_2020_21_G021,0022000344,2021-02-05,CHI @ ORL,L,-4,0,BPM,LOW,-3,-2.4,-1.812500,-1.450000,2.775903,0.000000,-0.486597,-4.486597,L,0,0.000000,-4.486597,L,0,0.000000,-4.486597,L,0,-4.486597,L
CHI_2020_21_G022,0022000353,2021-02-06,CHI @ ORL,W,26,1,BPM,LOW,-3,-2.4,-1.812500,-1.450000,2.273507,0.000000,-0.988993,25.011007,W,0,-0.604167,24.406840,W,0,-1.208333,23.802674,W,0,25.011007,W
CHI_2020_21_G023,0022000368,2021-02-08,CHI vs. WAS,L,-4,0,BPM,LOW,-3,-2.4,-1.812500,-1.450000,2.428819,0.000000,-0.833681,-4.833681,L,0,0.000000,-4.833681,L,0,0.000000,-4.833681,L,0,-4.833681,L
CHI_2020_21_G024,0022000385,2021-02-10,CHI vs. NOP,W,13,0,BPM,LOW,-3,-2.4,-1.812500,-1.450000,2.625486,0.000000,-0.637014,12.362986,W,0,0.000000,12.362986,W,0,0.000000,12.362986,W,0,12.362986,W
CHI_2020_21_G025,0022000400,2021-02-12,CHI vs. LAC,L,-19,0,BPM,LOW,-3,-2.4,-1.812500,-1.450000,2.149340,0.000000,-1.113160,-20.113160,L,0,0.000000,-20.113160,L,0,0.000000,-20.113160,L,0,-20.113160,L
CHI_2020_21_G026,0022000420,2021-02-15,CHI @ IND,W,8,0,BPM,LOW,-3,-2.4,-1.812500,-1.450000,2.589444,0.000000,-0.673056,7.326944,W,0,0.000000,7.326944,W,0,0.000000,7.326944,W,0,7.326944,W
CHI_2020_21_G027,0022000564,2021-02-17,CHI vs. DET,W,3,0,BPM,LOW,-3,-2.4,-1.812500,-1.450000,2.305069,0.000000,-0.957431,2.042569,W,0,0.000000,2.042569,W,0,0.000000,2.042569,W,0,2.042569,W
CHI_2020_21_G028,0022000450,2021-02-19,CHI @ PHI,L,-7,0,BPM,LOW,-3,-2.4,-1.812500,-1.450000,2.501667,0.000000,-0.760833,-7.760833,L,0,0.000000,-7.760833,L,0,0.000000,-7.760833,L,0,-7.760833,L
CHI_2020_21_G029,0022000460,2021-02-20,CHI vs. SAC,W,8,1,BPM,LOW,-3,-2.4,-1.812500,-1.450000,2.599028,0.000000,-0.663472,7.336528,W,0,-0.604167,6.732361,W,0,-1.208333,6.128194,W,0,7.336528,W
CHI_2020_21_G030,0022000474,2021-02-22,CHI @ HOU,W,20,0,BPM,LOW,-3,-2.4,-1.812500,-1.450000,2.160347,0.000000,-1.102153,18.897847,W,0,0.000000,18.897847,W,0,0.000000,18.897847,W,0,18.897847,W
CHI_2020_21_G031,0022000493,2021-02-24,CHI vs. MIN,W,7,0,BPM,LOW,-3,-2.4,-1.812500,-1.450000,2.366319,0.000000,-0.896181,6.103819,W,0,0.000000,6.103819,W,0,0.000000,6.103819,W,0,6.103819,W
CHI_2020_21_G032,0022000508,2021-02-26,CHI vs. PHX,L,-9,0,BPM,LOW,-3,-2.4,-1.812500,-1.450000,2.569132,0.000000,-0.693368,-9.693368,L,0,0.000000,-9.693368,L,0,0.000000,-9.693368,L,0,-9.693368,L
CHI_2020_21_G033,0022000531,2021-03-01,CHI vs. DEN,L,-6,0,BPM,LOW,-3,-2.4,-1.812500,-1.450000,2.607431,0.000000,-0.655069,-6.655069,L,0,0.000000,-6.655069,L,0,0.000000,-6.655069,L,0,-6.655069,L
CHI_2020_21_G034,0022000548,2021-03-03,CHI @ NOP,W,4,0,BPM,LOW,-3,-2.4,-1.812500,-1.450000,2.501875,0.000000,-0.760625,3.239375,W,0,0.000000,3.239375,W,0,0.000000,3.239375,W,0,3.239375,W
CHI_2020_21_G035,0022000572,2021-03-11,CHI vs. PHI,L,-22,0,BPM,LOW,-3,-2.4,-1.812500,-1.450000,2.293264,0.000000,-0.969236,-22.969236,L,0,0.000000,-22.969236,L,0,0.000000,-22.969236,L,0,-22.969236,L
