event_id,game_id,date,team,player,seconds,start,pts,plus_minus,comment
CHI_2020_21_G001,0022000015,2020-12-23,ATL,Bogdan Bogdanovic,1496,0,15,0,
CHI_2020_21_G001,0022000015,2020-12-23,ATL,Brandon Goodwin,794,0,3,-16,
CHI_2020_21_G001,0022000015,2020-12-23,ATL,Bruno Fernando,1088,0,5,-1,
CHI_2020_21_G001,0022000015,2020-12-23,ATL,Cam Reddish,1426,1,15,27,
CHI_2020_21_G001,0022000015,2020-12-23,ATL,Danilo Gallinari,1466,1,13,31,
CHI_2020_21_G001,0022000015,2020-12-23,ATL,De'Andre Hunter,1554,1,11,40,
CHI_2020_21_G001,0022000015,2020-12-23,ATL,John Collins,1083,1,14,21,
CHI_2020_21_G001,0022000015,2020-12-23,ATL,Kevin Huerter,1623,0,11,0,
CHI_2020_21_G001,0022000015,2020-12-23,ATL,Nathan Knight,304,0,0,-12,
CHI_2020_21_G001,0022000015,2020-12-23,ATL,Skylar Mays,304,0,0,-12,
CHI_2020_21_G001,0022000015,2020-12-23,ATL,Solomon Hill,1704,0,0,-8,
CHI_2020_21_G001,0022000015,2020-12-23,ATL,Trae Young,1558,1,37,30,
CHI_2020_21_G001,0022000015,2020-12-23,CHI,Adam Mokoka,1007,0,4,6,
CHI_2020_21_G001,0022000015,2020-12-23,CHI,Chandler Hutchison,1115,0,2,4,
CHI_2020_21_G001,0022000015,2020-12-23,CHI,Coby White,1828,1,9,-13,
CHI_2020_21_G001,0022000015,2020-12-23,CHI,Cristiano Felicio,0,0,0,0,DNP - Coach's Decision
CHI_2020_21_G001,0022000015,2020-12-23,CHI,Daniel Gafford,1014,0,5,2,
CHI_2020_21_G001,0022000015,2020-12-23,CHI,Denzel Valentine,0,0,0,0,DNP - Coach's Decision
CHI_2020_21_G001,0022000015,2020-12-23,CHI,Garrett Temple,0,0,0,0,DNP - Coach's Decision
CHI_2020_21_G001,0022000015,2020-12-23,CHI,Lauri Markkanen,1812,1,21,-34,
