player,actual_gp,actual_gs,actual_seconds,actual_minutes,alternate_gp,alternate_gs,alternate_seconds,alternate_minutes,delta_seconds,status
Adam Mokoka,9,0,2801,46:41,9,0,2801,46:41,0,UNCHANGED_PROTECTED
Chandler Hutchison,7,0,3815,63:35,0,0,0,0:00,-3815,DIRECT_SLOT_REMOVED
Coby White,43,36,81724,1362:04,43,18,68524,1142:04,-13200,SECONDARY_DONOR
Cristiano Felicio,7,0,2384,39:44,7,0,2384,39:44,0,UNCHANGED_PROTECTED
Daniel Gafford,31,11,22989,383:09,31,11,22989,383:09,0,UNCHANGED_PROTECTED
Denzel Valentine,39,3,43168,719:28,39,3,21568,359:28,-21600,SECONDARY_DONOR
Devon Dotson,1,0,572,9:32,1,0,572,9:32,0,UNCHANGED_PROTECTED
Garrett Temple,35,12,58647,977:27,35,11,53809,896:49,-4838,SECONDARY_DONOR
Lauri Markkanen,23,23,41429,690:29,23,23,41429,690:29,0,UNCHANGED_PROTECTED
Luke Kornet,13,0,5629,93:49,13,0,5629,93:49,0,UNCHANGED_PROTECTED
Otto Porter Jr.,25,6,32419,540:19,25,6,31004,516:44,-1415,SECONDARY_DONOR
Patrick Williams,42,42,71570,1192:50,0,0,0,0:00,-71570,DIRECT_SLOT_REMOVED
Ryan Arcidiacono,26,0,17766,296:06,18,0,9404,156:44,-8362,SECONDARY_DONOR
Thaddeus Young,39,7,58447,974:07,39,7,58447,974:07,0,PROTECTED_NET_ZERO_BRIDGE
Tomas Satoransky,32,7,43283,721:23,32,0,23483,391:23,-19800,SECONDARY_DONOR
Wendell Carter Jr.,32,25,47509,791:49,32,25,47509,791:49,0,UNCHANGED_PROTECTED
Zach LaVine,43,43,91050,1517:30,43,43,91050,1517:30,0,UNCHANGED_PROTECTED
Protagonist,0,0,0,0:00,43,43,73140,1219:00,73140,FICTIONAL_ADD_PROVISIONAL_BASE
LaMelo Ball,0,0,0,0:00,43,25,71460,1191:00,71460,FICTIONAL_ADD_PROVISIONAL_BASE
