regularizer_minutes,scenario,fatigue_penalty,wins,losses,cumulative_impact,flips
500,LOW,0,19,24,-21.479845,NONE
500,LOW,0.5,19,24,-27.271515,NONE
500,LOW,1,19,24,-33.063175,NONE
500,BASE,0,22,21,61.218070,CHI_2020_21_G003|CHI_2020_21_G012|CHI_2020_21_G018
500,BASE,0.5,22,21,55.426400,CHI_2020_21_G003|CHI_2020_21_G012|CHI_2020_21_G018
500,BASE,1,21,22,49.634740,CHI_2020_21_G012|CHI_2020_21_G018
500,HIGH,0,24,19,116.622238,CHI_2020_21_G003|CHI_2020_21_G010|CHI_2020_21_G011|CHI_2020_21_G012|CHI_2020_21_G018
500,HIGH,0.5,24,19,110.830568,CHI_2020_21_G003|CHI_2020_21_G010|CHI_2020_21_G011|CHI_2020_21_G012|CHI_2020_21_G018
500,HIGH,1,24,19,105.038908,CHI_2020_21_G003|CHI_2020_21_G010|CHI_2020_21_G011|CHI_2020_21_G012|CHI_2020_21_G018
1000,LOW,0,19,24,-38.343555,NONE
1000,LOW,0.5,19,24,-44.135225,NONE
1000,LOW,1,19,24,-49.926885,NONE
1000,BASE,0,21,22,44.354358,CHI_2020_21_G003|CHI_2020_21_G018
1000,BASE,0.5,20,23,38.562688,CHI_2020_21_G018
1000,BASE,1,20,23,32.771028,CHI_2020_21_G018
1000,HIGH,0,23,20,99.758529,CHI_2020_21_G003|CHI_2020_21_G010|CHI_2020_21_G012|CHI_2020_21_G018
1000,HIGH,0.5,23,20,93.966859,CHI_2020_21_G003|CHI_2020_21_G010|CHI_2020_21_G012|CHI_2020_21_G018
1000,HIGH,1,23,20,88.175199,CHI_2020_21_G003|CHI_2020_21_G010|CHI_2020_21_G012|CHI_2020_21_G018
1500,LOW,0,19,24,-49.909596,NONE
1500,LOW,0.5,19,24,-55.701266,NONE
1500,LOW,1,19,24,-61.492926,NONE
1500,BASE,0,19,24,32.788320,NONE
1500,BASE,0.5,19,24,26.996650,NONE
1500,BASE,1,19,24,21.204990,NONE
1500,HIGH,0,23,20,88.192489,CHI_2020_21_G003|CHI_2020_21_G010|CHI_2020_21_G012|CHI_2020_21_G018
1500,HIGH,0.5,23,20,82.400819,CHI_2020_21_G003|CHI_2020_21_G010|CHI_2020_21_G012|CHI_2020_21_G018
1500,HIGH,1,22,21,76.609159,CHI_2020_21_G010|CHI_2020_21_G012|CHI_2020_21_G018
2000,LOW,0,19,24,-58.404660,NONE
2000,LOW,0.5,19,24,-64.196330,NONE
2000,LOW,1,19,24,-69.987990,NONE
2000,BASE,0,19,24,24.293259,NONE
2000,BASE,0.5,19,24,18.501589,NONE
2000,BASE,1,19,24,12.709929,NONE
2000,HIGH,0,23,20,79.697424,CHI_2020_21_G003|CHI_2020_21_G010|CHI_2020_21_G012|CHI_2020_21_G018
2000,HIGH,0.5,23,20,73.905754,CHI_2020_21_G003|CHI_2020_21_G010|CHI_2020_21_G012|CHI_2020_21_G018
2000,HIGH,1,22,21,68.114094,CHI_2020_21_G010|CHI_2020_21_G012|CHI_2020_21_G018
