phase,actual_player,actual_contract_class,actual_gp,actual_gs,actual_minutes,actual_season_arc,rival_world_player,rival_world_contract_class,rival_world_disposition,minute_treatment
OPENING,Ryan Arcidiacono,STANDARD,44,0,450,FULL_SEASON,Ryan Arcidiacono,STANDARD,RETAINED,GUARD_DONOR_CANDIDATE
OPENING,Wendell Carter Jr.,STANDARD,32,25,792,DEADLINE_OUT,Wendell Carter Jr.,STANDARD,RETAINED_OPENING,PREDEADLINE_CORE_PROTECTED
OPENING,Devon Dotson,TWO_WAY,11,0,50,FULL_SEASON,Devon Dotson,TWO_WAY,RETAINED,TWO_WAY_PROTECTED
OPENING,Cristiano Felicio,STANDARD,18,0,84,FULL_SEASON,Cristiano Felicio,STANDARD,RETAINED,CENTER_MINUTES_PROTECTED
OPENING,Daniel Gafford,STANDARD,31,11,383,DEADLINE_OUT,Daniel Gafford,STANDARD,RETAINED_OPENING,CENTER_MINUTES_PROTECTED
OPENING,Chandler Hutchison,STANDARD,7,0,64,DEADLINE_OUT,Protagonist,STANDARD,DIRECT_2018_SLOT_REPLACEMENT,DIRECT_REMOVED_POOL
OPENING,Luke Kornet,STANDARD,13,0,94,DEADLINE_OUT,Luke Kornet,STANDARD,RETAINED_OPENING,CENTER_MINUTES_PROTECTED
OPENING,Zach LaVine,STANDARD,58,58,2034,FULL_SEASON,Zach LaVine,STANDARD,RETAINED,CORE_MINUTES_PROTECTED
OPENING,Lauri Markkanen,STANDARD,51,26,1317,FULL_SEASON,Lauri Markkanen,STANDARD,RETAINED,CORE_MINUTES_PROTECTED
OPENING,Adam Mokoka,TWO_WAY,14,0,56,FULL_SEASON,Adam Mokoka,TWO_WAY,RETAINED,TWO_WAY_PROTECTED
OPENING,Otto Porter Jr.,STANDARD,25,6,540,DEADLINE_OUT,Otto Porter Jr.,STANDARD,RETAINED_OPENING,AVAILABILITY_PROTECTED
OPENING,Tomas Satoransky,STANDARD,58,18,1307,FULL_SEASON,Tomas Satoransky,STANDARD,RETAINED,PRIMARY_GUARD_DONOR_CANDIDATE
OPENING,Garrett Temple,STANDARD,56,25,1528,FULL_SEASON,Garrett Temple,STANDARD,RETAINED,DEFENSE_FLOOR_LIMITED_DONOR
OPENING,Denzel Valentine,STANDARD,62,3,1036,FULL_SEASON,Denzel Valentine,STANDARD,RETAINED,PRIMARY_GUARD_WING_DONOR_CANDIDATE
OPENING,Coby White,STANDARD,69,54,2156,FULL_SEASON,Coby White,STANDARD,RETAINED,ROLE_RECALC_DONOR_CANDIDATE
OPENING,Patrick Williams,STANDARD,71,71,1983,FULL_SEASON,LaMelo Ball,STANDARD,DIRECT_PICK4_REPLACEMENT,DIRECT_REMOVED_POOL
OPENING,Thaddeus Young,STANDARD,68,23,1652,FULL_SEASON,Thaddeus Young,STANDARD,RETAINED,CORE_MINUTES_PROTECTED
MIDSEASON,Al-Farouq Aminu,STANDARD,6,0,67,DEADLINE_IN,Al-Farouq Aminu,STANDARD,EVENT_HOLD,NO_OPENING_SLOT
MIDSEASON,Troy Brown Jr.,STANDARD,13,0,237,DEADLINE_IN,Troy Brown Jr.,STANDARD,EVENT_HOLD,NO_OPENING_SLOT
MIDSEASON,Javonte Green,STANDARD,16,0,128,DEADLINE_IN,Javonte Green,STANDARD,EVENT_HOLD,NO_OPENING_SLOT
MIDSEASON,Daniel Theis,STANDARD,23,14,574,DEADLINE_IN,Daniel Theis,STANDARD,EVENT_HOLD,NO_OPENING_SLOT
MIDSEASON,Nikola Vucevic,STANDARD,26,26,848,DEADLINE_IN,Nikola Vucevic,STANDARD,EVENT_HOLD,NO_OPENING_SLOT
