game_id,date,player,source_player,normal_role_minutes,evidence,source_game_id,source_team,source_seconds,source_comment,previous_played_date,next_played_date,primary_report_id,primary_report_team,primary_status,primary_reason,priority,alternate_available,alternate_minutes
0022100004,2021-10-20,LaVine,Zach LaVine,34,OBSERVED_PLAYED,0022100004,CHI,2120,,,2021-10-22,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100004,2021-10-20,LaMelo_pick4,LaMelo Ball,32,OBSERVED_PLAYED,0022100003,CHA,1738,,,2021-10-22,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100004,2021-10-20,Coby,Coby White,18,NO_SAME_DAY_ROW,,,,,,2021-11-15,,,,,REVIEW_MISSING_OBSERVATION,HOLD,HOLD
0022100004,2021-10-20,Carter,Wendell Carter Jr.,28,OBSERVED_PLAYED,0022100010,ORL,1125,,,2021-10-22,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100004,2021-10-20,Young,Thaddeus Young,20,OBSERVED_COACH_DNP,0022100010,SAS,0,DNP - Coach's Decision,,2021-10-22,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100004,2021-10-20,Satoransky,Tomas Satoransky,0,OBSERVED_PLAYED,0022100009,NOP,520,,,2021-10-22,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100004,2021-10-20,Markkanen,Lauri Markkanen,28,OBSERVED_PLAYED,0022100007,CLE,1888,,,2021-10-22,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100004,2021-10-20,Caruso,Alex Caruso,22,OBSERVED_PLAYED,0022100004,CHI,1628,,,2021-10-22,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100004,2021-10-20,Green,Javonte Green,0,OBSERVED_PLAYED,0022100004,CHI,889,,,2021-10-22,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100004,2021-10-20,Chris Duarte,Chris Duarte,14,OBSERVED_PLAYED,0022100003,IND,1963,,,2021-10-22,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100004,2021-10-20,Joe Wieskamp,Joe Wieskamp,0,NO_SAME_DAY_ROW,,,,,,2021-11-10,,,,,REVIEW_MISSING_OBSERVATION,HOLD,HOLD
0022100004,2021-10-20,Tony Bradley,Tony Bradley,12,OBSERVED_COACH_DNP,0022100004,CHI,0,DNP - Coach's Decision,,2021-10-22,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100004,2021-10-20,Stanley Johnson,Stanley Johnson,0,NO_SAME_DAY_ROW,,,,,,2021-12-25,,,,,REVIEW_MISSING_OBSERVATION,HOLD,HOLD
0022100004,2021-10-20,Denzel Valentine,Denzel Valentine,0,OBSERVED_COACH_DNP,0022100007,CLE,0,DNP - Coach's Decision,,2021-10-22,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100004,2021-10-20,Protagonist,,32,FICTIONAL_NO_OBSERVATION,,,,,,,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100022,2021-10-22,LaVine,Zach LaVine,34,OBSERVED_PLAYED,0022100022,CHI,1891,,2021-10-20,2021-10-23,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100022,2021-10-22,LaMelo_pick4,LaMelo Ball,32,OBSERVED_PLAYED,0022100017,CHA,1734,,2021-10-20,2021-10-24,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100022,2021-10-22,Coby,Coby White,18,NO_SAME_DAY_ROW,,,,,,2021-11-15,,,,,REVIEW_MISSING_OBSERVATION,HOLD,HOLD
0022100022,2021-10-22,Carter,Wendell Carter Jr.,28,OBSERVED_PLAYED,0022100018,ORL,1808,,2021-10-20,2021-10-24,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100022,2021-10-22,Young,Thaddeus Young,20,OBSERVED_PLAYED,0022100024,SAS,548,,,2021-10-26,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100022,2021-10-22,Satoransky,Tomas Satoransky,0,OBSERVED_PLAYED,0022100022,NOP,433,,2021-10-20,2021-10-30,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100022,2021-10-22,Markkanen,Lauri Markkanen,28,OBSERVED_PLAYED,0022100017,CLE,2064,,2021-10-20,2021-10-23,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100022,2021-10-22,Caruso,Alex Caruso,22,OBSERVED_PLAYED,0022100022,CHI,1729,,2021-10-20,2021-10-23,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100022,2021-10-22,Green,Javonte Green,0,OBSERVED_PLAYED,0022100022,CHI,1032,,2021-10-20,2021-10-23,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100022,2021-10-22,Chris Duarte,Chris Duarte,14,OBSERVED_PLAYED,0022100019,IND,2718,,2021-10-20,2021-10-23,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100022,2021-10-22,Joe Wieskamp,Joe Wieskamp,0,NO_SAME_DAY_ROW,,,,,,2021-11-10,,,,,REVIEW_MISSING_OBSERVATION,HOLD,HOLD
0022100022,2021-10-22,Tony Bradley,Tony Bradley,12,OBSERVED_PLAYED,0022100022,CHI,146,,,2021-10-28,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100022,2021-10-22,Stanley Johnson,Stanley Johnson,0,NO_SAME_DAY_ROW,,,,,,2021-12-25,,,,,REVIEW_MISSING_OBSERVATION,HOLD,HOLD
0022100022,2021-10-22,Denzel Valentine,Denzel Valentine,0,OBSERVED_PLAYED,0022100017,CLE,112,,,2021-10-25,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100022,2021-10-22,Protagonist,,32,FICTIONAL_NO_OBSERVATION,,,,,,,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100030,2021-10-23,LaVine,Zach LaVine,34,OBSERVED_PLAYED,0022100030,CHI,1986,,2021-10-22,2021-10-25,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100030,2021-10-23,LaMelo_pick4,LaMelo Ball,32,NO_SAME_DAY_ROW,,,,,2021-10-22,2021-10-24,,,,,REVIEW_MISSING_OBSERVATION,HOLD,HOLD
0022100030,2021-10-23,Coby,Coby White,18,NO_SAME_DAY_ROW,,,,,,2021-11-15,,,,,REVIEW_MISSING_OBSERVATION,HOLD,HOLD
0022100030,2021-10-23,Carter,Wendell Carter Jr.,28,NO_SAME_DAY_ROW,,,,,2021-10-22,2021-10-24,,,,,REVIEW_MISSING_OBSERVATION,HOLD,HOLD
0022100030,2021-10-23,Young,Thaddeus Young,20,OBSERVED_COACH_DNP,0022100032,SAS,0,DNP - Coach's Decision,2021-10-22,2021-10-26,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100030,2021-10-23,Satoransky,Tomas Satoransky,0,OBSERVED_COACH_DNP,0022100031,NOP,0,DNP - Coach's Decision,2021-10-22,2021-10-30,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100030,2021-10-23,Markkanen,Lauri Markkanen,28,OBSERVED_PLAYED,0022100027,CLE,1902,,2021-10-22,2021-10-25,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100030,2021-10-23,Caruso,Alex Caruso,22,OBSERVED_PLAYED,0022100030,CHI,1591,,2021-10-22,2021-10-25,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100030,2021-10-23,Green,Javonte Green,0,OBSERVED_PLAYED,0022100030,CHI,1095,,2021-10-22,2021-10-25,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100030,2021-10-23,Chris Duarte,Chris Duarte,14,OBSERVED_PLAYED,0022100028,IND,2488,,2021-10-22,2021-10-25,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100030,2021-10-23,Joe Wieskamp,Joe Wieskamp,0,OBSERVED_COACH_DNP,0022100032,SAS,0,DNP - Coach's Decision,,2021-11-10,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100030,2021-10-23,Tony Bradley,Tony Bradley,12,OBSERVED_COACH_DNP,0022100030,CHI,0,DNP - Coach's Decision,2021-10-22,2021-10-28,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100030,2021-10-23,Stanley Johnson,Stanley Johnson,0,NO_SAME_DAY_ROW,,,,,,2021-12-25,,,,,REVIEW_MISSING_OBSERVATION,HOLD,HOLD
0022100030,2021-10-23,Denzel Valentine,Denzel Valentine,0,OBSERVED_COACH_DNP,0022100027,CLE,0,DNP - Coach's Decision,2021-10-22,2021-10-25,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100030,2021-10-23,Protagonist,,32,FICTIONAL_NO_OBSERVATION,,,,,,,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100046,2021-10-25,LaVine,Zach LaVine,34,OBSERVED_PLAYED,0022100046,CHI,2121,,2021-10-23,2021-10-28,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100046,2021-10-25,LaMelo_pick4,LaMelo Ball,32,OBSERVED_PLAYED,0022100041,CHA,1978,,2021-10-24,2021-10-27,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100046,2021-10-25,Coby,Coby White,18,NO_SAME_DAY_ROW,,,,,,2021-11-15,,,,,REVIEW_MISSING_OBSERVATION,HOLD,HOLD
0022100046,2021-10-25,Carter,Wendell Carter Jr.,28,OBSERVED_PLAYED,0022100045,ORL,1666,,2021-10-24,2021-10-27,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100046,2021-10-25,Young,Thaddeus Young,20,NO_SAME_DAY_ROW,,,,,2021-10-22,2021-10-26,,,,,REVIEW_MISSING_OBSERVATION,HOLD,HOLD
0022100046,2021-10-25,Satoransky,Tomas Satoransky,0,OBSERVED_COACH_DNP,0022100047,NOP,0,DNP - Coach's Decision,2021-10-22,2021-10-30,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100046,2021-10-25,Markkanen,Lauri Markkanen,28,OBSERVED_PLAYED,0022100048,CLE,1649,,2021-10-23,2021-10-27,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100046,2021-10-25,Caruso,Alex Caruso,22,OBSERVED_PLAYED,0022100046,CHI,1663,,2021-10-23,2021-10-28,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100046,2021-10-25,Green,Javonte Green,0,OBSERVED_PLAYED,0022100046,CHI,776,,2021-10-23,2021-10-28,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
0022100046,2021-10-25,Chris Duarte,Chris Duarte,14,OBSERVED_PLAYED,0022100042,IND,2007,,2021-10-23,2021-10-27,,,,,NO_AUTOMATIC_INFERENCE,HOLD,HOLD
