game_number,game_id,date,home,away,home_pts,away_pts,home_observed_seconds,away_observed_seconds,inferred_historical_ot,home_seconds_residual,away_seconds_residual,official_reference_url,opponent,previous_game_gap_days,historical_back_to_back_second,historical_games_last5_days,alternate_date,alternate_result,role_policy_reference,opponent_roster_status
1,0022100004,2021-10-20,DET,CHI,88,94,14401,14401,0,1,1,https://www.nba.com/game/chi-vs-det-0022100004,DET,,0,1,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
2,0022100022,2021-10-22,CHI,NOP,128,112,14401,14400,0,1,0,https://www.nba.com/game/nop-vs-chi-0022100022,NOP,2,0,2,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
3,0022100030,2021-10-23,CHI,DET,97,82,14400,14400,0,0,0,https://www.nba.com/game/det-vs-chi-0022100030,DET,1,1,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
4,0022100046,2021-10-25,TOR,CHI,108,111,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-tor-0022100046,TOR,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
5,0022100067,2021-10-28,CHI,NYK,103,104,14400,14400,0,0,0,https://www.nba.com/game/nyk-vs-chi-0022100067,NYK,3,0,2,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
6,0022100083,2021-10-30,CHI,UTA,107,99,14400,14400,0,0,0,https://www.nba.com/game/uta-vs-chi-0022100083,UTA,2,0,2,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
7,0022100098,2021-11-01,BOS,CHI,114,128,14399,14400,0,-1,0,https://www.nba.com/game/chi-vs-bos-0022100098,BOS,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
8,0022100111,2021-11-03,PHI,CHI,103,98,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-phi-0022100111,PHI,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
9,0022100135,2021-11-06,CHI,PHI,105,114,14400,14400,0,0,0,https://www.nba.com/game/phi-vs-chi-0022100135,PHI,3,0,2,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
10,0022100148,2021-11-08,CHI,BKN,118,95,14401,14401,0,1,1,https://www.nba.com/game/bkn-vs-chi-0022100148,BKN,2,0,2,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
11,0022100163,2021-11-10,CHI,DAL,117,107,14400,14400,0,0,0,https://www.nba.com/game/dal-vs-chi-0022100163,DAL,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
12,0022100183,2021-11-12,GSW,CHI,119,93,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-gsw-0022100183,GSW,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
13,0022100198,2021-11-14,LAC,CHI,90,100,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-lac-0022100198,LAC,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
