date,game_id,player,normal_role_minutes,evidence,source_comment,historical_team,report_id,report_date,report_game_date,historical_status,reason,url,page_1_based,action,alternate_available,alternate_minutes
2021-10-20,0022100004,Coby,18,NO_SAME_DAY_ROW,,,,,,,,,,SHOULDER_CONTEXT_NOT_DAILY_MEDICAL_PROOF,HOLD,HOLD
2021-10-22,0022100022,Coby,18,NO_SAME_DAY_ROW,,,,,,,,,,SHOULDER_CONTEXT_NOT_DAILY_MEDICAL_PROOF,HOLD,HOLD
2021-10-23,0022100030,Coby,18,NO_SAME_DAY_ROW,,,,,,,,,,SHOULDER_CONTEXT_NOT_DAILY_MEDICAL_PROOF,HOLD,HOLD
2021-10-25,0022100046,Coby,18,NO_SAME_DAY_ROW,,,,,,,,,,SHOULDER_CONTEXT_NOT_DAILY_MEDICAL_PROOF,HOLD,HOLD
2021-10-28,0022100067,Coby,18,NO_SAME_DAY_ROW,,,,,,,,,,SHOULDER_CONTEXT_NOT_DAILY_MEDICAL_PROOF,HOLD,HOLD
2021-10-30,0022100083,Coby,18,NO_SAME_DAY_ROW,,,,,,,,,,SHOULDER_CONTEXT_NOT_DAILY_MEDICAL_PROOF,HOLD,HOLD
2021-11-01,0022100098,Coby,18,NO_SAME_DAY_ROW,,,,,,,,,,SHOULDER_CONTEXT_NOT_DAILY_MEDICAL_PROOF,HOLD,HOLD
2021-11-03,0022100111,Coby,18,NO_SAME_DAY_ROW,,,,,,,,,,SHOULDER_CONTEXT_NOT_DAILY_MEDICAL_PROOF,HOLD,HOLD
2021-11-06,0022100135,Coby,18,NO_SAME_DAY_ROW,,,,,,,,,,SHOULDER_CONTEXT_NOT_DAILY_MEDICAL_PROOF,HOLD,HOLD
2021-11-08,0022100148,Coby,18,NO_SAME_DAY_ROW,,,,,,,,,,SHOULDER_CONTEXT_NOT_DAILY_MEDICAL_PROOF,HOLD,HOLD
2021-11-10,0022100163,Coby,18,NO_SAME_DAY_ROW,,,,,,,,,,SHOULDER_CONTEXT_NOT_DAILY_MEDICAL_PROOF,HOLD,HOLD
2021-11-12,0022100183,Coby,18,NO_SAME_DAY_ROW,,,,,,,,,,SHOULDER_CONTEXT_NOT_DAILY_MEDICAL_PROOF,HOLD,HOLD
2021-11-14,0022100198,LaVine,34,OBSERVED_PLAYED,,CHI,IR_1114,2021-11-14,2021-11-14,Available,THUMB_SPRAIN,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2021-11-14_05PM.pdf,3,REVIEW_CAUSE_AND_GAME_DATE,HOLD,HOLD
2021-11-14,0022100198,Coby,18,NO_SAME_DAY_ROW,,CHI,IR_1114,2021-11-14,2021-11-14,Out,SHOULDER_INJURY_MANAGEMENT,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2021-11-14_05PM.pdf,3,REVIEW_CAUSE_AND_GAME_DATE,HOLD,HOLD
2021-11-14,0022100198,Joe Wieskamp,0,NO_SAME_DAY_ROW,,SAS,IR_1114,2021-11-14,2021-11-14,Out,G_LEAGUE_TWO_WAY,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2021-11-14_05PM.pdf,1,REVIEW_ASSIGNMENT_CONTRACT,HOLD,HOLD
2021-11-15,0022100209,Chris Duarte,14,NO_SAME_DAY_ROW,,IND,IR_1114,2021-11-14,2021-11-15,Questionable,SHOULDER_SORENESS,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2021-11-14_05PM.pdf,4,REVIEW_CAUSE_AND_GAME_DATE,HOLD,HOLD
2022-01-12,0022100625,Carter,28,OBSERVED_HEALTH_RESTRICTION,DNP - Injury/Illness,ORL,,,,,,,,EXACT_REASON_UNRESOLVED,HOLD,HOLD
2022-01-23,0022100701,LaVine,34,NO_SAME_DAY_ROW,,CHI,IR_20220123,2022-01-23,2022-01-23,Out,LEFT_KNEE_SORENESS,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2022-01-23_05PM.pdf,1,REVIEW_CAUSE_AND_GAME_DATE,HOLD,HOLD
2022-01-23,0022100701,Caruso,22,OBSERVED_HEALTH_RESTRICTION,NWT - Injury/Illness,CHI,IR_20220123,2022-01-23,2022-01-23,Out,RIGHT_WRIST_FRACTURE,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2022-01-23_05PM.pdf,1,REVIEW_CAUSE_AND_GAME_DATE,HOLD,HOLD
2022-01-23,0022100701,Green,0,NO_SAME_DAY_ROW,,CHI,IR_20220123,2022-01-23,2022-01-23,Out,RIGHT_ADDUCTOR_STRAIN,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2022-01-23_05PM.pdf,1,REVIEW_CAUSE_AND_GAME_DATE,HOLD,HOLD
2022-01-23,0022100701,Joe Wieskamp,0,NO_SAME_DAY_ROW,,SAS,IR_20220123,2022-01-23,2022-01-23,Out,G_LEAGUE_TWO_WAY,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2022-01-23_05PM.pdf,3,REVIEW_ASSIGNMENT_CONTRACT,HOLD,HOLD
2022-01-24,0022100730,Markkanen,28,NO_SAME_DAY_ROW,,CLE,IR_20220123,2022-01-23,2022-01-24,Out,RIGHT_ANKLE_SPRAIN,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2022-01-23_05PM.pdf,5,REVIEW_CAUSE_AND_GAME_DATE,HOLD,HOLD
2022-02-04,0022100789,Coby,18,OBSERVED_HEALTH_RESTRICTION,DNP - Injury/Illness,CHI,,,,,,,,EXACT_REASON_UNRESOLVED,HOLD,HOLD
2022-02-06,0022100802,Coby,18,OBSERVED_HEALTH_RESTRICTION,DND - Injury/Illness,CHI,,,,,,,,EXACT_REASON_UNRESOLVED,HOLD,HOLD
2022-02-16,0022100878,LaVine,34,NO_SAME_DAY_ROW,,CHI,IR_20220216,2022-02-16,2022-02-16,Out,LEFT_KNEE_INJURY_MANAGEMENT,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2022-02-16_05PM.pdf,3,REVIEW_CAUSE_AND_GAME_DATE,HOLD,HOLD
2022-02-16,0022100878,Caruso,22,NO_SAME_DAY_ROW,,CHI,IR_20220216,2022-02-16,2022-02-16,Out,RIGHT_WRIST_FRACTURE,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2022-02-16_05PM.pdf,2,REVIEW_CAUSE_AND_GAME_DATE,HOLD,HOLD
2022-02-16,0022100878,Green,0,OBSERVED_PLAYED,,CHI,IR_20220216,2022-02-16,2022-02-16,Probable,LEFT_ANKLE_SPRAIN,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2022-02-16_05PM.pdf,2,REVIEW_CAUSE_AND_GAME_DATE,HOLD,HOLD
2022-02-16,0022100878,Chris Duarte,14,OBSERVED_HEALTH_RESTRICTION,DND - Injury/Illness,IND,IR_20220216,2022-02-16,2022-02-16,Out,LEFT_BIG_TOE_SORE,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2022-02-16_05PM.pdf,2,REVIEW_CAUSE_AND_GAME_DATE,HOLD,HOLD
2022-02-16,0022100878,Joe Wieskamp,0,NO_SAME_DAY_ROW,,SAS,IR_20220216,2022-02-16,2022-02-16,Out,G_LEAGUE_TWO_WAY,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2022-02-16_05PM.pdf,3,REVIEW_ASSIGNMENT_CONTRACT,HOLD,HOLD
2022-03-04,0022100949,Chris Duarte,14,OBSERVED_HEALTH_RESTRICTION,DNP - Injury/Illness,IND,,,,,,,,EXACT_REASON_UNRESOLVED,HOLD,HOLD
2022-03-12,0022101006,Joe Wieskamp,0,OBSERVED_HEALTH_RESTRICTION,DND - Injury/Illness,SAS,,,,,,,,EXACT_REASON_UNRESOLVED,HOLD,HOLD
2022-04-10,0022101224,Coby,18,OBSERVED_HEALTH_RESTRICTION,DNP - Injury/Illness,CHI,,,,,,,,EXACT_REASON_UNRESOLVED,HOLD,HOLD
