player,contract_class,route_status,availability_status
Ryan Arcidiacono,STANDARD,RETAINED,DATE_SPECIFIC_HOLD
Wendell Carter Jr.,STANDARD,RETAINED_NO_VUCEVIC_PACKAGE,CHICAGO_EVENT_AUDIT_REQUIRED
Devon Dotson,TWO_WAY,RETAINED,DATE_SPECIFIC_HOLD
Cristiano Felicio,STANDARD,RETAINED,DATE_SPECIFIC_HOLD
Daniel Theis,STANDARD,AUTHOR_APPROVED_IN,EXECUTION_AND_DATE_SPECIFIC_HOLD
Protagonist,STANDARD,RETAINED,FICTIONAL_EVENT_AUDIT_REQUIRED
Javonte Green,STANDARD,AUTHOR_APPROVED_IN,EXECUTION_AND_DATE_SPECIFIC_HOLD
Zach LaVine,STANDARD,RETAINED,DATE_SPECIFIC_HOLD
Lauri Markkanen,STANDARD,RETAINED,DATE_SPECIFIC_HOLD
Adam Mokoka,TWO_WAY,RETAINED,DATE_SPECIFIC_HOLD
Otto Porter Jr.,STANDARD,RETAINED_NO_VUCEVIC_PACKAGE,CHICAGO_EVENT_AUDIT_REQUIRED
Tomas Satoransky,STANDARD,RETAINED,DATE_SPECIFIC_HOLD
Garrett Temple,STANDARD,RETAINED,DATE_SPECIFIC_HOLD
Denzel Valentine,STANDARD,RETAINED,DATE_SPECIFIC_HOLD
Coby White,STANDARD,RETAINED,DATE_SPECIFIC_HOLD
LaMelo Ball,STANDARD,RETAINED,CHICAGO_EVENT_AUDIT_REQUIRED
Thaddeus Young,STANDARD,RETAINED,DATE_SPECIFIC_HOLD
