event_id,game_id,date,home,away,team,player,person_id,seconds,start,observed_start_position,comment,pts,plus_minus,official_url
2020-12-22_BKN_GSW,0022000001,2020-12-22,BKN,GSW,BKN,Bruce Brown,1628971,451,0,,,2,-7,https://www.nba.com/game/0022000001/box-score
2020-12-22_BKN_GSW,0022000001,2020-12-22,BKN,GSW,BKN,Caris LeVert,1627747,1489,0,,,20,18,https://www.nba.com/game/0022000001/box-score
2020-12-22_BKN_GSW,0022000001,2020-12-22,BKN,GSW,BKN,DeAndre Jordan,201599,1023,1,C,,4,21,https://www.nba.com/game/0022000001/box-score
2020-12-22_BKN_GSW,0022000001,2020-12-22,BKN,GSW,BKN,Jarrett Allen,1628386,1177,0,,,8,12,https://www.nba.com/game/0022000001/box-score
2020-12-22_BKN_GSW,0022000001,2020-12-22,BKN,GSW,BKN,Jeff Green,201145,1037,0,,,7,6,https://www.nba.com/game/0022000001/box-score
2020-12-22_BKN_GSW,0022000001,2020-12-22,BKN,GSW,BKN,Joe Harris,203925,1246,1,F,,10,21,https://www.nba.com/game/0022000001/box-score
2020-12-22_BKN_GSW,0022000001,2020-12-22,BKN,GSW,BKN,Kevin Durant,201142,1496,1,F,,22,26,https://www.nba.com/game/0022000001/box-score
2020-12-22_BKN_GSW,0022000001,2020-12-22,BKN,GSW,BKN,Kyrie Irving,202681,1518,1,G,,26,32,https://www.nba.com/game/0022000001/box-score
2020-12-22_BKN_GSW,0022000001,2020-12-22,BKN,GSW,BKN,Landry Shamet,1629013,1183,0,,,6,12,https://www.nba.com/game/0022000001/box-score
2020-12-22_BKN_GSW,0022000001,2020-12-22,BKN,GSW,BKN,Reggie Perry,1629617,466,0,,,2,-8,https://www.nba.com/game/0022000001/box-score
2020-12-22_BKN_GSW,0022000001,2020-12-22,BKN,GSW,BKN,Rodions Kurucs,1629066,396,0,,,3,-9,https://www.nba.com/game/0022000001/box-score
2020-12-22_BKN_GSW,0022000001,2020-12-22,BKN,GSW,BKN,Spencer Dinwiddie,203915,1197,1,G,,9,24,https://www.nba.com/game/0022000001/box-score
2020-12-22_BKN_GSW,0022000001,2020-12-22,BKN,GSW,BKN,Taurean Prince,1627752,966,0,,,1,3,https://www.nba.com/game/0022000001/box-score
2020-12-22_BKN_GSW,0022000001,2020-12-22,BKN,GSW,BKN,Timothe Luwawu-Cabarrot,1627789,396,0,,,5,-9,https://www.nba.com/game/0022000001/box-score
2020-12-22_BKN_GSW,0022000001,2020-12-22,BKN,GSW,BKN,Tyler Johnson,204020,359,0,,,0,-12,https://www.nba.com/game/0022000001/box-score
2020-12-22_BKN_GSW,0022000001,2020-12-22,BKN,GSW,GSW,Andrew Wiggins,203952,1874,1,F,,13,-28,https://www.nba.com/game/0022000001/box-score
2020-12-22_BKN_GSW,0022000001,2020-12-22,BKN,GSW,GSW,Brad Wanamaker,202954,1300,0,,,3,1,https://www.nba.com/game/0022000001/box-score
2020-12-22_BKN_GSW,0022000001,2020-12-22,BKN,GSW,GSW,Damion Lee,1627814,734,0,,,3,8,https://www.nba.com/game/0022000001/box-score
