event_id,game_id,date,home,away,team,player,person_id,seconds,start,comment,pts,plus_minus,official_url
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,BOS,Aaron Nesmith,1630174,0,0,DNP - Coach's Decision,0,0,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,BOS,Carsen Edwards,1629035,0,0,DNP - Coach's Decision,0,0,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,BOS,Daniel Theis,1628464,1480,1,,10,7,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,BOS,Grant Williams,1629684,875,0,,3,-19,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,BOS,Javonte Green,1629750,0,0,DNP - Coach's Decision,0,0,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,BOS,Jaylen Brown,1627759,2258,1,,33,8,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,BOS,Jayson Tatum,1628369,1969,1,,30,-6,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,BOS,Jeff Teague,201952,1500,0,,19,8,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,BOS,Marcus Smart,203935,2307,1,,3,0,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,BOS,Payton Pritchard,1630202,780,0,,3,-2,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,BOS,Robert Williams III,1629057,748,0,,4,-5,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,BOS,Semi Ojeleye,1628400,1139,0,,5,20,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,BOS,Tremont Waters,1629682,0,0,DNP - Coach's Decision,0,0,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,BOS,Tristan Thompson,202684,1344,1,,12,-6,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,MIL,Bobby Portis,1626171,982,0,,3,-16,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,MIL,Brook Lopez,201572,1746,1,,7,22,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,MIL,Bryn Forbes,1627854,811,0,,3,4,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,MIL,D.J. Wilson,1628391,773,0,,0,-6,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,MIL,Donte DiVincenzo,1628978,1633,1,,15,4,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,MIL,Giannis Antetokounmpo,203507,2184,1,,35,-1,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,MIL,Jaylen Adams,1629121,0,0,DNP - Coach's Decision,0,0,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,MIL,Jordan Nwora,1629670,0,0,DNP - Coach's Decision,0,0,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,MIL,Jrue Holiday,201950,2303,1,,25,-5,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,MIL,Khris Middleton,203114,2253,1,,27,7,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,MIL,Mamadi Diakite,1629603,0,0,DNP - Coach's Decision,0,0,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,MIL,Pat Connaughton,1626192,1388,0,,6,-14,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,MIL,Sam Merrill,1630241,328,0,,0,0,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,MIL,Thanasis Antetokounmpo,203648,0,0,DNP - Coach's Decision,0,0,https://www.nba.com/game/0022000003/box-score
2020-12-23_BOS_MIL,0022000003,2020-12-23,BOS,MIL,MIL,Torrey Craig,1628470,0,0,DNP - Coach's Decision,0,0,https://www.nba.com/game/0022000003/box-score
2020-12-23_DEN_SAC,0022000019,2020-12-23,DEN,SAC,DEN,Bol Bol,1629626,0,0,DNP - Coach's Decision,0,0,https://www.nba.com/game/0022000019/box-score
2020-12-23_DEN_SAC,0022000019,2020-12-23,DEN,SAC,DEN,Facundo Campazzo,1630267,488,0,,3,-4,https://www.nba.com/game/0022000019/box-score
2020-12-23_DEN_SAC,0022000019,2020-12-23,DEN,SAC,DEN,Gary Harris,203914,2493,1,,10,5,https://www.nba.com/game/0022000019/box-score
2020-12-23_DEN_SAC,0022000019,2020-12-23,DEN,SAC,DEN,Isaiah Hartenstein,1628392,533,0,,6,-1,https://www.nba.com/game/0022000019/box-score
