event_id,game_id,date,team,player,person_id,seconds,comment,official_reference_url
2020-12-23_MIN_DET,0022000018,2020-12-23,MIN,Anthony Edwards,1630162,1509,,https://www.nba.com/game/0022000018/box-score
2020-12-26_UTA_MIN,0022000028,2020-12-26,MIN,Anthony Edwards,1630162,1340,,https://www.nba.com/game/0022000028/box-score
2020-12-27_LAL_MIN,0022000040,2020-12-27,MIN,Anthony Edwards,1630162,1712,,https://www.nba.com/game/0022000040/box-score
2020-12-29_LAC_MIN,0022000054,2020-12-29,MIN,Anthony Edwards,1630162,1482,,https://www.nba.com/game/0022000054/box-score
2021-01-01_MIN_WAS,0022000074,2021-01-01,MIN,Anthony Edwards,1630162,1581,,https://www.nba.com/game/0022000074/box-score
2021-01-03_MIN_DEN,0022000088,2021-01-03,MIN,Anthony Edwards,1630162,1377,,https://www.nba.com/game/0022000088/box-score
2021-01-05_DEN_MIN,0022000104,2021-01-05,MIN,Anthony Edwards,1630162,1533,,https://www.nba.com/game/0022000104/box-score
2021-01-07_POR_MIN,0022000122,2021-01-07,MIN,Anthony Edwards,1630162,1873,,https://www.nba.com/game/0022000122/box-score
2021-01-09_MIN_SAS,0022000138,2021-01-09,MIN,Anthony Edwards,1630162,1816,,https://www.nba.com/game/0022000138/box-score
2021-01-10_MIN_SAS,0022000147,2021-01-10,MIN,Anthony Edwards,1630162,1062,,https://www.nba.com/game/0022000147/box-score
2021-01-13_MIN_MEM,0022000169,2021-01-13,MIN,Anthony Edwards,1630162,1011,,https://www.nba.com/game/0022000169/box-score
2021-01-18_ATL_MIN,0022000205,2021-01-18,MIN,Anthony Edwards,1630162,1822,,https://www.nba.com/game/0022000205/box-score
2021-01-20_MIN_ORL,0022000221,2021-01-20,MIN,Anthony Edwards,1630162,1369,,https://www.nba.com/game/0022000221/box-score
2021-01-22_MIN_ATL,0022000236,2021-01-22,MIN,Anthony Edwards,1630162,1441,,https://www.nba.com/game/0022000236/box-score
2021-01-23_MIN_NOP,0022000246,2021-01-23,MIN,Anthony Edwards,1630162,1216,,https://www.nba.com/game/0022000246/box-score
2021-01-25_GSW_MIN,0022000266,2021-01-25,MIN,Anthony Edwards,1630162,1633,,https://www.nba.com/game/0022000266/box-score
2021-01-27_GSW_MIN,0022000283,2021-01-27,MIN,Anthony Edwards,1630162,1943,,https://www.nba.com/game/0022000283/box-score
2021-01-29_MIN_PHI,0022000294,2021-01-29,MIN,Anthony Edwards,1630162,1728,,https://www.nba.com/game/0022000294/box-score
2021-01-31_MIN_CLE,0022000311,2021-01-31,MIN,Anthony Edwards,1630162,1817,,https://www.nba.com/game/0022000311/box-score
2021-02-01_CLE_MIN,0022000312,2021-02-01,MIN,Anthony Edwards,1630162,1878,,https://www.nba.com/game/0022000312/box-score
2021-02-03_SAS_MIN,0022000334,2021-02-03,MIN,Anthony Edwards,1630162,1894,,https://www.nba.com/game/0022000334/box-score
2021-02-05_OKC_MIN,0022000348,2021-02-05,MIN,Anthony Edwards,1630162,1936,,https://www.nba.com/game/0022000348/box-score
2021-02-06_OKC_MIN,0022000359,2021-02-06,MIN,Anthony Edwards,1630162,1875,,https://www.nba.com/game/0022000359/box-score
2021-02-08_DAL_MIN,0022000370,2021-02-08,MIN,Anthony Edwards,1630162,1856,,https://www.nba.com/game/0022000370/box-score
2021-02-10_MIN_LAC,0022000387,2021-02-10,MIN,Anthony Edwards,1630162,1784,,https://www.nba.com/game/0022000387/box-score
2021-02-12_CHA_MIN,0022000395,2021-02-12,MIN,Anthony Edwards,1630162,2038,,https://www.nba.com/game/0022000395/box-score
