id,date,home,away,winner,margin,contact_status,direct_reasons,dependency_reasons,impact_status,selected,changes_CHI_rank_in_one_flip_screen,review_priority
2020-12-22_BKN_GSW,2020-12-22,BKN,GSW,BKN,26,TRANSACTION_DEPENDENCY,,GSW: Wiggins core/Hutchison supplemental asset unresolved,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-22_LAL_LAC,2020-12-22,LAL,LAC,LAC,7,TRANSACTION_DEPENDENCY,,LAL: AD upstream asset chain retained conditionally,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-23_CLE_CHA,2020-12-23,CLE,CHA,CLE,7,DIRECT_ROSTER_CONTACT,CHA: 2020 Edwards/Terry/center cascade,,NOT_CALCULATED,False,True,P2_BOUNDARY
2020-12-23_IND_NYK,2020-12-23,IND,NYK,IND,14,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,True,P2_BOUNDARY
2020-12-23_PHI_WAS,2020-12-23,PHI,WAS,PHI,6,DIRECT_ROSTER_CONTACT,WAS: Trent replaces Bonga; Brown retained after deadline,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-23_ORL_MIA,2020-12-23,ORL,MIA,ORL,6,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-23_TOR_NOP,2020-12-23,TOR,NOP,NOP,14,DIRECT_ROSTER_CONTACT,NOP: 2020 Hayes replaces Kira,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-23_BOS_MIL,2020-12-23,BOS,MIL,BOS,1,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-23_MIN_DET,2020-12-23,MIN,DET,MIN,10,DIRECT_ROSTER_CONTACT,MIN: 2020 rival replaces Edwards|DET: 2020 Patrick/Kira replace Hayes/Bey,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-23_MEM_SAS,2020-12-23,MEM,SAS,SAS,12,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-23_DEN_SAC,2020-12-23,DEN,SAC,SAC,2,DIRECT_ROSTER_CONTACT,DEN: 2020 Bey/Nnaji replace Nnaji/Hampton; Gordon package conditional,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-23_POR_UTA,2020-12-23,POR,UTA,UTA,20,DIRECT_ROSTER_CONTACT,POR: Trent absent; Powell absent and Hood retained in working path,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-23_PHX_DAL,2020-12-23,PHX,DAL,PHX,4,DIRECT_ROSTER_CONTACT,DAL: 2020 Hampton replaces Terry,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-25_MIA_NOP,2020-12-25,MIA,NOP,MIA,13,DIRECT_ROSTER_CONTACT,NOP: 2020 Hayes replaces Kira,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-25_MIL_GSW,2020-12-25,MIL,GSW,MIL,39,TRANSACTION_DEPENDENCY,,GSW: Wiggins core/Hutchison supplemental asset unresolved,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-25_BOS_BKN,2020-12-25,BOS,BKN,BKN,28,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
