season,date,game_id,team,player,person_id,seconds,start,comment,pts,fgm,fga,fg3m,fg3a,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2020-21,2020-12-23,0022000012,MIA,Kelly Olynyk,203482,1199,0,,5,2,6,1,3,0,0,0,3,3,1,2,0,0,2
2020-21,2020-12-23,0022000012,MIA,Maurice Harkless,203090,1363,1,,3,1,4,1,2,0,0,0,2,2,1,0,0,0,0
2020-21,2020-12-23,0022000014,NOP,Kira Lewis Jr.,1630184,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-23,0022000014,TOR,Alex Len,203458,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-23,0022000015,CHI,Patrick Williams,1630172,1983,1,,16,5,11,1,3,5,6,0,4,4,1,1,1,0,2
2020-21,2020-12-23,0022000018,DET,Isaiah Stewart,1630191,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-23,0022000018,DET,Jerami Grant,203924,1885,1,,9,4,11,1,5,0,0,0,1,1,3,1,1,0,0
2020-21,2020-12-23,0022000018,DET,Josh Jackson,1628367,1731,0,,19,8,14,3,7,0,0,0,6,6,2,1,0,2,5
2020-21,2020-12-23,0022000018,DET,Mason Plumlee,203486,1932,1,,14,7,8,0,0,0,0,1,7,8,6,0,0,0,4
2020-21,2020-12-23,0022000019,SAC,Buddy Hield,1627741,2468,1,,22,7,15,5,11,3,3,1,3,4,3,1,0,3,5
2020-21,2020-12-23,0022000019,SAC,Cory Joseph,202709,1762,0,,15,6,10,2,5,1,2,0,3,3,4,1,2,2,4
2020-21,2020-12-23,0022000019,SAC,De'Aaron Fox,1628368,2323,1,,21,8,20,1,2,4,5,2,2,4,7,1,1,2,2
2020-21,2020-12-23,0022000019,SAC,Harrison Barnes,203084,2517,1,,21,8,15,0,3,5,7,1,8,9,5,2,0,1,1
2020-21,2020-12-23,0022000019,SAC,Marvin Bagley III,1628963,1641,1,,13,5,15,0,4,3,4,2,8,10,0,0,1,2,6
2020-21,2020-12-23,0022000019,SAC,Richaun Holmes,1626158,1379,1,,6,3,6,0,0,0,0,6,3,9,1,0,1,1,6
2020-21,2020-12-23,0022000019,SAC,Tyrese Haliburton,1630169,1800,0,,12,3,7,2,5,4,4,1,1,2,4,0,1,0,0
2020-21,2020-12-25,0022000005,MIA,Kelly Olynyk,203482,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-25,0022000005,MIA,Maurice Harkless,203090,569,0,,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2
