event_id,date,home,away,actual_margin,home_policy,away_policy,contact_status,direct_seed_cases,playin_field_cases,chicago_rank_cases,seed_order_cases,draft_record_group_cases,later_tie_cases,priority,impact_status,selected
2020-12-22_BKN_GSW,2020-12-22,BKN,GSW,26,INCUMBENT_CONDITIONAL,GSW_WIGGINS_HUTCHISON_INACTIVE,TRANSACTION_DEPENDENCY,D01;D05,,,D01;D03;D05,D01;D02;D03;D04;D05;D06;D07,,LARGE_MARGIN_BOUNDARY,NOT_CALCULATED,False
2020-12-22_LAL_LAC,2020-12-22,LAL,LAC,7,LAL_AD_CORE,INCUMBENT_CONDITIONAL,TRANSACTION_DEPENDENCY,,,,D02;D04;D06;D07,D01;D02;D03;D04;D05;D06;D07,,REMAINING_SEASON_POLICY,NOT_CALCULATED,False
2020-12-23_CLE_CHA,2020-12-23,CLE,CHA,7,INCUMBENT_CONDITIONAL,CHA_EDWARDS_TERRY,DIRECT_ROSTER_CONTACT,,D01;D07,D05;D06;D07,D01;D02;D03;D04;D05;D06;D07,D01;D02;D03;D04;D05;D06;D07,,LARGE_MARGIN_BOUNDARY,NOT_CALCULATED,False
2020-12-23_IND_NYK,2020-12-23,IND,NYK,14,INCUMBENT_CONDITIONAL,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,,D01;D02;D03;D05;D07,D01;D02;D03;D04;D05;D06;D07,,REMAINING_SEASON_POLICY,NOT_CALCULATED,False
2020-12-23_PHI_WAS,2020-12-23,PHI,WAS,6,INCUMBENT_CONDITIONAL,WAS_TRENT,DIRECT_ROSTER_CONTACT,,D03;D04;D05;D06,D01;D05;D06,D01;D02;D03;D04;D05;D06;D07,D01;D02;D03;D04;D05;D06;D07,,LARGE_MARGIN_BOUNDARY,NOT_CALCULATED,False
2020-12-23_ORL_MIA,2020-12-23,ORL,MIA,6,INCUMBENT_CONDITIONAL,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,,D01;D02;D03;D04;D05;D06;D07,D01;D02;D03;D04;D05;D06;D07,,REMAINING_SEASON_POLICY,NOT_CALCULATED,False
2020-12-23_TOR_NOP,2020-12-23,TOR,NOP,14,INCUMBENT_CONDITIONAL,NOP_HAYES,DIRECT_ROSTER_CONTACT,,,,,D01;D02;D07,,REMAINING_SEASON_POLICY,NOT_CALCULATED,False
2020-12-23_BOS_MIL,2020-12-23,BOS,MIL,1,INCUMBENT_CONDITIONAL,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,,,D01;D02;D03;D04;D05;D06;D07,,CLOSE80_PAIRED_INPUT,NOT_CALCULATED,False
2020-12-23_MIN_DET,2020-12-23,MIN,DET,10,MIN_RIVAL,DET_PATRICK_KIRA,DIRECT_ROSTER_CONTACT,,,,D01;D02;D03;D04;D05;D06;D07,D01;D02;D03;D04;D05;D06;D07,,REMAINING_SEASON_POLICY,NOT_CALCULATED,False
2020-12-23_MEM_SAS,2020-12-23,MEM,SAS,12,INCUMBENT_CONDITIONAL,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,D01;D03;D05,,,D01;D03;D04;D05,D01;D02;D03;D04;D05;D06;D07,,LARGE_MARGIN_BOUNDARY,NOT_CALCULATED,False
2020-12-23_DEN_SAC,2020-12-23,DEN,SAC,2,DEN_BEY_NNAJI,INCUMBENT_CONDITIONAL,DIRECT_ROSTER_CONTACT,,,,D01;D02;D03;D04;D05;D06;D07,D01;D02;D03;D04;D05;D06;D07,,CLOSE80_PAIRED_INPUT,NOT_CALCULATED,False
2020-12-23_POR_UTA,2020-12-23,POR,UTA,20,POR_NO_TRENT,INCUMBENT_CONDITIONAL,DIRECT_ROSTER_CONTACT,D02;D07,,,D01;D02;D03;D04;D05;D06;D07,D01;D02;D03;D04;D05;D06;D07,,LARGE_MARGIN_BOUNDARY,NOT_CALCULATED,False
2020-12-23_PHX_DAL,2020-12-23,PHX,DAL,4,INCUMBENT_CONDITIONAL,DAL_HAMPTON,DIRECT_ROSTER_CONTACT,D01;D03;D05,,,D01;D03;D05,D01;D02;D03;D04;D05;D06;D07,,LARGE_MARGIN_BOUNDARY,NOT_CALCULATED,False
2020-12-25_MIA_NOP,2020-12-25,MIA,NOP,13,INCUMBENT_CONDITIONAL,NOP_HAYES,DIRECT_ROSTER_CONTACT,,,,D01;D02;D03;D04;D05;D06;D07,D01;D02;D03;D04;D05;D06;D07,,REMAINING_SEASON_POLICY,NOT_CALCULATED,False
2020-12-25_MIL_GSW,2020-12-25,MIL,GSW,39,INCUMBENT_CONDITIONAL,GSW_WIGGINS_HUTCHISON_INACTIVE,TRANSACTION_DEPENDENCY,D01;D05,,,D01;D03;D05,D01;D02;D03;D04;D05;D06;D07,,LARGE_MARGIN_BOUNDARY,NOT_CALCULATED,False
2020-12-25_BOS_BKN,2020-12-25,BOS,BKN,28,INCUMBENT_CONDITIONAL,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,,,D01;D02;D03;D04;D05;D06;D07,,REMAINING_SEASON_POLICY,NOT_CALCULATED,False
2020-12-25_LAL_DAL,2020-12-25,LAL,DAL,23,LAL_AD_CORE,DAL_HAMPTON,DIRECT_ROSTER_CONTACT,D01;D02;D03;D05;D07,,,D01;D02;D03;D05;D07,D01;D02;D03;D04;D05;D06;D07,,LARGE_MARGIN_BOUNDARY,NOT_CALCULATED,False
2020-12-25_DEN_LAC,2020-12-25,DEN,LAC,13,DEN_BEY_NNAJI,INCUMBENT_CONDITIONAL,DIRECT_ROSTER_CONTACT,,,,,D01;D02;D03;D04;D05;D06;D07,,REMAINING_SEASON_POLICY,NOT_CALCULATED,False
2020-12-26_MEM_ATL,2020-12-26,MEM,ATL,10,INCUMBENT_CONDITIONAL,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,D01;D03;D05,,,D01;D03;D04;D05,D01;D02;D03;D04;D05;D06;D07,,LARGE_MARGIN_BOUNDARY,NOT_CALCULATED,False
2020-12-26_DET_CLE,2020-12-26,DET,CLE,9,DET_PATRICK_KIRA,INCUMBENT_CONDITIONAL,DIRECT_ROSTER_CONTACT,,,,D01;D02;D03;D04;D05;D06;D07,D01;D02;D03;D04;D05;D06;D07,,REMAINING_SEASON_POLICY,NOT_CALCULATED,False
2020-12-26_WAS_ORL,2020-12-26,WAS,ORL,10,WAS_TRENT,INCUMBENT_CONDITIONAL,DIRECT_ROSTER_CONTACT,,D03;D04;D05;D06,D01;D05;D06,D01;D02;D03;D04;D05;D06;D07,D01;D02;D03;D04;D05;D06;D07,,LARGE_MARGIN_BOUNDARY,NOT_CALCULATED,False
