event_id,date,team,policy_id,contact,conditional_newcomers,removed_players,execution_conditions,phase,minute_allocation_status,incumbent_rule,observation_rows,observed_seconds,positive_minute_players,coach_dnp_players,injury_protocol_dnp_players,conditional_newcomers_without_row,observed_source_game_id
2020-12-22_BKN_GSW,2020-12-22,BKN,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14400,15,,,,0022000001
2020-12-22_BKN_GSW,2020-12-22,GSW,GSW_WIGGINS_HUTCHISON_INACTIVE,TRANSACTION_DEPENDENCY,,,EX06;EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,13,14400,13,,,,0022000001
2020-12-22_LAL_LAC,2020-12-22,LAL,LAL_AD_CORE,TRANSACTION_DEPENDENCY,,,EX06;EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,12,Alfonzo McKinnie;Jared Dudley,,,0022000002
2020-12-22_LAL_LAC,2020-12-22,LAC,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,13,Daniel Oturu,,,0022000002
2020-12-23_BOS_MIL,2020-12-23,BOS,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,10,Aaron Nesmith;Carsen Edwards;Javonte Green;Tremont Waters,,,0022000003
2020-12-23_BOS_MIL,2020-12-23,MIL,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14401,10,Jaylen Adams;Jordan Nwora;Mamadi Diakite;Thanasis Antetokounmpo;Torrey Craig,,,0022000003
2020-12-23_CLE_CHA,2020-12-23,CLE,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,13,14400,11,Lamar Stevens;Thon Maker,,,0022000010
2020-12-23_CLE_CHA,2020-12-23,CHA,CHA_EDWARDS_TERRY,DIRECT_ROSTER_CONTACT,Anthony Edwards;Tyrell Terry,LaMelo Ball;Grant Riller,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,10,Caleb Martin;Malik Monk;Nick Richards;Vernon Carey Jr.,,Anthony Edwards;Tyrell Terry,0022000010
2020-12-23_DEN_SAC,2020-12-23,DEN,DEN_BEY_NNAJI,DIRECT_ROSTER_CONTACT,Saddiq Bey,R.J. Hampton,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,15900,10,Bol Bol;Markus Howard;R.J. Hampton;Vlatko Cancar;Zeke Nnaji,,Saddiq Bey,0022000019
2020-12-23_DEN_SAC,2020-12-23,SAC,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,15900,9,Glenn Robinson III;Jahmi'us Ramsey;Justin James;Kyle Guy;Robert Woodard II,,,0022000019
2020-12-23_IND_NYK,2020-12-23,IND,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14401,9,Cassius Stanley;Edmond Sumner;JaKarr Sampson;Jalen Lecque;Kelan Martin,,,0022000011
2020-12-23_IND_NYK,2020-12-23,NYK,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14400,12,Dennis Smith Jr.;Ignas Brazdeikis;Jared Harper,,,0022000011
2020-12-23_MEM_SAS,2020-12-23,MEM,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,12,14401,10,John Konchar;Sean McDermott,,,0022000017
2020-12-23_MEM_SAS,2020-12-23,SAS,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,9,Drew Eubanks;Keita Bates-Diop;Luka Samanic;Tre Jones;Trey Lyles,,,0022000017
2020-12-23_MIN_DET,2020-12-23,MIN,MIN_RIVAL,DIRECT_ROSTER_CONTACT,Fictional Rival,Anthony Edwards,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,13,14400,10,Ed Davis;Jaden McDaniels;Jarred Vanderbilt,,Fictional Rival,0022000018
2020-12-23_MIN_DET,2020-12-23,DET,DET_PATRICK_KIRA,DIRECT_ROSTER_CONTACT,Patrick Williams;Kira Lewis Jr.,Saddiq Bey;Killian Hayes,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14400,10,Isaiah Stewart;Rodney McGruder;Saben Lee;Saddiq Bey;Wayne Ellington,,Patrick Williams;Kira Lewis Jr.,0022000018
2020-12-23_ORL_MIA,2020-12-23,ORL,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14401,10,Gary Clark;Jordan Bone;Karim Mane;Mo Bamba,,,0022000012
2020-12-23_ORL_MIA,2020-12-23,MIA,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14402,10,Avery Bradley;Chris Silva;KZ Okpala;Meyers Leonard;Udonis Haslem,,,0022000012
2020-12-23_PHI_WAS,2020-12-23,PHI,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14400,11,Dakota Mathias;Isaiah Joe;Terrance Ferguson;Tony Bradley,,,0022000013
2020-12-23_PHI_WAS,2020-12-23,WAS,WAS_TRENT,DIRECT_ROSTER_CONTACT,Gary Trent Jr.,Isaac Bonga;Chandler Hutchison,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,11,Anthony Gill;Anzejs Pasecniks;Jerome Robinson,,Gary Trent Jr.,0022000013
2020-12-23_PHX_DAL,2020-12-23,PHX,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14401,11,E'Twaun Moore;Ty-Shon Alexander,Dario Saric,,0022000004
2020-12-23_PHX_DAL,2020-12-23,DAL,DAL_HAMPTON,DIRECT_ROSTER_CONTACT,R.J. Hampton,Tyrell Terry,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14401,11,Boban Marjanovic;Tyrell Terry;Wes Iwundu,,R.J. Hampton,0022000004
2020-12-23_POR_UTA,2020-12-23,POR,POR_NO_TRENT,DIRECT_ROSTER_CONTACT,,Gary Trent Jr.;Norman Powell,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,12,14400,12,,,,0022000020
2020-12-23_POR_UTA,2020-12-23,UTA,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,14,,,,0022000020
2020-12-23_TOR_NOP,2020-12-23,TOR,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14400,12,Alex Len;Paul Watson;Yuta Watanabe,,,0022000014
2020-12-23_TOR_NOP,2020-12-23,NOP,NOP_HAYES,DIRECT_ROSTER_CONTACT,Killian Hayes,Kira Lewis Jr.,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,10,Kira Lewis Jr.;Naji Marshall;Sindarius Thornwell;Willy Hernangomez,,Killian Hayes,0022000014
