date,home,away,home_score,away_score
2020-12-22,BKN,GSW,125,99
2020-12-22,LAL,LAC,109,116
2020-12-23,CLE,CHA,121,114
2020-12-23,IND,NYK,121,107
2020-12-23,PHI,WAS,113,107
2020-12-23,ORL,MIA,113,107
2020-12-23,TOR,NOP,99,113
2020-12-23,BOS,MIL,122,121
2020-12-23,MIN,DET,111,101
2020-12-23,MEM,SAS,119,131
2020-12-23,CHI,ATL,104,124
2020-12-23,DEN,SAC,122,124
2020-12-23,POR,UTA,100,120
2020-12-23,PHX,DAL,106,102
2020-12-25,MIA,NOP,111,98
2020-12-25,MIL,GSW,138,99
2020-12-25,BOS,BKN,95,123
2020-12-25,LAL,DAL,138,115
2020-12-25,DEN,LAC,108,121
2020-12-26,MEM,ATL,112,122
2020-12-26,DET,CLE,119,128
2020-12-26,WAS,ORL,120,130
2020-12-26,CHA,OKC,107,109
2020-12-26,NYK,PHI,89,109
2020-12-26,CHI,IND,106,125
2020-12-26,SAS,TOR,119,114
2020-12-26,UTA,MIN,111,116
2020-12-26,SAC,PHX,106,103
2020-12-26,POR,HOU,128,126
2020-12-27,LAC,DAL,73,124
2020-12-27,WAS,ORL,113,120
2020-12-27,CHA,BKN,106,104
2020-12-27,NOP,SAS,98,95
2020-12-27,NYK,MIL,130,110
2020-12-27,CLE,PHI,118,94
2020-12-27,CHI,GSW,128,129
2020-12-27,IND,BOS,108,107
2020-12-27,SAC,PHX,100,116
2020-12-27,LAL,MIN,127,91
2020-12-28,BKN,MEM,111,116
2020-12-28,ATL,DET,128,120
2020-12-28,OKC,UTA,109,110
2020-12-28,DEN,HOU,124,111
2020-12-28,LAL,POR,107,115
2020-12-29,IND,BOS,111,116
2020-12-29,DET,GSW,106,116
2020-12-29,WAS,CHI,107,115
2020-12-29,PHI,TOR,100,93
2020-12-29,CLE,NYK,86,95
2020-12-29,MIA,MIL,97,144
2020-12-29,OKC,ORL,107,118
2020-12-29,PHX,NOP,111,86
2020-12-29,SAC,DEN,125,115
2020-12-29,LAC,MIN,124,101
2020-12-30,BKN,ATL,145,141
2020-12-30,MIA,MIL,119,108
2020-12-30,BOS,MEM,126,107
2020-12-30,SAS,LAL,107,121
2020-12-30,DAL,CHA,99,118
2020-12-30,LAC,POR,128,105
2020-12-31,IND,CLE,119,99
2020-12-31,WAS,CHI,130,133
2020-12-31,ORL,PHI,92,116
2020-12-31,HOU,SAC,122,119
2020-12-31,TOR,NYK,100,83
2020-12-31,OKC,NOP,80,113
2020-12-31,UTA,PHX,95,106
2021-01-01,CHA,MEM,93,108
2021-01-01,DAL,MIA,93,83
2021-01-01,DET,BOS,96,93
2021-01-01,BKN,ATL,96,114
2021-01-01,SAS,LAL,103,109
2021-01-01,MIN,WAS,109,130
2021-01-01,MIL,CHI,126,96
2021-01-01,DEN,PHX,103,106
2021-01-01,UTA,LAC,106,100
2021-01-01,GSW,POR,98,123
2021-01-02,HOU,SAC,102,94
2021-01-02,IND,NYK,102,106
2021-01-02,ORL,OKC,99,108
2021-01-02,PHI,CHA,127,112
2021-01-02,ATL,CLE,91,96
2021-01-02,NOP,TOR,120,116
2021-01-03,DET,BOS,120,122
2021-01-03,BKN,WAS,122,123
2021-01-03,MEM,LAL,94,108
2021-01-03,MIN,DEN,109,124
2021-01-03,SAS,UTA,109,130
2021-01-03,CHI,DAL,118,108
2021-01-03,PHX,LAC,107,112
2021-01-03,GSW,POR,137,122
2021-01-04,PHI,CHA,118,101
2021-01-04,ORL,CLE,103,83
2021-01-04,MIA,OKC,118,90
2021-01-04,ATL,NYK,108,113
2021-01-04,TOR,BOS,114,126
2021-01-04,HOU,DAL,100,113
2021-01-04,MIL,DET,125,115
2021-01-04,NOP,IND,116,118
2021-01-04,GSW,SAC,137,106
2021-01-05,BKN,UTA,130,96
2021-01-05,MEM,LAL,92,94
2021-01-05,DEN,MIN,123,116
2021-01-05,LAC,SAS,113,116
2021-01-05,POR,CHI,108,111
2021-01-06,IND,HOU,114,107
2021-01-06,ORL,CLE,105,94
2021-01-06,PHI,WAS,141,136
2021-01-06,MIA,BOS,105,107
2021-01-06,ATL,CHA,94,102
2021-01-06,NYK,UTA,112,100
2021-01-06,MIL,DET,130,115
2021-01-06,NOP,OKC,110,111
