season,date,game_id,team,player,seconds,comment,pts,fgm,fga,fg3m,fg3a,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2020-21,2020-12-23,0022000003,BOS,Aaron Nesmith,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-23,0022000004,DAL,Josh Green,196,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-23,0022000017,MEM,Desmond Bane,633,,6,2,5,2,4,0,0,1,3,4,0,0,0,1,1
2020-21,2020-12-23,0022000017,SAS,Devin Vassell,1180,,3,1,4,1,2,0,0,1,2,3,0,0,1,0,1
2020-21,2020-12-23,0022000018,DET,Saddiq Bey,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-25,0022000007,BOS,Aaron Nesmith,525,,3,1,2,1,2,0,0,0,0,0,0,0,0,1,0
2020-21,2020-12-25,0022000008,DAL,Josh Green,143,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-26,0022000021,MEM,Desmond Bane,1341,,6,2,2,2,2,0,0,0,1,1,0,0,0,0,4
2020-21,2020-12-26,0022000023,DET,Saddiq Bey,361,,0,0,2,0,2,0,2,1,1,2,0,0,0,0,1
2020-21,2020-12-26,0022000027,SAS,Devin Vassell,713,,7,3,5,1,1,0,0,0,5,5,1,1,1,2,3
2020-21,2020-12-27,0022000031,DAL,Josh Green,694,,4,1,3,0,0,2,2,0,2,2,2,0,0,1,0
2020-21,2020-12-27,0022000034,SAS,Devin Vassell,729,,0,0,4,0,2,0,0,0,2,2,1,0,0,0,1
2020-21,2020-12-27,0022000037,BOS,Aaron Nesmith,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-28,0022000041,DET,Saddiq Bey,1815,,10,3,11,2,7,2,2,1,6,7,1,0,0,0,1
2020-21,2020-12-28,0022000042,MEM,Desmond Bane,1435,,6,2,6,2,5,0,0,1,2,3,0,0,0,1,3
2020-21,2020-12-29,0022000047,DET,Saddiq Bey,908,,11,3,9,3,5,2,2,0,3,3,0,0,0,1,3
2020-21,2020-12-29,0022000048,BOS,Aaron Nesmith,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-30,0022000056,BOS,Aaron Nesmith,1189,,5,2,7,1,5,0,0,1,2,3,1,0,1,1,3
2020-21,2020-12-30,0022000056,MEM,Desmond Bane,1914,,16,6,11,3,6,1,1,2,2,4,0,2,0,2,2
2020-21,2020-12-30,0022000059,DAL,Josh Green,765,,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0
2020-21,2020-12-30,0022000060,SAS,Devin Vassell,784,,3,1,3,1,2,0,0,0,2,2,0,1,0,0,0
2020-21,2021-01-01,0022000069,MEM,Desmond Bane,1688,,10,4,12,2,7,0,0,0,2,2,4,1,0,2,2
2020-21,2021-01-01,0022000070,BOS,Aaron Nesmith,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-01,0022000070,DET,Saddiq Bey,1811,,17,5,11,5,8,2,4,0,7,7,1,2,0,2,1
2020-21,2021-01-01,0022000071,DAL,Josh Green,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-01,0022000075,SAS,Devin Vassell,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-03,0022000085,BOS,Aaron Nesmith,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-03,0022000085,DET,Saddiq Bey,1181,,6,2,6,2,3,0,0,0,3,3,2,1,0,0,2
2020-21,2021-01-03,0022000087,MEM,Desmond Bane,1288,,13,5,8,3,4,0,1,0,1,1,2,1,0,1,2
2020-21,2021-01-03,0022000089,SAS,Devin Vassell,1371,,4,2,5,0,0,0,0,0,3,3,3,3,0,1,0
2020-21,2021-01-03,0022000090,DAL,Josh Green,18,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2020-21,2021-01-04,0022000097,BOS,Aaron Nesmith,628,,0,0,3,0,2,0,0,0,2,2,0,0,0,0,4
2020-21,2021-01-04,0022000098,DAL,Josh Green,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-04,0022000099,DET,Saddiq Bey,1851,,9,3,8,1,6,2,2,0,3,3,0,0,0,0,2
2020-21,2021-01-05,0022000103,MEM,Desmond Bane,1480,,7,3,8,1,4,0,0,0,3,3,1,1,0,2,1
2020-21,2021-01-05,0022000105,SAS,Devin Vassell,991,,12,4,5,3,4,1,1,0,2,2,0,1,0,0,2
2020-21,2021-01-06,0022000111,BOS,Aaron Nesmith,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-06,0022000113,DET,Saddiq Bey,1448,,20,6,14,6,10,2,2,0,10,10,3,1,0,1,1
2020-21,2021-01-07,0022000119,MEM,Desmond Bane,1417,,6,2,6,2,4,0,0,1,5,6,2,1,0,1,0
2020-21,2021-01-07,0022000120,DAL,Josh Green,153,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
2020-21,2021-01-07,0022000121,SAS,Devin Vassell,861,,6,2,4,2,4,0,0,0,1,1,2,1,1,0,1
2020-21,2021-01-08,0022000123,DET,Saddiq Bey,1602,,10,4,8,2,5,0,0,1,3,4,0,1,0,1,1
2020-21,2021-01-08,0022000124,BOS,Aaron Nesmith,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-08,0022000128,MEM,Desmond Bane,1288,,10,2,6,2,3,4,4,0,2,2,0,1,0,0,3
2020-21,2021-01-09,0022000138,SAS,Devin Vassell,873,,0,0,3,0,2,0,0,2,2,4,3,1,0,0,1
2020-21,2021-01-09,0022000139,DAL,Josh Green,928,,0,0,1,0,1,0,0,0,3,3,0,0,0,0,0
2020-21,2021-01-10,0022000141,DET,Saddiq Bey,1637,,12,3,9,2,6,4,4,2,1,3,1,0,0,0,4
2020-21,2021-01-10,0022000147,SAS,Devin Vassell,587,,0,0,2,0,0,0,0,0,2,2,0,1,0,0,0
2020-21,2021-01-11,0022000150,MEM,Desmond Bane,1209,,9,4,5,0,1,1,1,0,4,4,2,1,0,2,2
2020-21,2021-01-12,0022000162,SAS,Devin Vassell,1298,,2,0,5,0,2,2,2,2,5,7,2,1,0,0,1
2020-21,2021-01-13,0022000164,DAL,Josh Green,1082,,5,2,4,0,2,1,4,3,2,5,1,0,0,2,3
2020-21,2021-01-13,0022000165,DET,Saddiq Bey,1176,,10,3,8,2,6,2,3,0,2,2,0,0,0,2,1
2020-21,2021-01-13,0022000169,MEM,Desmond Bane,994,,3,1,4,0,1,1,2,0,3,3,0,0,0,0,2
2020-21,2021-01-14,0022000176,SAS,Devin Vassell,1376,,12,4,6,1,3,3,3,0,3,3,1,3,0,0,2
2020-21,2021-01-15,0022000180,BOS,Aaron Nesmith,1107,,5,2,7,1,5,0,0,0,0,0,2,0,1,1,3
2020-21,2021-01-15,0022000182,DAL,Josh Green,1135,,0,0,2,0,0,0,0,1,2,3,0,2,0,1,5
2020-21,2021-01-16,0022000189,SAS,Devin Vassell,1183,,9,3,7,0,3,3,3,2,5,7,0,2,0,0,1
2020-21,2021-01-16,0022000192,DET,Saddiq Bey,663,,5,1,3,1,3,2,2,0,1,1,0,0,0,0,2
2020-21,2021-01-16,0022000193,MEM,Desmond Bane,1112,,10,4,5,2,2,0,0,0,2,2,1,0,0,0,1
2020-21,2021-01-17,0022000196,BOS,Aaron Nesmith,506,,0,0,4,0,2,0,0,0,1,1,0,0,0,0,1
2020-21,2021-01-17,0022000198,DAL,Josh Green,1931,,4,1,4,0,2,2,2,1,3,4,1,0,0,3,2
2020-21,2021-01-18,0022000206,DET,Saddiq Bey,210,,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1
2020-21,2021-01-18,0022000207,SAS,Devin Vassell,1582,,6,2,7,2,5,0,0,2,5,7,4,2,1,0,2
2020-21,2021-01-18,0022000208,MEM,Desmond Bane,1329,,10,4,9,2,4,0,0,0,1,1,2,1,0,2,1
2020-21,2021-01-18,0022000210,DAL,Josh Green,1143,,4,2,2,0,0,0,0,1,2,3,2,0,0,0,0
