game_id,date,home,away,home_pts,away_pts,home_observed_seconds,away_observed_seconds,inferred_historical_ot,home_seconds_residual,away_seconds_residual,official_reference_url
0022100001,2021-10-19,MIL,BKN,127,104,14400,14400,0,0,0,https://www.nba.com/game/bkn-vs-mil-0022100001
0022100002,2021-10-19,LAL,GSW,114,121,14400,14399,0,0,-1,https://www.nba.com/game/gsw-vs-lal-0022100002
0022100003,2021-10-20,CHA,IND,123,122,14400,14400,0,0,0,https://www.nba.com/game/ind-vs-cha-0022100003
0022100004,2021-10-20,DET,CHI,88,94,14401,14401,0,1,1,https://www.nba.com/game/chi-vs-det-0022100004
0022100005,2021-10-20,NYK,BOS,138,134,17400,17400,2,0,0,https://www.nba.com/game/bos-vs-nyk-0022100005
0022100006,2021-10-20,TOR,WAS,83,98,14400,14400,0,0,0,https://www.nba.com/game/was-vs-tor-0022100006
0022100007,2021-10-20,MEM,CLE,132,121,14400,14400,0,0,0,https://www.nba.com/game/cle-vs-mem-0022100007
0022100008,2021-10-20,MIN,HOU,124,106,14400,14400,0,0,0,https://www.nba.com/game/hou-vs-min-0022100008
0022100009,2021-10-20,NOP,PHI,97,117,14400,14400,0,0,0,https://www.nba.com/game/phi-vs-nop-0022100009
0022100010,2021-10-20,SAS,ORL,123,97,14400,14400,0,0,0,https://www.nba.com/game/orl-vs-sas-0022100010
0022100011,2021-10-20,UTA,OKC,107,86,14400,14400,0,0,0,https://www.nba.com/game/okc-vs-uta-0022100011
0022100012,2021-10-20,PHX,DEN,98,110,14400,14400,0,0,0,https://www.nba.com/game/den-vs-phx-0022100012
0022100013,2021-10-20,POR,SAC,121,124,14400,14400,0,0,0,https://www.nba.com/game/sac-vs-por-0022100013
0022100014,2021-10-21,ATL,DAL,113,87,14400,14400,0,0,0,https://www.nba.com/game/dal-vs-atl-0022100014
0022100015,2021-10-21,MIA,MIL,137,95,14400,14400,0,0,0,https://www.nba.com/game/mil-vs-mia-0022100015
0022100016,2021-10-21,GSW,LAC,115,113,14401,14401,0,1,1,https://www.nba.com/game/lac-vs-gsw-0022100016
0022100017,2021-10-22,CLE,CHA,112,123,14400,14401,0,0,1,https://www.nba.com/game/cha-vs-cle-0022100017
0022100018,2021-10-22,ORL,NYK,96,121,14400,14399,0,0,-1,https://www.nba.com/game/nyk-vs-orl-0022100018
0022100019,2021-10-22,WAS,IND,135,134,15900,15899,1,0,-1,https://www.nba.com/game/ind-vs-was-0022100019
0022100020,2021-10-22,BOS,TOR,83,115,14400,14400,0,0,0,https://www.nba.com/game/tor-vs-bos-0022100020
0022100021,2021-10-22,PHI,BKN,109,114,14400,14400,0,0,0,https://www.nba.com/game/bkn-vs-phi-0022100021
0022100022,2021-10-22,CHI,NOP,128,112,14401,14400,0,1,0,https://www.nba.com/game/nop-vs-chi-0022100022
0022100023,2021-10-22,HOU,OKC,124,91,14400,14400,0,0,0,https://www.nba.com/game/okc-vs-hou-0022100023
0022100024,2021-10-22,DEN,SAS,102,96,14400,14400,0,0,0,https://www.nba.com/game/sas-vs-den-0022100024
0022100025,2021-10-22,LAL,PHX,105,115,14400,14400,0,0,0,https://www.nba.com/game/phx-vs-lal-0022100025
0022100026,2021-10-22,SAC,UTA,101,110,14400,14400,0,0,0,https://www.nba.com/game/uta-vs-sac-0022100026
0022100027,2021-10-23,CLE,ATL,101,95,14400,14400,0,0,0,https://www.nba.com/game/atl-vs-cle-0022100027
0022100028,2021-10-23,IND,MIA,102,91,15899,15900,1,-1,0,https://www.nba.com/game/mia-vs-ind-0022100028
0022100029,2021-10-23,TOR,DAL,95,103,14401,14400,0,1,0,https://www.nba.com/game/dal-vs-tor-0022100029
0022100030,2021-10-23,CHI,DET,97,82,14400,14400,0,0,0,https://www.nba.com/game/det-vs-chi-0022100030
0022100031,2021-10-23,MIN,NOP,96,89,14400,14399,0,0,-1,https://www.nba.com/game/nop-vs-min-0022100031
0022100032,2021-10-23,SAS,MIL,111,121,14400,14400,0,0,0,https://www.nba.com/game/mil-vs-sas-0022100032
0022100033,2021-10-23,POR,PHX,134,105,14400,14400,0,0,0,https://www.nba.com/game/phx-vs-por-0022100033
0022100034,2021-10-23,LAC,MEM,114,120,14400,14400,0,0,0,https://www.nba.com/game/mem-vs-lac-0022100034
0022100035,2021-10-24,BKN,CHA,95,111,14400,14400,0,0,0,https://www.nba.com/game/cha-vs-bkn-0022100035
0022100036,2021-10-24,NYK,ORL,104,110,14401,14400,0,1,0,https://www.nba.com/game/orl-vs-nyk-0022100036
