season,date,game_id,team,player,person_id,seconds,start,comment,pts,fgm,fga,fg3m,fg3a,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2020-21,2020-12-22,0022000002,LAL,Alex Caruso,1627936,1000,0,,3,1,5,1,4,0,0,0,2,2,1,0,0,3,0
2020-21,2020-12-23,0022000003,BOS,Javonte Green,1629750,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-23,0022000010,CHA,LaMelo Ball,1630163,948,0,,0,0,5,0,3,0,0,0,1,1,3,2,0,3,2
2020-21,2020-12-23,0022000012,ORL,Nikola Vucevic,202696,2013,1,,15,5,13,3,5,2,8,2,9,11,3,1,1,2,0
2020-21,2020-12-23,0022000013,PHI,Tony Bradley,1628396,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-23,0022000014,NOP,Lonzo Ball,1628366,1728,1,,16,4,9,4,8,4,6,1,4,5,2,1,2,5,3
2020-21,2020-12-23,0022000014,TOR,Stanley Johnson,1626169,76,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-23,0022000015,CHI,Coby White,1629632,1828,1,,9,2,11,1,7,4,4,0,2,2,7,2,0,3,2
2020-21,2020-12-23,0022000015,CHI,Denzel Valentine,1627756,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-23,0022000015,CHI,Lauri Markkanen,1628374,1812,1,,21,6,9,4,6,5,5,1,6,7,4,2,0,2,1
2020-21,2020-12-23,0022000015,CHI,Patrick Williams,1630172,1983,1,,16,5,11,1,3,5,6,0,4,4,1,1,1,0,2
2020-21,2020-12-23,0022000015,CHI,Tomas Satoransky,203107,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-23,0022000015,CHI,Wendell Carter Jr.,1628976,1546,1,,6,2,5,0,2,2,2,1,5,6,2,0,0,3,3
2020-21,2020-12-23,0022000015,CHI,Zach LaVine,203897,1518,1,,22,9,19,1,8,3,3,1,1,2,1,1,0,5,5
2020-21,2020-12-23,0022000017,SAS,DeMar DeRozan,201942,2093,1,,28,7,14,0,0,14,15,2,7,9,9,1,1,1,1
2020-21,2020-12-25,0022000005,NOP,Lonzo Ball,1628366,2006,1,,6,2,8,2,8,0,0,0,2,2,6,2,1,3,4
2020-21,2020-12-25,0022000007,BOS,Javonte Green,1629750,223,0,,2,1,3,0,0,0,0,1,1,2,0,0,0,0,0
2020-21,2020-12-25,0022000008,LAL,Alex Caruso,1627936,804,0,,6,2,2,2,2,0,0,0,1,1,2,2,0,2,2
2020-21,2020-12-26,0022000022,CHA,LaMelo Ball,1630163,919,0,,13,5,10,2,4,1,2,2,3,5,1,1,0,2,1
2020-21,2020-12-26,0022000024,ORL,Nikola Vucevic,202696,1865,1,,22,8,20,2,7,4,4,3,14,17,3,2,0,3,1
2020-21,2020-12-26,0022000025,PHI,Tony Bradley,1628396,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-26,0022000026,CHI,Coby White,1629632,1497,1,,12,4,10,4,7,0,0,1,1,2,3,0,1,4,2
2020-21,2020-12-26,0022000026,CHI,Denzel Valentine,1627756,774,0,,11,4,6,3,4,0,0,0,1,1,0,1,1,0,0
2020-21,2020-12-26,0022000026,CHI,Lauri Markkanen,1628374,1629,1,,16,6,14,2,8,2,3,2,7,9,0,0,0,2,2
2020-21,2020-12-26,0022000026,CHI,Patrick Williams,1630172,1324,1,,9,2,6,1,1,4,4,1,1,2,1,0,1,4,0
2020-21,2020-12-26,0022000026,CHI,Tomas Satoransky,203107,1494,0,,6,2,5,0,1,2,2,2,2,4,9,2,1,3,0
2020-21,2020-12-26,0022000026,CHI,Wendell Carter Jr.,1628976,1641,1,,9,2,10,0,1,5,6,3,3,6,2,0,2,1,3
2020-21,2020-12-26,0022000026,CHI,Zach LaVine,203897,1730,1,,17,6,13,3,6,2,2,0,1,1,2,1,0,3,4
2020-21,2020-12-26,0022000027,SAS,DeMar DeRozan,201942,2186,1,,27,10,17,3,4,4,5,1,4,5,8,2,0,2,2
2020-21,2020-12-26,0022000027,TOR,Stanley Johnson,1626169,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-27,0022000032,CHA,LaMelo Ball,1630163,1201,0,,6,2,6,2,3,0,0,0,5,5,5,1,0,3,4
2020-21,2020-12-27,0022000033,ORL,Nikola Vucevic,202696,1683,1,,15,5,11,1,4,4,4,0,8,8,4,2,0,0,2
2020-21,2020-12-27,0022000034,SAS,DeMar DeRozan,201942,1863,1,,8,3,12,0,4,2,2,0,3,3,10,0,1,2,5
2020-21,2020-12-27,0022000034,NOP,Lonzo Ball,1628366,2245,1,,16,7,14,1,5,1,2,1,7,8,5,5,0,2,2
2020-21,2020-12-27,0022000035,PHI,Tony Bradley,1628396,1045,0,,4,2,7,0,0,0,1,4,4,8,1,0,2,0,2
2020-21,2020-12-27,0022000037,BOS,Javonte Green,1629750,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-27,0022000038,CHI,Coby White,1629632,2138,1,,20,8,19,4,9,0,0,0,7,7,5,0,0,3,1
2020-21,2020-12-27,0022000038,CHI,Denzel Valentine,1627756,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-27,0022000038,CHI,Lauri Markkanen,1628374,1755,1,,23,7,13,4,7,5,7,0,7,7,1,1,1,2,1
2020-21,2020-12-27,0022000038,CHI,Patrick Williams,1630172,1581,1,,6,2,5,0,1,2,2,1,3,4,2,0,3,2,1
2020-21,2020-12-27,0022000038,CHI,Tomas Satoransky,203107,1370,0,,3,1,3,0,1,1,1,0,1,1,3,0,0,3,2
2020-21,2020-12-27,0022000038,CHI,Wendell Carter Jr.,1628976,1888,1,,22,8,9,1,2,5,8,4,9,13,4,0,0,3,3
2020-21,2020-12-27,0022000038,CHI,Zach LaVine,203897,2088,1,,33,11,23,4,12,7,9,0,7,7,3,2,2,7,3
2020-21,2020-12-27,0022000040,LAL,Alex Caruso,1627936,631,0,,7,3,4,1,2,0,0,0,2,2,0,0,0,0,1
2020-21,2020-12-29,0022000048,BOS,Javonte Green,1629750,1260,0,,7,3,5,1,3,0,0,2,1,3,1,0,0,1,0
2020-21,2020-12-29,0022000049,TOR,Stanley Johnson,1626169,1303,0,,7,3,7,1,3,0,0,2,6,8,0,2,1,1,3
2020-21,2020-12-29,0022000049,PHI,Tony Bradley,1628396,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-29,0022000050,CHI,Coby White,1629632,2217,1,,18,6,14,2,5,4,4,0,5,5,6,0,0,2,0
2020-21,2020-12-29,0022000050,CHI,Denzel Valentine,1627756,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-29,0022000050,CHI,Lauri Markkanen,1628374,1155,1,,9,3,8,1,2,2,3,1,3,4,0,0,0,1,2
2020-21,2020-12-29,0022000050,CHI,Patrick Williams,1630172,1221,1,,12,5,10,2,3,0,0,1,0,1,2,0,0,1,3
2020-21,2020-12-29,0022000050,CHI,Thaddeus Young,201152,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-29,0022000050,CHI,Tomas Satoransky,203107,1206,0,,10,4,7,2,4,0,0,0,2,2,6,2,0,2,0
2020-21,2020-12-29,0022000050,CHI,Wendell Carter Jr.,1628976,2051,1,,10,5,8,0,1,0,2,0,12,12,3,0,0,2,5
