season,date,game_id,team,player,person_id,seconds,start,comment,pts,fgm,fga,fg3m,fg3a,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2021-22,2021-10-20,0022100004,CHI,Alex Caruso,1627936,1628,0,,3,1,5,1,3,0,0,0,3,3,3,4,2,2,5
2021-22,2021-10-20,0022100004,CHI,Alize Johnson,1628993,714,0,,0,0,2,0,0,0,0,1,3,4,0,0,0,2,3
2021-22,2021-10-20,0022100004,CHI,Ayo Dosunmu,1630245,672,0,,7,3,8,1,3,0,0,0,2,2,0,0,1,1,1
2021-22,2021-10-20,0022100004,CHI,DeMar DeRozan,201942,2266,1,,17,8,17,1,1,0,2,0,7,7,2,3,0,2,2
2021-22,2021-10-20,0022100004,CHI,Derrick Jones Jr.,1627884,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,2021-10-20,0022100004,CHI,Javonte Green,1629750,889,0,,0,0,1,0,1,0,0,0,3,3,1,0,0,0,0
2021-22,2021-10-20,0022100004,CHI,Lonzo Ball,1628366,2002,1,,12,5,12,2,6,0,0,3,3,6,4,0,1,4,0
2021-22,2021-10-20,0022100004,CHI,Marko Simonovic,1630250,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,2021-10-20,0022100004,CHI,Matt Thomas,1629744,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,2021-10-20,0022100004,CHI,Nikola Vucevic,202696,2153,1,,15,7,21,1,4,0,0,5,10,15,4,0,0,3,1
2021-22,2021-10-20,0022100004,CHI,Patrick Williams,1630172,1707,1,,6,2,3,0,0,2,2,0,1,1,0,0,0,1,2
2021-22,2021-10-20,0022100004,CHI,Tony Bradley,1628396,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-22,2021-10-20,0022100004,CHI,Troy Brown Jr.,1628972,250,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
